ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,195,2798,4181,3558,1188,1365,24,13309,32,6850
Unbranded,0,130,1245,2258,370,998,1276,21,6298,32,6850
Indofood,0,3,393,52,33,96,77,0,654,32,6850
Danone,0,0,0,13,547,3,0,0,563,32,6850
PT Mayora Indah Tbk,0,0,98,210,180,0,0,0,488,32,6850
Wings Group,0,3,134,30,238,0,0,0,405,32,6850
Kelimutu,0,0,0,0,391,0,0,0,391,32,6850
PT Gudang Garam Tbk.,0,0,0,330,0,0,0,0,330,32,6850
Gunung Kawi,0,0,0,201,0,0,0,0,201,32,6850
Farry Brand,0,0,0,0,196,0,0,0,196,32,6850
Madu Rasa,0,0,144,0,0,0,0,0,144,32,6850
Nestlé,0,0,14,63,61,0,0,0,138,32,6850
Jasjus,0,0,0,124,1,0,0,0,125,32,6850
Kapal Api,0,0,8,0,113,0,0,0,121,32,6850
Sido Muncul,0,0,5,61,41,0,0,0,107,32,6850
Unilever,0,0,14,23,42,2,0,0,81,32,6850
The Coca-Cola Company,0,5,0,2,67,0,0,0,74,32,6850
PT Tirta Fresindo jaya,0,0,0,0,71,0,0,0,71,32,6850
Nutri Food,0,0,70,0,0,0,0,0,70,32,6850
Sampoerna,0,0,0,66,0,0,0,0,66,32,6850
Sari Roti,0,0,20,0,38,0,0,0,58,32,6850
Fastrasa,0,0,52,0,0,0,0,0,52,32,6850
Cap Orang Tua,0,0,0,0,51,0,0,0,51,32,6850
Nusra Air Mineral Cup,0,0,0,0,50,0,0,0,50,32,6850
The Gelas,0,0,0,0,50,0,0,0,50,32,6850
Djarum,0,0,0,48,0,0,0,0,48,32,6850
Brand Lokal Kelimutu,0,0,0,0,48,0,0,0,48,32,6850
Otsuka,0,0,9,0,38,0,0,0,47,32,6850
Bintang Toedjoe,0,0,0,0,47,0,0,0,47,32,6850
banyak brand,0,0,0,45,0,0,0,0,45,32,6850
Sedotan,0,0,0,42,0,0,0,0,42,32,6850
Garuda Food,0,0,8,0,33,0,0,0,41,32,6850
Nutrifood,0,0,21,0,19,0,0,0,40,32,6850
Deltomed,0,0,0,0,38,0,0,0,38,32,6850
Abc,0,0,0,17,21,0,0,0,38,32,6850
