ParentCoFinal,HDPE,O,PET,Grand Total,number of events,number of volunteers
Grand Total,9,292,112,413,2,82
Unbranded,0,33,45,78,2,82
Bakhresa Group,0,35,29,64,2,82
Inyange,0,45,18,63,2,82
Nile,0,35,0,35,2,82
Nyiragarama,0,32,0,32,2,82
Huye,0,24,0,24,2,82
Inyange Yoghourt,0,23,0,23,2,82
Bralirwa,0,0,20,20,2,82
The Coca-Cola Company,0,19,0,19,2,82
Zirakamwa Yoghourt,0,11,0,11,2,82
Energy,0,10,0,10,2,82
Masaka Yoghourt,0,9,0,9,2,82
Upfield,0,9,0,9,2,82
Movit,9,0,0,9,2,82
Colgate-Palmolive,0,5,0,5,2,82
Mukamira Yoghourt,0,2,0,2,2,82
