ParentCoFinal,EMPTY,O,Grand Total,number of events,number of volunteers
Grand Total,0,16,16,1,100
Danish,0,16,16,1,100
Nestlé,0,0,0,1,100
Unbranded,0,0,0,1,100
Tiffin,0,0,0,1,100
Sun light Battery,0,0,0,1,100
SMC,0,0,0,1,100
Pulse,0,0,0,1,100
Pran,0,0,0,1,100
Perfetti van Melle,0,0,0,1,100
PepsiCo,0,0,0,1,100
PT Mayora Indah Tbk,0,0,0,1,100
Olympic,0,0,0,1,100
Bashundhara,0,0,0,1,100
Benson and Hedges,0,0,0,1,100
Milky Nuts,0,0,0,1,100
Lexus,0,0,0,1,100
Ispahani Green Tea,0,0,0,1,100
Good Luck,0,0,0,1,100
Fruit fun,0,0,0,1,100
Fresh,0,0,0,1,100
Derby,0,0,0,1,100
Dairy Milk,0,0,0,1,100
CavinKare,0,0,0,1,100
Bombay Sweets,0,0,0,1,100
Mondelez International,0,0,0,1,100
