***ARCH130867, FRESC Study 930, "Oregon_spotted_frog_telemetry_at_Crane_Prairie_OR.csv", Michael J. Adams, archived ______***
***Published ___ at www.sciencebase.gov (___)***
Site,Subsite,HabType,SurveyDate,Ordinal,Frequency,UTME_83,UTMN_83,Interval,Female,Water,Type,Structure,Substrate,Beaver,Detection
Crane Prairie,SE Pond,Pond,9/25/2018,268,164.169,597369,4846486,0,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,164.169,597352,4846487,1,0,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,164.169,597345,4846458,2,0,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,164.169,597340,4846464,3,0,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,164.169,597344,4846460,4,0,Deep water,Marsh/Pond,Woody veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/1/2018,305,164.169,597410,4846451,5,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,164.169,597369,4846456,6,0,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,164.169,597341,4846461,7,0,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,164.169,597348,4846458,8,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/26/2018,330,164.169,597350,4846463,9,0,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.195,597580,4851035,0,0,No water,Reservoir,Herbaceous veg,Flocc,No beaver,Visual
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.195,597581,4851041,1,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.195,597579,4851045,2,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.195,597580,4851035,3,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.195,597582,4851035,4,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.195,597579,4851037,5,0,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.195,597580,4851036,6,0,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.195,597426,4850781,7,0,Deep water,Reservoir,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.195,597426,4850782,8,0,Unknown water,Reservoir,Woody debris,Unknown substrate,Lodge,No visual
Crane Prairie,N Res,Reservoir,11/28/2018,332,164.195,597424,4850779,9,0,Unknown water,Reservoir,Woody debris,Unknown substrate,Lodge,No visual
Crane Prairie,W Res,Reservoir,9/13/2018,256,164.357,596027,4850389,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,9/19/2018,262,164.357,596102,4850422,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.357,596088,4850443,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.357,596098,4850444,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.357,596097,4850448,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.357,596098,4850442,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.357,596106,4850436,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/30/2018,303,164.357,596100,4850442,7,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/6/2018,310,164.357,596093,4850442,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/14/2018,318,164.357,596106,4850395,9,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/20/2018,324,164.357,596109,4850398,10,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/29/2018,333,164.357,596109,4850392,11,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,9/18/2018,261,164.371,597320,4851113,0,1,No water,Reservoir,Herbaceous veg,Organic soil,No beaver,Captured
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.371,597349,4851022,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.371,597289,4851029,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.371,597287,4851028,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.371,597287,4851025,4,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.371,597287,4851027,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.371,597287,4851028,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.371,597287,4851026,7,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.371,597223,4850767,8,1,Deep water,Reservoir,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.371,597223,4850743,9,1,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/27/2018,331,164.371,597329,4850755,10,1,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,9/25/2018,268,164.381,597377,4846479,0,1,Shallow water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,164.381,597424,4846454,1,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,164.381,597330,4846459,2,1,Shallow water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,164.381,597344,4846476,3,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,Visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,164.381,597340,4846481,4,1,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,Visual
