Entity,Code,Year,LifeExpectancy0,LifeExpectancy10,LifeExpectancy25,LifeExpectancy45,LifeExpectancy65,LifeExpectancy80
Afghanistan,AFG,1950,27.7275,49.1459,54.4422,63.4225,73.4901,83.7259
Afghanistan,AFG,1951,27.9634,49.2941,54.5644,63.500603,73.5289,83.7448
Afghanistan,AFG,1952,28.4456,49.5822,54.7998,63.6476,73.6018,83.7796
Afghanistan,AFG,1953,28.9304,49.8634,55.028603,63.788902,73.6706,83.8118
Afghanistan,AFG,1954,29.2258,49.9306,55.1165,63.8481,73.7041,83.8334
Afghanistan,AFG,1955,29.9206,50.4315,55.4902,64.0732,73.8087,83.876
Afghanistan,AFG,1956,30.4078,50.7036,55.7131,64.2102,73.8755,83.9073
Afghanistan,AFG,1957,30.9458,51.0233,55.9721,64.3705,73.9542,83.9434
Afghanistan,AFG,1958,31.5066,51.3565,56.244698,64.5401,74.0384,83.9826
Afghanistan,AFG,1959,32.0386,51.6719,56.5026,64.7004,74.1183,84.0194
Afghanistan,AFG,1960,32.5346,51.9584,56.7375,64.8474,74.1927,84.0539
Afghanistan,AFG,1961,33.0681,52.2815,57.0002,65.01,74.2735,84.09
Afghanistan,AFG,1962,33.5471,52.5606,57.2272,65.15,74.3435,84.1211
Afghanistan,AFG,1963,34.0162,52.8328,57.4486,65.2858,74.4111,84.1511
Afghanistan,AFG,1964,34.4942,53.1083,57.672,65.4237,74.479904,84.1812
Afghanistan,AFG,1965,34.9528,53.3713,57.8855,65.5549,74.5452,84.21
Afghanistan,AFG,1966,35.4531,53.6618,58.12,65.6986,74.6166,84.2412
Afghanistan,AFG,1967,35.924,53.9322,58.3384,65.8324,74.6828,84.2704
Afghanistan,AFG,1968,36.4183,54.2144,58.5663,65.9711,74.7509,84.3002
Afghanistan,AFG,1969,36.9101,54.4951,58.7932,66.1094,74.8191,84.3298
Afghanistan,AFG,1970,37.4178,54.7859,59.0276,66.2519,74.8899,84.3603
Afghanistan,AFG,1971,37.9233,55.071,59.259,66.393,74.9608,84.391
Afghanistan,AFG,1972,38.4439,55.3751,59.5041,66.5418,75.0352,84.4229
Afghanistan,AFG,1973,39.0029,55.6974,59.7648,66.7017,75.1159,84.4573
Afghanistan,AFG,1974,39.5498,56.0084,60.0166,66.8548,75.1916,84.4893
Afghanistan,AFG,1975,40.1003,56.3135,60.2625,67.0026,75.2625,84.5179
Afghanistan,AFG,1976,40.6454,56.6135,60.505,67.1486,75.332504,84.5465
Afghanistan,AFG,1977,41.2278,56.9354,60.7636,67.303696,75.4055,84.5758
Afghanistan,AFG,1978,40.2712,55.7299,59.8303,66.8431,75.1969,84.515
Afghanistan,AFG,1979,39.0861,54.3461,58.7514,66.28,74.9325,84.4357
Afghanistan,AFG,1980,39.6181,54.6318,58.9845,66.4234,75.0015,84.4656
Afghanistan,AFG,1981,40.164,54.9151,59.2165,66.567,75.07,84.4953
Afghanistan,AFG,1982,37.7661,52.4243,57.2667,65.5226,74.5753,84.3365
Afghanistan,AFG,1983,38.1865,52.6052,57.4147,65.620804,74.6218,84.3592
Afghanistan,AFG,1984,33.3289,47.872,53.662003,63.5688,73.6418,84.0212
Afghanistan,AFG,1985,33.5504,47.8958,53.6892,63.5919,73.6501,84.0299
Afghanistan,AFG,1986,39.3962,53.0776,57.8137,65.8813,74.7418,84.4191
Afghanistan,AFG,1987,39.8436,53.2665,57.9718,65.9804,74.785904,84.4384
Afghanistan,AFG,1988,43.9579,56.757,60.7246,67.5083,75.5113,84.6854
Afghanistan,AFG,1989,45.1582,57.5898,61.384,67.8806,75.6851,84.7476
Afghanistan,AFG,1990,45.9672,58.0676,61.763,68.1005,75.7861,84.7864
Afghanistan,AFG,1991,46.6631,58.4445,62.0724,68.3146,75.895004,84.8278
Afghanistan,AFG,1992,47.5955,58.8214,62.3895,68.6138,76.0703,84.892
Afghanistan,AFG,1993,51.4664,62.1856,64.9886,69.9157,76.6443,85.0738
Afghanistan,AFG,1994,51.4945,61.681,64.6336,69.9056,76.6888,85.0924
Afghanistan,AFG,1995,52.5442,62.6126,65.337204,70.172195,76.7729,85.1178
Afghanistan,AFG,1996,53.2433,63.0373,65.6649,70.3518,76.8501,85.1421
Afghanistan,AFG,1997,53.6342,63.2679,65.8379,70.4047,76.8564,85.144
Afghanistan,AFG,1998,52.9431,62.3842,65.2201,70.1418,76.762200000000007,85.1202
Afghanistan,AFG,1999,54.8464,64.0014,66.4076,70.701096,76.9811,85.1845
Afghanistan,AFG,2000,55.2978,64.1957,66.565704,70.8124,77.0361,85.2031
Afghanistan,AFG,2001,55.7981,64.473404,66.7844,70.9336,77.088196,85.2206
Afghanistan,AFG,2002,56.4538,64.958694,67.164795,71.0957,77.1528,85.242096
Afghanistan,AFG,2003,57.3445,65.4943,67.5764,71.3408,77.2604,85.2743
Afghanistan,AFG,2004,57.943600000000004,65.8468,67.8525,71.4886,77.323,85.2941
Afghanistan,AFG,2005,58.3608,66.0331,68.0069,71.5919,77.3713,85.3098
Afghanistan,AFG,2006,58.6844,66.0765,68.0539,71.661804,77.4102,85.3218
Afghanistan,AFG,2007,59.1113,66.1761,68.1505,71.7802,77.4796,85.3465
Afghanistan,AFG,2008,59.8515,66.670105,68.5387,71.9819,77.5689,85.3869
Afghanistan,AFG,2009,60.3636,67.0412,68.8216,72.0906,77.6006,85.3915
Afghanistan,AFG,2010,60.8508,67.2959,69.0287,72.2171,77.6599,85.4119
Afghanistan,AFG,2011,61.4191,67.6009,69.2713,72.3607,77.7258,85.4336
Afghanistan,AFG,2012,61.923,67.8701,69.486496,72.4857,77.7817,85.4451
Afghanistan,AFG,2013,62.4167,68.141495,69.7033,72.6147,77.8425,85.4631
Afghanistan,AFG,2014,62.5451,68.1407,69.7108,72.631,77.8507,85.4658
Afghanistan,AFG,2015,62.6587,68.091,69.6827,72.637,77.8567,85.4675
Afghanistan,AFG,2016,63.1361,68.345505,69.887,72.7664,77.9194,85.4896
Afghanistan,AFG,2017,63.016,67.671906,69.441,72.8368,78.0451,85.5337
Afghanistan,AFG,2018,63.081,67.5531,69.3672,72.8621,78.0754,85.5447
Afghanistan,AFG,2019,63.5645,67.975296,69.6858,72.9723,78.1062,85.5531
Afghanistan,AFG,2020,62.5751,66.844604,68.4037,71.4773,77.0577,85.0792
Afghanistan,AFG,2021,61.9824,66.0998,67.8018,71.1566,76.8877,84.9991
Africa,NA,1950,37.6235,57.5185,61.6845,68.1083,75.6576,84.7008
Africa,NA,1951,37.9309,57.6005,61.7448,68.139404,75.6747,84.7061
Africa,NA,1952,38.443,57.7748,61.8863,68.2428,75.737,84.7385
Africa,NA,1953,38.9152,58.0001,62.0627,68.3574,75.7972,84.7545
Africa,NA,1954,39.2991,58.001,62.0707,68.4028,75.8419,84.7802
Africa,NA,1955,39.8008,58.2171,62.2393,68.5066,75.902,84.8078
Africa,NA,1956,40.1704,58.3382,62.3325,68.5672,75.9404,84.8265
Africa,NA,1957,40.0129,58.2089,62.2409,68.4787,75.8946,84.8198
Africa,NA,1958,40.303,58.2423,62.2806,68.5203,75.9254,84.8297
Africa,NA,1959,41.2823,58.7124,62.6369,68.7642,76.0555,84.8773
Africa,NA,1960,41.4816,58.6292,62.5725,68.7624,76.0726,84.8909
Africa,NA,1961,41.8692,58.7847,62.6861,68.8352,76.1111,84.9065
Africa,NA,1962,42.3208,59.0867,62.9129,68.9276,76.145096,84.9224
Africa,NA,1963,42.7767,59.3556,63.1098,69.0244,76.192,84.9475
Africa,NA,1964,43.2464,59.629,63.301,69.1264,76.2435,84.9708
Africa,NA,1965,43.4401,59.6503,63.3209,69.1542,76.2665,84.9844
Africa,NA,1966,43.433,59.5584,63.2473,69.1054,76.2447,84.9787
Africa,NA,1967,43.6456,59.4879,63.1769,69.0991,76.2492,84.9786
Africa,NA,1968,44.1023,59.7917,63.4066,69.234,76.315796,84.9931
Africa,NA,1969,44.3156,59.8561,63.45,69.2585,76.3276,84.9919
Africa,NA,1970,44.7834,60.1989,63.7092,69.3729,76.3747,85.0075
Africa,NA,1971,45.322,60.5596,63.9703,69.4963,76.429,85.0282
Africa,NA,1972,45.4068,60.4724,63.9411,69.513,76.4552,85.0464
Africa,NA,1973,46.1543,60.9999,64.3345,69.7237,76.5514,85.0864
Africa,NA,1974,46.4601,61.2272,64.4915,69.7903,76.5797,85.1098
Africa,NA,1975,46.903,61.4284,64.660706,69.9102,76.6504,85.1476
Africa,NA,1976,47.6398,61.7823,64.944,70.1121,76.7638,85.2024
Africa,NA,1977,48.1637,62.0625,65.1662,70.2507,76.8367,85.2412
Africa,NA,1978,48.5646,62.2245,65.2902,70.3328,76.8803,85.2679
