Entity,Code,Year,LifeExpectancyDiffFM
Afghanistan,AFG,1950,1.2619
Afghanistan,AFG,1951,1.2706013
Afghanistan,AFG,1952,1.2882996
Afghanistan,AFG,1953,1.3066006
Afghanistan,AFG,1954,1.2765007
Afghanistan,AFG,1955,1.3688011
Afghanistan,AFG,1956,1.4055996
Afghanistan,AFG,1957,1.4146996
Afghanistan,AFG,1958,1.3987999
Afghanistan,AFG,1959,1.3992996
Afghanistan,AFG,1960,1.4146004
Afghanistan,AFG,1961,1.4042015
Afghanistan,AFG,1962,1.4136009
Afghanistan,AFG,1963,1.427002
Afghanistan,AFG,1964,1.4181976
Afghanistan,AFG,1965,1.4132004
Afghanistan,AFG,1966,1.4580002
Afghanistan,AFG,1967,1.4860992
Afghanistan,AFG,1968,1.5021973
Afghanistan,AFG,1969,1.4951019
Afghanistan,AFG,1970,1.5404968
Afghanistan,AFG,1971,1.5822029
Afghanistan,AFG,1972,1.6184006
Afghanistan,AFG,1973,1.6155014
Afghanistan,AFG,1974,1.6046982
Afghanistan,AFG,1975,1.5882988
Afghanistan,AFG,1976,1.5910988
Afghanistan,AFG,1977,1.5514984
Afghanistan,AFG,1978,2.6633987
Afghanistan,AFG,1979,3.8286018
Afghanistan,AFG,1980,3.9213982
Afghanistan,AFG,1981,3.9834976
Afghanistan,AFG,1982,5.6212997
Afghanistan,AFG,1983,5.861801
Afghanistan,AFG,1984,8.181
Afghanistan,AFG,1985,8.420101
Afghanistan,AFG,1986,6.5205994
Afghanistan,AFG,1987,6.7139015
Afghanistan,AFG,1988,4.9962997
Afghanistan,AFG,1989,4.7187996
Afghanistan,AFG,1990,4.6884995
Afghanistan,AFG,1991,4.7911034
Afghanistan,AFG,1992,5.25
Afghanistan,AFG,1993,2.522499
Afghanistan,AFG,1994,4.0135
Afghanistan,AFG,1995,3.0486984
Afghanistan,AFG,1996,3.0840988
Afghanistan,AFG,1997,2.9987984
Afghanistan,AFG,1998,3.6842003
Afghanistan,AFG,1999,2.8899994
Afghanistan,AFG,2000,3.096199
Afghanistan,AFG,2001,3.0721016
Afghanistan,AFG,2002,2.4449997
Afghanistan,AFG,2003,2.6181984
Afghanistan,AFG,2004,2.5581017
Afghanistan,AFG,2005,2.6838036
Afghanistan,AFG,2006,3.1098976
Afghanistan,AFG,2007,3.567402
Afghanistan,AFG,2008,3.357399
Afghanistan,AFG,2009,3.0722008
Afghanistan,AFG,2010,3.1301994
Afghanistan,AFG,2011,3.1671982
Afghanistan,AFG,2012,3.1962013
Afghanistan,AFG,2013,3.235302
Afghanistan,AFG,2014,3.4623985
Afghanistan,AFG,2015,3.8161964
Afghanistan,AFG,2016,3.9023018
Afghanistan,AFG,2017,5.994396
Afghanistan,AFG,2018,6.534504
Afghanistan,AFG,2019,6.0579033
Afghanistan,AFG,2020,5.5657997
Afghanistan,AFG,2021,6.364399
Africa (UN),NA,1950,2.4023018
Africa (UN),NA,1951,2.4286995
Africa (UN),NA,1952,2.4665031
Africa (UN),NA,1953,2.4822006
Africa (UN),NA,1954,2.7429008
Africa (UN),NA,1955,2.781601
Africa (UN),NA,1956,2.8708
Africa (UN),NA,1957,2.9016
Africa (UN),NA,1958,2.9377975
Africa (UN),NA,1959,2.9895973
Africa (UN),NA,1960,3.2296028
Africa (UN),NA,1961,3.3372002
Africa (UN),NA,1962,3.0803986
Africa (UN),NA,1963,3.0123978
Africa (UN),NA,1964,3.0485
Africa (UN),NA,1965,3.076702
Africa (UN),NA,1966,3.047699
Africa (UN),NA,1967,3.3866997
Africa (UN),NA,1968,3.330597
Africa (UN),NA,1969,3.3682022
Africa (UN),NA,1970,3.1548004
Africa (UN),NA,1971,3.099102
Africa (UN),NA,1972,3.149601
Africa (UN),NA,1973,3.0379982
Africa (UN),NA,1974,3.0116005
Africa (UN),NA,1975,3.0653992
Africa (UN),NA,1976,3.2342987
Africa (UN),NA,1977,3.3460007
Africa (UN),NA,1978,3.4967003
Africa (UN),NA,1979,3.454399
Africa (UN),NA,1980,3.4858017
Africa (UN),NA,1981,3.467102
