Entity,Code,Year,gini_disposable__age_total,gini_market__age_total,population_historical,owid_region
Afghanistan,AFG,-10000,NA,NA,14737,NA
Afghanistan,AFG,-9000,NA,NA,20405,NA
Afghanistan,AFG,-8000,NA,NA,28253,NA
Afghanistan,AFG,-7000,NA,NA,39120,NA
Afghanistan,AFG,-6000,NA,NA,54166,NA
Afghanistan,AFG,-5000,NA,NA,75000,NA
Afghanistan,AFG,-4000,NA,NA,306250,NA
Afghanistan,AFG,-3000,NA,NA,537500,NA
Afghanistan,AFG,-2000,NA,NA,768750,NA
Afghanistan,AFG,-1000,NA,NA,1000000,NA
Afghanistan,AFG,0,NA,NA,2000000,NA
Afghanistan,AFG,100,NA,NA,2250000,NA
Afghanistan,AFG,200,NA,NA,2500000,NA
Afghanistan,AFG,300,NA,NA,2500000,NA
Afghanistan,AFG,400,NA,NA,2500000,NA
Afghanistan,AFG,500,NA,NA,2500000,NA
Afghanistan,AFG,600,NA,NA,2500000,NA
Afghanistan,AFG,700,NA,NA,2425000,NA
Afghanistan,AFG,800,NA,NA,2350000,NA
Afghanistan,AFG,900,NA,NA,2300000,NA
Afghanistan,AFG,1000,NA,NA,2250000,NA
Afghanistan,AFG,1100,NA,NA,2375000,NA
Afghanistan,AFG,1200,NA,NA,2500000,NA
Afghanistan,AFG,1300,NA,NA,1750000,NA
Afghanistan,AFG,1400,NA,NA,1875000,NA
Afghanistan,AFG,1500,NA,NA,2000000,NA
Afghanistan,AFG,1600,NA,NA,2500000,NA
Afghanistan,AFG,1700,NA,NA,2500000,NA
Afghanistan,AFG,1710,NA,NA,2561625,NA
Afghanistan,AFG,1720,NA,NA,2619844,NA
Afghanistan,AFG,1730,NA,NA,2679386,NA
Afghanistan,AFG,1740,NA,NA,2740281,NA
Afghanistan,AFG,1750,NA,NA,2802560,NA
Afghanistan,AFG,1760,NA,NA,2866255,NA
Afghanistan,AFG,1770,NA,NA,2931397,NA
Afghanistan,AFG,1780,NA,NA,2998019,NA
Afghanistan,AFG,1790,NA,NA,3066156,NA
