artist,title,released,re_release,label,formats,chart,chart_position
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",US,5
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",AUS,33
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",CAN,14
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",FRA,—
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",GER,—
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",IRE,59
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",JPN,53
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",NZ,38
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",SWE,—
Taylor Swift,Taylor Swift,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",UK,81
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",US,1
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",AUS,2
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",CAN,1
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",FRA,26
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",GER,12
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",IRE,7
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",JPN,8
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",NZ,1
