"line","song_id","song_name","artist_id","artist_name","song_line"
"If I ain't got nothing, I got you",50396,"1+1",498,"Beyoncé",1
"If I ain't got something, I don't give a damn",50396,"1+1",498,"Beyoncé",2
"'Cause I got it with you",50396,"1+1",498,"Beyoncé",3
"I don't know much about algebra, but I know 1+1 equals 2",50396,"1+1",498,"Beyoncé",4
"And it's me and you",50396,"1+1",498,"Beyoncé",5
"That's all we'll have when the world is through",50396,"1+1",498,"Beyoncé",6
"'Cause baby, we ain't got nothing without love",50396,"1+1",498,"Beyoncé",7
"Darling, you got enough for the both of us",50396,"1+1",498,"Beyoncé",8
"So come on, baby, make love to me",50396,"1+1",498,"Beyoncé",9
"When my days look low",50396,"1+1",498,"Beyoncé",10
"Pull me in close and don't let me go, make love to me",50396,"1+1",498,"Beyoncé",11
"So when the world's at war, let our love heal us all",50396,"1+1",498,"Beyoncé",12
"Right now, baby, make love to me",50396,"1+1",498,"Beyoncé",13
"We, me, me, me",50396,"1+1",498,"Beyoncé",14
"Oh, make love to me",50396,"1+1",498,"Beyoncé",15
"Hey, I don't know much about guns, but I",50396,"1+1",498,"Beyoncé",16
"I've been shot by you, hey",50396,"1+1",498,"Beyoncé",17
"And I don't know when I'm gon' die, but I hope",50396,"1+1",498,"Beyoncé",18
"That I'm gon' die by you, hey",50396,"1+1",498,"Beyoncé",19
"I don't know much about fighting, but I",50396,"1+1",498,"Beyoncé",20
"I know I will fight for you, hey",50396,"1+1",498,"Beyoncé",21
"Just when I ball up my fist, I realize",50396,"1+1",498,"Beyoncé",22
"I'm laying right next to you",50396,"1+1",498,"Beyoncé",23
"Baby, we ain't got nothing but love",50396,"1+1",498,"Beyoncé",24
"And darling, you got enough for the both of us",50396,"1+1",498,"Beyoncé",25
"Ooh, make love to me",50396,"1+1",498,"Beyoncé",26
"When my days look low",50396,"1+1",498,"Beyoncé",27
"Pull me in close and don't let me go, make love to me",50396,"1+1",498,"Beyoncé",28
"So when the world's at war, let our love heal us all",50396,"1+1",498,"Beyoncé",29
"Help me let down my guard",50396,"1+1",498,"Beyoncé",30
"Make love to me, me, me, me, me",50396,"1+1",498,"Beyoncé",31
"Oh, oh, make love to me, me, me, me, me",50396,"1+1",498,"Beyoncé",32
"Thank you so much. Hi, baby. Thank you to the Grammy voters for the incredible honor. Thank you to everyone who worked so hard to beautifully capture the profundity of deep southern culture. I thank god for my family, my wonderful husband, my beautiful daughter my fans for bringing me so much happiness and support. We all experience pain and loss, and often we become inaudible. My intention for the film and album was to create a body of work that would give a voice to our pain, our struggles, our darkness and our history. To confront issues that make us uncomfortable. It's important to show images to my children to reflect their beauty, so they can grow up in a world where they look in the mirror, first at their own families, as well as the news, the Super Bowl, the Olympics, the white house and the Grammy's and see themselves and have no doubt that they're beautiful, intelligent and capable. This is something I want for every child of every race, and I feel its vital that we learn from the past and recognize our tendencies to repeat our mistakes. Thank you again for honoring Lemonade. Have a beautiful evening. Thank you for tonight, this is incredible",2985000,"2017 Grammy's Best Urban Contemporary Album Speech",498,"Beyoncé",1
"Six inch heels, she walked in the club like nobody's business",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",1
"Goddamn, she murdered everybody and I was her witness",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",2
"She's stacking money, money everywhere she goes",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",3
"You know, pesos out of Mexico",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",4
"De uno, commas and them decimals",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",5
"She don't gotta give it up, she professional",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",6
"She mixing up that Ace with that Hennessy",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",7
"She love the way it tastes, that's her recipe",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",8
"Rushing through her veins like it's ecstasy (Oh no)",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",9
"She already made enough, but she'll never leave",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",10
"Six inch heels, she walked in the club like nobody's business",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",11
"Goddamn, she murdered everybody and I was her witness",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",12
"She works for the money, she work for the money",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",13
"From the start to the finish",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",14
"And she worth every dollar, she worth every dollar",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",15
"And she worth every minute",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",16
"She work for the money",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",17
"She work for the money",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",18
"She work for the money",2461229,"6 Inch (Ft. The Weeknd)",498,"Beyoncé",19
