artist,title,country,sales,released,re_release,label,formats
Taylor Swift,Taylor Swift,US,5720000,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,WW,12000000,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,US,7180000,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,AUS,500000,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,UK,609000,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Speak Now,WW,5000000,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Speak Now,US,4694000,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Speak Now,UK,169281,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,WW,6000000,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,US,4465000,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,JPN,256000,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,UK,693000,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,WW,10100000,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,US,6215000,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,CAN,542000,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
