subcategory,rank,year,name,title,publisher
Food Issues and Advocacy,Nominee,2024,Katherine Miller,At the Table: The Chef's Guide to Advocacy,(Island Press)
Baking and Desserts,Winner,2024,Regula Ysewijn,"Dark Rye and Honey Cake: Festival Baking from Belgium, the Heart of the Low Countries",(Weldon Owen)
Emerging Voice Award,Winner,2024,Abi Balingit,Mayumu: Filipino American Desserts Remixed,(HarperCollins)
"Reference, History, and Scholarship",Nominee,2024,David Shields,The Ark of Taste: Delicious and Distinctive Foods That Define the United States,(Hachette Book Group)
U.S. Foodways,Nominee,2024,Christoph Grosse,Made Here Recipes & Reflections From NYC's Asian Communities,(Self-Published)
Baking and Desserts,Nominee,2024,Natasha Pickowicz,More Than Cake: 100 Baking Recipes Built for Pleasure and Community,(Artisan Books)
U.S. Foodways,Nominee,2024,Ryan Mitchell,Ed Mitchell's Barbeque,(Ecco)
Cookbook Hall of Fame,Winner,2024,Pierre Thiam,NA,NA
International,Winner,2024,Sam Chapple-Sokol,The World Central Kitchen Cookbook,(Clarkson Potter)
"Reference, History, and Scholarship",Nominee,2024,Bobby Smith II,Food Power Politics: The Food Story of the Mississippi Civil Rights Movement,(University of North Carolina Press)
Visuals,Nominee,2024,Dave Whitling,Thank You Please Come Again: How Gas Stations Feed & Fuel the American South,(BS Publishing)
U.S. Foodways,Nominee,2024,Diana Le,Made Here Recipes & Reflections From NYC's Asian Communities,(Self-Published)
International,Nominee,2024,Yewande Komolafe,My Everyday Lagos: Nigerian Cooking at Home and in the Diaspora,(Ten Speed Press)
U.S. Foodways,Winner,2024,Sawako Okochi,Love Japan: Recipes from Our Japanese American Kitchen,(Ten Speed Press)
Beverage with Recipes,Nominee,2024,Krystof Zizka,"The Maison Premiere Almanac: Cocktails, Oysters, Absinthe, and Other Essential Nutrients for the Sensualist, Aesthete, and Flaneur",(Clarkson Potter)
U.S. Foodways,Nominee,2024,Zella Palmer,Ed Mitchell's Barbeque,(Ecco)
Vegetable-Focused Cooking,Nominee,2024,Andrea Nguyen,"Ever-Green Vietnamese: Super-Fresh Recipes, Starring Plants from Land and Sea",(Ten Speed Press)
Visuals,Nominee,2024,Kiese Laymon,Thank You Please Come Again: How Gas Stations Feed & Fuel the American South,(BS Publishing)
Restaurant and Professional,Nominee,2024,Sylvan Mishima Brackett,Rintaro: Japanese Food from an Izakaya in California,(Hardie Grant North America)
Restaurant and Professional,Winner,2024,Josh Niland,"Fish Butchery: Mastering The Catch, Cut, And Craft",(Hardie Grant Books)
Food Issues and Advocacy,Winner,2024,Harry Kashdan,Resilient Kitchens: American Immigrant Cooking in a Time of Crisis: Essays and Recipes,(Rutgers University Press)
Vegetable-Focused Cooking,Nominee,2024,Nancy Singleton Hachisu,Japan: The Vegetarian Cookbook,(Phaidon Press)
Beverage with Recipes,Nominee,2024,William Elliott,(),NA
U.S. Foodways,Winner,2024,Gabriella Gershenson,Love Japan: Recipes from Our Japanese American Kitchen,(Ten Speed Press)
Single Subject,Nominee,2024,Homa Dashtaki,Yogurt & Whey: Recipes of an Iranian Immigrant Life,(W. W. Norton & Company)
Visuals,Nominee,2024,Kelly Marshall,"For The Culture: Phenomenal Black Women and Femmes in Food: Interviews, Inspiration, and Recipes",(HarperCollins)
U.S. Foodways,Nominee,2024,Nat Belkov,Made Here Recipes & Reflections From NYC's Asian Communities,(Self-Published)
Single Subject,Nominee,2024,John Ash,The Hog Island Book of Fish and Seafood: Culinary Treasures from Our Waters,(Cameron Books)
Beverage with Recipes,Nominee,2024,Joshua Boissy,"The Maison Premiere Almanac: Cocktails, Oysters, Absinthe, and Other Essential Nutrients for the Sensualist, Aesthete, and Flaneur",(Clarkson Potter)
Literary Writing,Nominee,2024,The Bitter Southerner,Food Stories: Writing That Stirs the Pot,(The Bitter Southerner)
Beverage without Recipes,Winner,2024,Gary Nabhan,"Agave Spirits: The Past, Present, and Future of Mezcals",(W. W. Norton & Company)
Beverage with Recipes,Nominee,2024,Jordan Mackay,"The Maison Premiere Almanac: Cocktails, Oysters, Absinthe, and Other Essential Nutrients for the Sensualist, Aesthete, and Flaneur",(Clarkson Potter)
General,Nominee,2024,Tamar Adler,The Everlasting Meal Cookbook: Leftovers A-Z,(Scribner)
U.S. Foodways,Nominee,2024,Ed Mitchell,Ed Mitchell's Barbeque,(Ecco)
U.S. Foodways,Nominee,2024,Tina Zhou,Made Here Recipes & Reflections From NYC's Asian Communities,(Self-Published)
U.S. Foodways,Nominee,2024,Alice Luo,Made Here Recipes & Reflections From NYC's Asian Communities,(Self-Published)
International,Nominee,2024,Ivy Chen,Made in Taiwan: Recipes and Stories from the Island Nation,(Simon & Schuster/Simon Element)
International,Winner,2024,World Central Kitchen,The World Central Kitchen Cookbook,(Clarkson Potter)
Beverage with Recipes,Winner,2024,Daniel Childs,"Slow Drinks: A Field Guide to Foraging and Fermenting Seasonal Sodas, Botanical Cocktails, Homemade Wines, and More",(Hardie Grant North America)
Beverage with Recipes,Nominee,2024,Toni Tipton-Martin,"Juke Joints, Jazz Clubs, and Juice: Cocktails from Two Centuries of African American Cookbooks",(Clarkson Potter)
Single Subject,Winner,2024,Meryl Feinstein,"Pasta Every Day: Make It, Shape It, Sauce It, Eat It",(Hachette Book Group)
Restaurant and Professional,Nominee,2024,Mat Lindsay,Ester: Australian Cooking,(Murdoch Books)
