name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Pugsley's Pizza,590 E 191st St,Bronx,10458,US,40.8587693,-73.88483740000002,1,4.5,121,8.011111111111111,27,216.3,7.992000000000001,25,199.8,8.8,1,8.8,7.7,1,7.7
Williamsburg Pizza,265 Union Ave,Brooklyn,11211,US,40.7080823,-73.95090340000002,1,3,281,7.7740740740740755,27,209.9,7.742307692307692,26,201.3,0,0,0,8.6,1,8.6
99 Cent Fresh Pizza,473 Lexington Ave,New York,10017,US,40.7536996,-73.97411319999998,1,4,118,5.666666666666668,9,51,5.7625,8,46.1,0,0,0,4.9,1,4.9
Nino's 46,39 W 46th St,New York,10036,US,40.7569012,-73.980518,2,4,1055,5.6,2,11.2,0,0,0,4.3,1,4.3,6.9,1,6.9
La Pizza Fresca Ristorante,31 E 20th St,New York,10003,US,40.739047,-73.988895,2,3,143,7.1,1,7.1,0,0,0,0,0,0,7.1,1,7.1
La Gusto Pizza,382 8th Ave,New York,10001,US,NA,NA,1,3.5,28,4.075,4,16.3,4.366666666666666,3,13.1,0,0,0,3.2,1,3.2
Cheesy Pizza,2640 Broadway,New York,10025,US,40.79718889999999,-73.96957290000002,1,3,95,6.12,5,30.6,6.125,4,24.5,0,0,0,6.1,1,6.1
Sal & Carmine's Pizza,2671 Broadway,New York,10025,US,40.7983829,-73.96943900000002,1,4,324,7.435294117647059,17,126.4,7.45,16,119.2,0,0,0,7.2,1,7.2
MAMA'S TOO!,2750 Broadway,New York,10025,US,40.8008324,-73.9675901,2,3.5,186,7.314285714285713,14,102.4,7.3538461538461535,13,95.6,0,0,0,6.8,1,6.8
Bond 45,221 W 46th St,New York,10036,US,40.7593741,-73.98617449999998,2,3.5,600,6.6000000000000005,6,39.6,6.725,4,26.9,6.2,1,6.2,6.5,1,6.5
Casa D'amici,485 High St,Morgantown,26505,US,39.6319501,-79.95421230000002,1,3,42,5.854545454545455,11,64.4,5.79,10,57.9,0,0,0,6.5,1,6.5
Pizza Al's,2952 University Ave,Morgantown,26505,US,39.6501191,-79.96488609999999,1,3.5,34,5.8,7,40.6,5.7,6,34.2,0,0,0,6.4,1,6.4
Colasante's Ristorante & Pub,416 Fairmont Rd,Morgantown,26501,US,39.63440900000001,-79.971237,2,3.5,29,6.7,5,33.5,6.725,4,26.9,0,0,0,6.6,1,6.6
