individual,age,date,locality,eggs,body_mass_grams,straight_carapace_length_mm
289,30,2024-05-22,Beach,4,1184,177
89,30,2023-05-22,Konjsko,11,2913,249
89,30,2024-05-17,Konjsko,10,2880,248
455,30,2023-05-22,Konjsko,7,1823,203
30,30,2024-05-17,Konjsko,6,2047,212
357,30,2024-05-17,Konjsko,6,1994,218
477,30,2023-05-22,Konjsko,6,1494,204
587,30,2022-05-22,Konjsko,6,2434,225
743,30,2023-05-22,Konjsko,6,1841,208
1121,30,2023-05-22,Konjsko,6,1712,196
79,30,2023-05-22,Konjsko,5,1635,205
858,30,2023-05-22,Konjsko,5,1479,192
1078,30,2022-05-23,Konjsko,5,1459,188
445,30,2024-05-17,Konjsko,4,1443,186
89,30,2025-05-20,Konjsko,11,2920,260
514,30,2025-05-17,Konjsko,6,2093,226
837,30,2025-05-17,Konjsko,6,2017,223
939,30,2025-05-17,Konjsko,5,1519,206
904,30,2025-05-20,Konjsko,4,1618,199
129,30,2025-05-22,Plateau,4,1333,188
129,30,2024-05-21,Plateau,2,1373,188
829,24,2024-05-17,Konjsko,7,1971,212
263,24,2025-05-22,Plateau,4,1188,176
1068,24,2025-05-22,Plateau,3,1161,176
1348,23,2025-05-23,Beach,1,733,149
1136,23,2025-05-20,Konjsko,6,2660,240
1069,22,2025-05-23,Beach,3,997,166
444,22,2023-05-22,Konjsko,6,1518,195
658,22,2024-05-17,Konjsko,6,1391,186
713,22,2024-05-20,Plateau,5,1579,212
1170,22,2025-05-22,Plateau,5,1116,176
582,22,2024-05-20,Plateau,3,1300,189
753,21,2025-05-23,Beach,3,851,155
1348,21,2023-05-20,Beach,2,727,148
1364,21,2024-05-22,Beach,2,737,155
397,21,2024-05-17,Konjsko,6,1515,192
1570,21,2024-05-21,Plateau,5,1639,200
1363,20,2023-05-20,Beach,3,541,142
166,20,2023-05-22,Konjsko,6,1848,208
834,20,2024-05-17,Konjsko,5,1578,196
640,20,2022-05-23,Konjsko,5,1361,192
1021,20,2022-05-23,Konjsko,5,1689,194
828,20,2022-05-23,Konjsko,4,1265,184
1096,19,2023-05-19,Beach,3,957,156
322,19,2025-05-20,Konjsko,5,1618,199
1096,18,2022-05-20,Beach,3,959,157
1218,18,2025-05-22,Beach,3,973,164
1222,17,2025-05-23,Beach,3,807,158
130,17,2023-05-22,Konjsko,6,1702,196
708,17,2023-05-18,Plateau,3,898,156
1218,16,2023-05-20,Beach,2,930,159
1222,16,2024-05-22,Beach,1,804,155
957,15,2024-05-17,Konjsko,5,1543,187
