measure,client,date,p10,p25,p50,p75,p90,timestamp
bytesTotal,desktop,2022_10_01,499.42,1122.57,2283.98,4593.98,9004.25,1664582400000
bytesTotal,mobile,2022_10_01,421.03,974.47,2010.05,4058.42,8195.38,1664582400000
bytesTotal,desktop,2022_09_01,503.95,1126.35,2291.6,4608.96,9000.26,1661990400000
bytesTotal,mobile,2022_09_01,423.84,974.01,2013.96,4062.49,8191.02,1661990400000
bytesTotal,desktop,2022_08_01,496.53,1109.7,2262.0,4560.91,8932.58,1659312000000
bytesTotal,mobile,2022_08_01,420.33,970.55,2007.28,4053.2,8164.56,1659312000000
bytesTotal,desktop,2022_07_01,541.43,1154.15,2314.42,4628.29,9033.44,1656633600000
bytesTotal,mobile,2022_07_01,449.65,1001.55,2040.37,4077.92,8164.21,1656633600000
bytesTotal,desktop,2022_06_01,534.4,1144.59,2317.83,4648.12,9071.39,1654041600000
bytesTotal,mobile,2022_06_01,450.17,993.86,2022.49,4047.02,8089.66,1654041600000
bytesTotal,desktop,2022_05_01,529.15,1136.07,2301.62,4611.72,9006.56,1651363200000
bytesTotal,mobile,2022_05_01,444.94,982.16,2003.17,4008.38,8019.7,1651363200000
bytesTotal,desktop,2022_04_01,513.19,1097.48,2203.8,4391.62,8502.7,1648771200000
bytesTotal,mobile,2022_04_01,442.64,980.02,2010.61,3988.64,7687.64,1648771200000
bytesTotal,desktop,2022_03_01,503.45,1075.53,2165.51,4311.71,8319.43,1646092800000
bytesTotal,mobile,2022_03_01,431.88,960.71,1974.09,3917.78,7564.56,1646092800000
bytesTotal,desktop,2022_02_01,499.33,1074.0,2158.96,4287.64,8271.02,1643673600000
bytesTotal,mobile,2022_02_01,429.96,962.49,1984.11,3961.17,7573.96,1643673600000
bytesTotal,desktop,2022_01_01,505.47,1083.83,2174.13,4298.66,8204.65,1640995200000
bytesTotal,mobile,2022_01_01,421.02,952.74,1957.58,3831.42,7038.81,1640995200000
bytesTotal,desktop,2021_12_01,496.95,1075.61,2172.98,4303.26,8215.22,1638316800000
bytesTotal,mobile,2021_12_01,411.33,938.33,1935.23,3775.63,6965.07,1638316800000
bytesTotal,desktop,2021_11_01,500.5,1077.8,2173.27,4292.78,8162.54,1635724800000
bytesTotal,mobile,2021_11_01,414.99,942.76,1940.41,3787.06,6967.37,1635724800000
bytesTotal,desktop,2021_10_01,509.08,1093.79,2204.77,4327.76,8196.64,1633046400000
bytesTotal,mobile,2021_10_01,417.88,946.98,1950.92,3794.41,6956.1,1633046400000
bytesTotal,desktop,2021_09_01,511.93,1095.82,2198.4,4323.35,8189.16,1630454400000
bytesTotal,mobile,2021_09_01,421.36,945.42,1941.46,3778.71,6945.6,1630454400000
bytesTotal,desktop,2021_08_01,504.1,1081.88,2174.15,4276.66,8106.63,1627776000000
bytesTotal,mobile,2021_08_01,413.01,930.98,1925.9,3752.28,6895.6,1627776000000
bytesTotal,desktop,2021_07_01,496.51,1066.33,2148.72,4223.68,8001.16,1625097600000
bytesTotal,mobile,2021_07_01,414.79,932.2,1920.1,3733.95,6853.96,1625097600000
bytesTotal,desktop,2021_06_01,488.98,1052.51,2124.11,4139.8,7729.03,1622505600000
bytesTotal,mobile,2021_06_01,407.03,925.48,1914.04,3733.04,6840.74,1622505600000
bytesTotal,desktop,2021_05_01,485.43,1048.5,2123.56,4142.19,7701.66,1619827200000
bytesTotal,mobile,2021_05_01,403.66,924.36,1917.38,3750.3,6850.4,1619827200000
bytesTotal,desktop,2021_04_01,475.8,1033.78,2096.85,4096.74,7609.5,1617235200000
bytesTotal,mobile,2021_04_01,393.71,911.06,1896.17,3703.21,6779.45,1617235200000
bytesTotal,desktop,2021_03_01,475.47,1024.09,2063.01,4009.69,7444.79,1614556800000
bytesTotal,mobile,2021_03_01,407.44,919.48,1900.09,3696.94,6763.48,1614556800000
bytesTotal,desktop,2021_02_01,467.54,1007.67,2037.67,3980.94,7418.9,1612137600000
bytesTotal,mobile,2021_02_01,382.3,892.42,1875.79,3669.74,6706.94,1612137600000
bytesTotal,desktop,2021_01_01,465.6,1008.98,2038.42,3993.41,7452.0,1609459200000
bytesTotal,mobile,2021_01_01,366.23,882.75,1879.28,3747.33,7044.59,1609459200000
bytesTotal,desktop,2020_12_01,463.47,1012.3,2042.29,3996.85,7419.57,1606780800000
bytesTotal,mobile,2020_12_01,382.85,899.82,1891.18,3706.16,6735.02,1606780800000
bytesTotal,desktop,2020_11_01,456.5,998.14,2020.33,3941.75,7330.58,1604188800000
bytesTotal,mobile,2020_11_01,379.93,894.59,1876.25,3651.81,6663.02,1604188800000
bytesTotal,desktop,2020_10_01,470.47,1022.61,2062.38,3997.32,7396.58,1601510400000
bytesTotal,mobile,2020_10_01,386.41,899.87,1891.61,3671.66,6703.27,1601510400000
bytesTotal,desktop,2020_09_01,480.78,1047.71,2105.28,4047.33,7464.74,1598918400000
bytesTotal,mobile,2020_09_01,393.37,922.46,1930.73,3720.21,6770.64,1598918400000
bytesTotal,desktop,2020_08_01,472.28,1036.04,2098.75,4037.51,7442.28,1596240000000
bytesTotal,mobile,2020_08_01,372.48,902.87,1917.46,3713.01,6775.25,1596240000000
bytesTotal,desktop,2020_07_01,459.42,1013.74,2059.02,3964.64,7309.17,1593561600000
bytesTotal,mobile,2020_07_01,380.1,905.97,1916.77,3715.74,6779.24,1593561600000
bytesTotal,desktop,2020_06_01,440.51,980.89,2000.01,3865.03,7131.67,1590969600000
bytesTotal,mobile,2020_06_01,347.93,863.66,1852.05,3611.03,6607.45,1590969600000
bytesTotal,desktop,2020_05_01,435.83,979.44,2007.91,3888.6,7155.1,1588291200000
bytesTotal,mobile,2020_05_01,350.74,870.06,1851.94,3590.08,6489.66,1588291200000
bytesTotal,desktop,2020_04_01,446.05,996.51,2031.92,3913.43,7192.03,1585699200000
bytesTotal,mobile,2020_04_01,358.29,882.15,1864.24,3605.36,6510.46,1585699200000
bytesTotal,desktop,2020_03_01,489.37,1044.02,2080.22,3987.17,7310.58,1583020800000
bytesTotal,mobile,2020_03_01,380.38,907.79,1885.28,3624.73,6548.63,1583020800000
bytesTotal,desktop,2020_02_01,431.54,951.65,1957.9,3818.62,7067.02,1580515200000
bytesTotal,mobile,2020_02_01,346.53,842.04,1791.82,3493.17,6362.13,1580515200000
bytesTotal,desktop,2020_01_01,398.88,941.5,1969.56,3841.98,7128.42,1577836800000
bytesTotal,mobile,2020_01_01,309.46,816.49,1770.42,3462.91,6322.11,1577836800000
bytesTotal,desktop,2019_12_01,402.67,946.75,1980.91,3854.27,7117.01,1575158400000
bytesTotal,mobile,2019_12_01,312.91,824.89,1790.94,3489.9,6351.46,1575158400000
bytesTotal,desktop,2019_11_01,403.57,942.04,1965.67,3820.45,7046.68,1572566400000
bytesTotal,mobile,2019_11_01,315.03,823.37,1779.04,3479.54,6330.69,1572566400000
bytesTotal,desktop,2019_10_01,401.08,932.83,1950.3,3806.43,6998.62,1569888000000
bytesTotal,mobile,2019_10_01,313.29,807.03,1751.9,3441.13,6273.35,1569888000000
bytesTotal,desktop,2019_09_01,400.26,928.59,1939.7,3782.88,6966.21,1567296000000
bytesTotal,mobile,2019_09_01,315.52,801.68,1745.1,3436.82,6254.1,1567296000000
bytesTotal,desktop,2019_08_01,402.8,932.34,1946.82,3789.84,6961.86,1564617600000
bytesTotal,mobile,2019_08_01,317.93,803.75,1749.29,3439.05,6250.09,1564617600000
bytesTotal,desktop,2019_07_01,400.99,926.89,1936.77,3776.79,6947.92,1561939200000
bytesTotal,mobile,2019_07_01,321.78,802.38,1747.33,3433.38,6230.37,1561939200000
bytesTotal,desktop,2019_06_01,391.12,910.09,1905.34,3721.85,6848.59,1559347200000
bytesTotal,mobile,2019_06_01,304.61,774.11,1696.05,3326.47,6046.83,1559347200000
bytesTotal,desktop,2019_05_01,391.64,907.2,1896.79,3703.12,6806.21,1556668800000
bytesTotal,mobile,2019_05_01,305.95,769.3,1683.55,3302.51,5996.56,1556668800000
bytesTotal,mobile,2019_04_01,302.7,762.45,1682.28,3302.39,5985.82,1554076800000
bytesTotal,desktop,2019_03_01,355.35,856.75,1828.18,3575.58,6531.79,1551398400000
bytesTotal,mobile,2019_03_01,301.01,750.2,1669.01,3277.3,5920.23,1551398400000
bytesTotal,desktop,2019_02_01,367.19,877.08,1861.86,3617.57,6612.15,1548979200000
bytesTotal,mobile,2019_02_01,311.1,759.0,1672.13,3266.14,5909.55,1548979200000
bytesTotal,desktop,2019_01_01,353.68,857.02,1836.84,3588.5,6650.5,1546300800000
bytesTotal,mobile,2019_01_01,303.95,751.26,1669.26,3277.43,5972.83,1546300800000
bytesTotal,desktop,2018_12_15,356.81,860.63,1847.98,3652.83,7008.68,1544832000000
bytesTotal,mobile,2018_12_15,211.76,564.77,1285.48,2649.96,5076.09,1544832000000
bytesTotal,desktop,2018_12_01,281.61,706.68,1584.85,3155.48,5928.77,1543622400000
bytesTotal,mobile,2018_12_01,211.2,564.04,1288.32,2629.37,5036.19,1543622400000
bytesTotal,desktop,2018_11_15,283.33,722.93,1627.43,3267.04,6095.34,1542240000000
bytesTotal,mobile,2018_11_15,212.22,569.52,1303.74,2706.59,5165.37,1542240000000
bytesTotal,desktop,2018_11_01,281.81,713.63,1588.0,3145.85,5921.4,1541030400000
bytesTotal,mobile,2018_11_01,211.5,567.5,1299.86,2656.93,5101.44,1541030400000
bytesTotal,desktop,2018_10_15,280.69,701.05,1533.46,3045.16,5840.66,1539561600000
bytesTotal,mobile,2018_10_15,209.53,557.78,1269.26,2609.87,5026.12,1539561600000
bytesTotal,desktop,2018_10_01,280.18,702.65,1540.83,3075.03,5979.42,1538352000000
bytesTotal,mobile,2018_10_01,210.44,558.71,1273.32,2633.75,5126.38,1538352000000
bytesTotal,desktop,2018_09_15,276.26,705.59,1544.63,3089.99,5975.79,1536969600000
bytesTotal,mobile,2018_09_15,209.74,558.17,1270.27,2631.99,5101.12,1536969600000
bytesTotal,desktop,2018_09_01,274.16,694.47,1525.63,3029.05,5902.88,1535760000000
bytesTotal,mobile,2018_09_01,208.58,549.14,1257.39,2587.48,5049.5,1535760000000
bytesTotal,desktop,2018_08_15,278.63,692.92,1517.71,3038.91,5954.46,1534291200000
bytesTotal,mobile,2018_08_15,207.99,548.72,1271.94,2608.15,5107.72,1534291200000
bytesTotal,desktop,2018_08_01,278.02,692.31,1511.23,2999.63,5842.77,1533081600000
bytesTotal,mobile,2018_08_01,207.36,548.1,1253.88,2571.3,5028.37,1533081600000
bytesTotal,desktop,2018_07_15,281.06,691.84,1512.5,2999.25,5840.69,1531612800000
bytesTotal,mobile,2018_07_15,208.01,552.45,1248.23,2567.38,5027.41,1531612800000
bytesTotal,desktop,2018_07_01,279.96,689.41,1502.5,2981.77,5843.54,1530403200000
bytesTotal,mobile,2018_07_01,247.13,691.99,1568.18,3129.47,5851.44,1530403200000
bytesTotal,desktop,2018_06_15,285.5,768.89,1709.4,3353.03,6397.05,1529020800000
bytesTotal,mobile,2018_06_15,248.24,686.94,1565.76,3126.28,5846.36,1529020800000
bytesTotal,desktop,2018_06_01,292.8,772.65,1702.27,3329.42,6344.09,1527811200000
bytesTotal,mobile,2018_06_01,256.51,693.77,1569.27,3147.11,5975.68,1527811200000
bytesTotal,desktop,2018_05_15,290.28,789.0,1719.92,3329.4,6304.74,1526342400000
bytesTotal,mobile,2018_05_15,248.53,696.34,1561.54,3094.8,5782.88,1526342400000
bytesTotal,desktop,2018_05_01,294.38,797.86,1736.6,3347.2,6299.17,1525132800000
bytesTotal,mobile,2018_05_01,251.22,696.44,1553.87,3078.09,5768.72,1525132800000
bytesTotal,desktop,2018_04_15,296.31,799.17,1731.05,3343.01,6296.43,1523750400000
bytesTotal,mobile,2018_04_15,254.36,700.54,1560.4,3075.57,5753.74,1523750400000
bytesTotal,desktop,2018_03_15,298.69,797.72,1712.9,3309.38,6226.13,1521072000000
bytesTotal,mobile,2018_03_15,250.26,692.39,1545.54,3045.52,5683.79,1521072000000
bytesTotal,desktop,2018_03_01,303.1,795.4,1698.44,3272.23,6177.33,1519862400000
