measure,client,date,p10,p25,p50,p75,p90,timestamp
a11yScores,desktop,2022_10_01,63.0,74.0,84.0,92.0,96.0,1664582400000
a11yScores,mobile,2022_10_01,63.0,74.0,84.0,91.0,96.0,1664582400000
a11yScores,desktop,2022_09_01,63.0,74.0,84.0,91.0,96.0,1661990400000
a11yScores,mobile,2022_09_01,63.0,73.0,84.0,91.0,96.0,1661990400000
a11yScores,desktop,2022_08_01,63.0,74.0,84.0,91.0,96.0,1659312000000
a11yScores,mobile,2022_08_01,62.0,73.0,83.0,91.0,96.0,1659312000000
a11yScores,desktop,2022_07_01,63.0,74.0,83.0,91.0,96.0,1656633600000
a11yScores,mobile,2022_07_01,62.0,73.0,83.0,91.0,96.0,1656633600000
a11yScores,desktop,2022_06_09,63.0,74.0,83.0,91.0,96.0,1654732800000
a11yScores,mobile,2022_06_09,63.0,73.0,83.0,91.0,96.0,1654732800000
a11yScores,desktop,2022_06_01,63.0,73.0,83.0,91.0,96.0,1654041600000
a11yScores,mobile,2022_06_01,62.0,73.0,83.0,90.0,96.0,1654041600000
a11yScores,desktop,2022_05_01,63.0,73.0,83.0,91.0,96.0,1651363200000
a11yScores,mobile,2022_05_01,62.0,73.0,83.0,90.0,96.0,1651363200000
a11yScores,mobile,2022_04_01,62.0,73.0,83.0,90.0,96.0,1648771200000
a11yScores,mobile,2022_03_01,62.0,73.0,83.0,90.0,96.0,1646092800000
a11yScores,mobile,2022_02_01,61.0,72.0,82.0,90.0,96.0,1643673600000
a11yScores,mobile,2022_01_01,61.0,72.0,82.0,90.0,96.0,1640995200000
a11yScores,mobile,2021_12_01,61.0,72.0,82.0,90.0,96.0,1638316800000
a11yScores,mobile,2021_11_01,61.0,72.0,82.0,90.0,95.0,1635724800000
a11yScores,mobile,2021_10_01,61.0,72.0,82.0,90.0,95.0,1633046400000
a11yScores,mobile,2021_09_01,61.0,72.0,82.0,90.0,95.0,1630454400000
a11yScores,mobile,2021_08_01,61.0,72.0,82.0,90.0,95.0,1627776000000
a11yScores,mobile,2021_07_01,61.0,72.0,82.0,90.0,95.0,1625097600000
a11yScores,mobile,2021_06_01,60.0,72.0,82.0,90.0,95.0,1622505600000
a11yScores,mobile,2021_05_01,61.0,73.0,83.0,91.0,96.0,1619827200000
a11yScores,mobile,2021_04_01,59.0,72.0,83.0,90.0,96.0,1617235200000
a11yScores,mobile,2021_03_01,59.0,72.0,83.0,90.0,96.0,1614556800000
a11yScores,mobile,2021_02_01,59.0,72.0,83.0,90.0,95.0,1612137600000
a11yScores,mobile,2021_01_01,58.0,72.0,83.0,90.0,95.0,1609459200000
a11yScores,mobile,2020_12_01,55.0,69.0,80.0,89.0,95.0,1606780800000
a11yScores,mobile,2020_11_01,54.0,68.0,80.0,88.0,95.0,1604188800000
a11yScores,mobile,2020_10_01,54.0,68.0,80.0,88.0,95.0,1601510400000
a11yScores,mobile,2020_09_01,54.0,68.0,80.0,88.0,95.0,1598918400000
a11yScores,mobile,2020_08_01,54.0,68.0,79.0,88.0,94.0,1596240000000
a11yScores,mobile,2020_07_01,54.0,68.0,79.0,88.0,94.0,1593561600000
a11yScores,mobile,2020_06_01,52.0,66.0,79.0,88.0,94.0,1590969600000
a11yScores,mobile,2020_05_01,44.0,61.0,75.0,86.0,93.0,1588291200000
a11yScores,mobile,2020_04_01,44.0,61.0,75.0,86.0,93.0,1585699200000
a11yScores,mobile,2020_03_01,44.0,61.0,75.0,86.0,93.0,1583020800000
a11yScores,mobile,2020_02_01,43.0,60.0,75.0,86.0,93.0,1580515200000
a11yScores,mobile,2020_01_01,41.0,58.0,74.0,85.0,93.0,1577836800000
a11yScores,mobile,2019_12_01,41.0,58.0,74.0,85.0,93.0,1575158400000
a11yScores,mobile,2019_11_01,42.0,58.0,74.0,85.0,93.0,1572566400000
a11yScores,mobile,2019_10_01,41.0,58.0,73.0,85.0,93.0,1569888000000
a11yScores,mobile,2019_09_01,40.0,57.0,73.0,84.0,93.0,1567296000000
a11yScores,mobile,2019_08_01,40.0,56.0,73.0,84.0,92.0,1564617600000
a11yScores,mobile,2019_07_01,41.0,58.0,73.0,84.0,92.0,1561939200000
a11yScores,mobile,2019_06_01,40.0,57.0,73.0,84.0,92.0,1559347200000
a11yScores,mobile,2019_05_01,43.0,55.0,70.0,81.0,90.0,1556668800000
a11yScores,mobile,2019_04_01,44.0,53.0,64.0,74.0,84.0,1554076800000
a11yScores,mobile,2019_03_01,43.0,53.0,63.0,74.0,84.0,1551398400000
a11yScores,mobile,2019_02_01,43.0,52.0,63.0,74.0,83.0,1548979200000
a11yScores,mobile,2019_01_01,43.0,52.0,63.0,74.0,84.0,1546300800000
a11yScores,mobile,2018_12_15,43.0,51.0,63.0,74.0,85.0,1544832000000
a11yScores,mobile,2018_12_01,43.0,51.0,63.0,74.0,85.0,1543622400000
a11yScores,mobile,2018_11_15,43.0,51.0,63.0,74.0,85.0,1542240000000
a11yScores,mobile,2018_11_01,42.0,51.0,63.0,74.0,85.0,1541030400000
a11yScores,mobile,2018_10_15,42.0,51.0,62.0,74.0,84.0,1539561600000
a11yScores,mobile,2018_10_01,43.0,51.0,62.0,74.0,84.0,1538352000000
a11yScores,mobile,2018_09_15,42.0,51.0,62.0,74.0,84.0,1536969600000
a11yScores,mobile,2018_09_01,42.0,51.0,62.0,74.0,84.0,1535760000000
a11yScores,mobile,2018_08_15,42.0,51.0,62.0,74.0,84.0,1534291200000
a11yScores,mobile,2018_08_01,42.0,51.0,62.0,74.0,84.0,1533081600000
a11yScores,mobile,2018_07_15,42.0,51.0,62.0,74.0,84.0,1531612800000
a11yScores,mobile,2018_07_01,40.0,50.0,61.0,72.0,82.0,1530403200000
a11yScores,mobile,2018_05_15,40.43,50.0,60.67,71.59,81.82,1526342400000
a11yScores,mobile,2018_05_01,40.32,50.0,60.64,71.43,81.71,1525132800000
a11yScores,mobile,2018_04_15,40.26,50.0,60.56,71.43,81.71,1523750400000
a11yScores,mobile,2018_04_01,40.26,50.0,60.53,71.43,81.67,1522540800000
a11yScores,mobile,2018_03_15,40.24,50.0,60.53,71.3,81.61,1521072000000
a11yScores,mobile,2018_03_01,40.0,50.0,60.4,71.21,81.48,1519862400000
a11yScores,mobile,2018_02_15,39.78,50.0,60.27,71.19,81.48,1518652800000
a11yScores,mobile,2018_02_01,39.73,50.0,60.38,71.28,81.63,1517443200000
a11yScores,mobile,2018_01_15,39.74,49.46,60.23,71.08,81.48,1515974400000
a11yScores,mobile,2018_01_01,64.39,70.45,77.27,84.85,91.67,1514764800000
a11yScores,mobile,2017_12_15,64.39,70.45,77.27,84.85,91.67,1513296000000
a11yScores,mobile,2017_12_01,64.39,70.45,77.27,84.85,91.67,1512086400000
a11yScores,mobile,2017_11_15,65.91,72.73,80.0,87.12,93.18,1510704000000
a11yScores,mobile,2017_11_01,80.0,82.86,88.57,91.43,94.29,1509494400000
a11yScores,mobile,2017_10_15,80.0,82.86,88.57,91.43,94.29,1508025600000
a11yScores,mobile,2017_10_01,80.0,82.86,88.57,91.43,94.29,1506816000000
a11yScores,mobile,2017_09_15,80.0,82.86,88.57,91.43,94.29,1505433600000
a11yScores,mobile,2017_09_01,80.0,82.86,88.57,91.43,94.29,1504224000000
a11yScores,mobile,2017_08_15,80.0,82.86,88.57,91.43,94.29,1502755200000
a11yScores,mobile,2017_08_01,80.0,82.86,88.57,91.43,94.29,1501545600000
a11yScores,mobile,2017_07_15,80.0,82.86,88.57,91.43,94.29,1500076800000
a11yScores,mobile,2017_07_01,80.0,82.86,88.57,91.43,94.29,1498867200000
a11yScores,mobile,2017_06_15,80.0,82.86,88.57,91.43,94.29,1497484800000
a11yScores,mobile,2017_06_01,80.0,82.86,88.57,91.43,94.29,1496275200000
