season,episode_overall,episode_season,title,original_release,guest,guest_appearance_number,finished
1,1,1,Tony Yayo Talks Shmoney Dance and Eminem's Taco Habit While Eating Spicy Wings,2015-03-12,Tony Yayo,1,FALSE
1,2,2,Anthony Rizzo On Chicago Cubs Rivalries & Baseball Superstitions While Eating Spicy Wings,2015-05-12,Anthony Rizzo,1,TRUE
1,3,3,"Machine Gun Kelly Talks Diddy, Hangovers, & Amber Rose While Eating Spicy Wings",2015-06-11,Machine Gun,1,TRUE
1,4,4,"Gunplay Talks Rick Ross, Wingstop, and X-Box Live Fights While Eating Spicy Wings",2015-06-23,Gunplay,1,TRUE
1,5,5,"Ja Rule Talks 50 Cent Beef, Jail Recipes, and Media Stereotypes While Eating Spicy Wings",2015-08-11,Ja Rule,1,TRUE
1,6,6,"B.o.B. Talks Eggplant Fridays, Kid Rock, and Snapchat While Eating Spicy Wings",2015-08-26,B.o.B.,1,TRUE
1,7,7,Prince Amukamara Talks NFL Salaries & Pre-Game Sex While Eating Spicy Wings,2015-10-07,Prince Amukamara,1,TRUE
1,8,8,"DJ Khaled Talks Fuccbois, Finga Licking, and Media Dinosaurs While Eating Spicy Wings",2015-10-22,DJ Khaled,1,FALSE
2,9,1,"Curren$y Talks Munchies, Industry Games, and Rap Dogs While Eating Spicy Wings",2015-12-10,Curren$y,1,TRUE
2,10,2,Tinashe Talks NFL Dances and 2015's Sexiest Songs While Eating Spicy Wings,2015-12-17,Tinashe,1,TRUE
2,11,3,"Tommy Chong Talks Weed, Bernie Sanders, and Smoking with Snoop While Eating Spicy Wings",2016-02-03,Tommy Chong,1,TRUE
2,12,4,"T.J. Miller Talks Deadpool, Hecklers, and Relationship Advice While Eating Spicy Wings",2016-02-12,T.J. Miller,1,TRUE
2,13,5,Coolio Talks Hip-Hop Cooking and Gangsta's Paradise Folklore While Eating Spicy Wings,2016-03-07,Coolio,1,TRUE
2,14,6,"Joey Fatone Talks *NSYNC, DJ Khaled, and Guy Fieri While Eating Spicy Wings",2016-04-07,Joey Fatone,1,TRUE
2,15,7,"Michael Rapaport Talks LeBron James, Phife Dawg, & Reality TV While Eating Spicy Wings",2016-04-13,Michael Rapaport,1,TRUE
2,16,8,Key & Peele Lose Their Minds Eating Spicy Wings,2016-04-28,Key & Peele,1,TRUE
2,17,9,Riff Raff Goes Full Burly Boy on Some Spicy Wings,2016-05-05,Riff Raff,1,TRUE
2,18,10,Eddie Huang Gets Destroyed by Spicy Wings,2016-05-31,Eddie Huang,1,TRUE
2,19,11,Chris D'Elia Turns Into DJ Khaled While Eating Spicy Wings,2016-06-09,Chris D'Elia,1,TRUE
2,20,12,Mike Epps Gets Crushed by Spicy Wings,2016-06-21,Mike Epps,1,FALSE
2,21,13,Jim Gaffigan Rediscovers His Flop Sweat Eating Spicy Wings,2016-06-23,Jim Gaffigan,1,FALSE
2,22,14,Carly Aquilino Takes on the Spicy Wings Challenge,2016-06-30,Carly Aquilino,1,TRUE
2,23,15,Redman Wilds Out Eating Spicy Wings,2016-07-07,Redman,1,TRUE
2,24,16,Rob Gronkowski Gets Blindsided by Spicy Wings,2016-07-14,Rob Gronkowski,1,TRUE
2,25,17,Rob Corddry Cries Real Tears Eating Spicy Wings,2016-07-21,Rob Corddry,1,FALSE
2,26,18,Jeff Ross Gets Roasted by Spicy Wings,2016-07-28,Jeff Ross,1,TRUE
2,27,19,David Cross Embraces the Extremes of Spicy Wings,2016-07-29,David Cross,1,TRUE
2,28,20,Eric André Turns Into Tay Zonday While Eating Spicy Wings,2016-08-04,Eric André,1,TRUE
2,29,21,Joe Budden Keeps It Real While Eating Spicy Wings,2016-08-11,Joe Budden,1,TRUE
2,30,22,Matty Matheson Turns Into a Motivational Speaker Eating Spicy Wings,2016-08-18,Matty Matheson,1,TRUE
2,31,23,RZA and Paul Banks Tag Team Spicy Wings,2016-08-25,RZA and Paul Banks,1,TRUE
2,32,24,Bert Kreischer Sweats Profusely Eating Spicy Wings,2016-09-01,Bert Kreischer,1,TRUE
2,33,25,YG Keeps His Bool Eating Spicy Nuggets,2016-09-08,YG,1,TRUE
2,34,26,Jay Pharoah Has a Staring Contest While Eating Spicy Wings,2016-09-15,Jay Pharoah,1,TRUE
2,35,27,Harley Morenstein Has His Worst Day of 2016 Eating Spicy Wings,2016-09-22,Harley Morenstein,1,TRUE
2,36,28,Travis Kelce Gets Woozy Eating Spicy Wings,2016-09-29,Travis Kelce,1,TRUE
