Rank Country,,TICs  (millions US$),Rank Country,,TICs  (millions US$),Rank Country,,TICs  (millions US$)
1 China,,"$222,590",43 Pakistan,,"$2,431",85 Estonia,,$101.6
2 USA,,"$181,730",44 Romania,,"$2,179",86 Mozambique,,$95.9
3 Japan,,"$120,750",45 Norway,,"$2,165",87 Luxembourg,,$89.1
4 Germany,,"$85,864",46 Venezuela,,"$2,010",88 Equatorial Guinea,,$82.7
5 Italy,,"$44,228",47 Colombia,,"$1,931",89 Malta,,$74.5
6 France,,"$38,159",48 Czech Republic,,"$1,883",90 Ethiopia,,$66.2
7 Korea Republic of,,"$37,620",49 Portugal,,"$1,806",91 Malawi,,$63.3
8 India,,"$36,913",50 Greece,,"$1,749",92 Georgia (Republic),,$62.6
9 Russian Federation,,"$34,336",51 Peru,,"$1,419",93 Honduras,,$61.8
10 United Kingdom,,"$25,670",52 Egypt,,"$1,328",94 Cyprus,,$58.4
11 Brazil,,"$24,761",53 New Zealand,,"$1,229",95 Tajikistan,,$57.5
12 Australia,,"$24,719",54 Bulgaria,,"$1,167",96 Dominican Republic,,$51.4
13 Malaysia,,"$22,776",55 Morocco,,$938.5,97 Guinea,,$47.4
14 Singapore,,"$21,726",56 Kazakhstan,,$853.8,98 Madagascar,,$39.2
15 Thailand,,"$21,170",57 Sudan,,$842.6,99 Nicaragua,,$38.1
16 Indonesia,,"$17,971",58 Bangladesh,,$811.2,100 Macedonia,,$35.0
17 Saudi Arabia,,"$16,722",59 Kenya,,$789.8,101 Jamaica,,$34.3
18 Spain,,"$15,984",60 Sri Lanka,,$732.0,102 Laos,,$31.7
19 Netherlands,,"$15,769",61 Slovakia,,$647.3,103 Moldova,,$30.2
20 Belgium,,"$12,299",62 Yemen,,$571.9,104 Iceland,,$29.5
21 Switzerland,,"$9,808",63 Congo,,$552.8,105 Mali,,$28.2
22 Canada,,"$9,298",64 Tunisia,,$449.1,106 Fiji,,$26.6
23 South Africa,,"$8,435",65 Slovenia,,$437.7,107 Armenia,,$24.3
24 Turkey,,"$7,899",66 Costa Rica,,$428.1,108 Niger,,$23.3
25 Nigeria,,"$7,446",67 Trinidad and Tobago,,$426.8,109 Nepal,,$22.7
26 Sweden,,"$7,247",68 Lithuania,,$371.9,110 Burkina Faso,,$19.2
27 Austria,,"$6,298",69 Ecuador,,$306.7,111 Rwanda,,$16.1
28 Argentina,,"$6,007",70 Azerbaijan,,$304.1,112 Mongolia,,$14.2
29 Iran,,"$5,907",71 Cambodia,,$256.2,113 Barbados,,$12.1
30 Vietnam,,"$5,728",72 Croatia,,$241.8,114 Kyrgyzstan,,$9.2
31 Mexico,,"$5,555",73 Uruguay,,$231.5,115 Suriname,,$7.9
32 Poland,,"$5,456",74 Jordan,,$229.1,116 Vanuatu,,$7.6
33 Philippines,,"$5,216",75 Belarus,,$209.9,117 Albania,,$7.3
34 Israel,,"$4,635",76 Ghana,,$194.5,118 Qatar,,$5.5
35 Hungary,,"$3,457",77 Cameroon,,$178.3,119 Bosnia and Herzegovina,,$4.4
36 Chile,,"$3,427",78 Mauritius,,$159.4,120 Belize,,$4.3
37 Ukraine,,"$3,314",79 Togo,,$145.3,121 Gambia,,$3.6
38 Algeria,,"$3,219",80 Latvia,,$143.1,122 Guinea-Bissau,,$1.8
39 Finland,,"$3,197",81 El Salvador,,$137.5,123 Burundi,,$1.6
40 Ireland,,"$2,932",82 Panama,,$124.6,124 Cape Verde,,$0.3
41 Denmark,,"$2,911",83 Paraguay,,$112.1,,,
42 Iraq,,"$2,548",84 Lebanon,,$108.2,,,
