event_id,time,latitude,longitude,depth_km,duration_magnitude_md,md_error,area,type,review_level,year
4251,2011-04-20T00:27:24Z,40.818,14.43,0.42,1.2,0.3,Mount Vesuvius,earthquake,revised,2011
4252,2012-06-19T21:29:48Z,40.808833,14.427167,1.31,0.7,0.3,Mount Vesuvius,earthquake,revised,2012
22547,2013-01-01T07:34:46Z,40.82217,14.428,0.06,2.2,0.3,Mount Vesuvius,earthquake,preliminary,2013
22546,2013-01-03T16:06:48Z,NA,NA,NA,0.2,0.3,Mount Vesuvius,earthquake,preliminary,2013
22545,2013-01-03T16:07:37Z,NA,NA,NA,0.2,0.3,Mount Vesuvius,earthquake,preliminary,2013
22544,2013-01-04T06:42:50Z,NA,NA,NA,0,0.3,Mount Vesuvius,earthquake,preliminary,2013
22543,2013-01-04T18:37:31Z,NA,NA,NA,0.8,0.3,Mount Vesuvius,earthquake,preliminary,2013
22542,2013-01-05T01:55:31Z,NA,NA,NA,1.4,0.3,Mount Vesuvius,earthquake,preliminary,2013
22541,2013-01-05T01:59:08Z,NA,NA,NA,-0.2,0.3,Mount Vesuvius,earthquake,preliminary,2013
22540,2013-01-05T06:57:50Z,NA,NA,NA,0.3,0.3,Mount Vesuvius,earthquake,preliminary,2013
22539,2013-01-05T11:19:46Z,NA,NA,NA,0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22538,2013-01-06T19:11:03Z,NA,NA,NA,0.4,0.3,Mount Vesuvius,earthquake,preliminary,2013
22537,2013-01-07T21:21:28Z,NA,NA,NA,0,0.3,Mount Vesuvius,earthquake,preliminary,2013
22536,2013-01-08T02:14:57Z,NA,NA,NA,-0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22534,2013-01-08T22:37:16Z,NA,NA,NA,NA,NA,Mount Vesuvius,earthquake,preliminary,2013
22533,2013-01-09T09:20:11Z,NA,NA,NA,-0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22532,2013-01-09T15:07:04Z,40.823002,14.42733,1.14,1.7,0.3,Mount Vesuvius,earthquake,preliminary,2013
22531,2013-01-11T08:39:34Z,NA,NA,NA,0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22530,2013-01-11T09:10:31Z,NA,NA,NA,0.4,0.3,Mount Vesuvius,earthquake,preliminary,2013
22529,2013-01-11T10:05:33Z,NA,NA,NA,-0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22528,2013-01-11T17:19:06Z,NA,NA,NA,-0.1,0.3,Mount Vesuvius,earthquake,preliminary,2013
22527,2013-01-11T17:19:08Z,NA,NA,NA,NA,NA,Mount Vesuvius,earthquake,preliminary,2013
22526,2013-01-12T05:25:12Z,NA,NA,NA,-1,0.3,Mount Vesuvius,earthquake,preliminary,2013
22525,2013-01-12T05:47:48Z,NA,NA,NA,-0.1,0.3,Mount Vesuvius,earthquake,preliminary,2013
22524,2013-01-12T14:59:35Z,NA,NA,NA,0.8,0.3,Mount Vesuvius,earthquake,preliminary,2013
22523,2013-01-12T15:07:37Z,NA,NA,NA,-0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22522,2013-01-12T15:24:07Z,NA,NA,NA,-0.4,0.3,Mount Vesuvius,earthquake,preliminary,2013
22521,2013-01-12T15:35:45Z,NA,NA,NA,0.3,0.3,Mount Vesuvius,earthquake,preliminary,2013
22520,2013-01-12T15:36:33Z,NA,NA,NA,-0.6,0.3,Mount Vesuvius,earthquake,preliminary,2013
22519,2013-01-14T13:37:14Z,NA,NA,NA,0,0.3,Mount Vesuvius,earthquake,preliminary,2013
22518,2013-01-14T13:54:19Z,NA,NA,NA,0.4,0.3,Mount Vesuvius,earthquake,preliminary,2013
22517,2013-01-14T13:59:36Z,NA,NA,NA,0.3,0.3,Mount Vesuvius,earthquake,preliminary,2013
22516,2013-01-14T20:59:49Z,NA,NA,NA,-0.4,0.3,Mount Vesuvius,earthquake,preliminary,2013
