INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
U. of Phoenix-ArizonaArizona,"195,059","134,722",876,"1,959","31,455","13,984","1,019","58,209","19,039","65,163","3,355","68,332"
Ivy Tech Community College-Central IndianaIndiana,"91,179","53,476",357,"1,369","12,370","5,533",0,"61,498","1,804","8,224",24,"21,433"
Liberty U.Virginia,"81,459","48,329",447,856,"14,751","1,186",151,"39,062","1,772","22,198","1,036","19,163"
Lone Star College systemTexas,"69,395","41,268",168,"4,198","12,094","23,751",0,"23,615","1,997","2,273","1,299","42,208"
Miami Dade CollegeFlorida,"66,046","38,323",47,655,"10,722","44,870",41,"4,170",226,"1,927","3,388","56,561"
Grand Canyon U.Arizona,"62,304","46,647",586,"2,446","13,856","8,933",295,"28,715","1,558","5,915",0,"27,674"
Texas A&M U. at College StationTexas,"61,642","29,277",173,"3,545","1,879","11,256",59,"37,458","1,644",383,"5,245","18,556"
U. of Central FloridaFlorida,"60,767","33,482",120,"3,343","6,400","13,108",129,"33,293","1,841","1,018","1,515","24,941"
Ohio State U.Ohio,"58,322","28,658",76,"3,339","3,108","2,049",35,"40,283","1,503","1,753","6,176","10,110"
Houston Community CollegeTexas,"58,276","34,007",116,"5,391","18,520","18,411",130,"8,368",880,"1,151","5,309","43,448"
Western Governors U.Utah,"57,821","35,024",360,"2,195","5,442","4,291",288,"41,898","1,660","1,614",73,"14,236"
American Public U. systemWest Virginia,"57,539","22,009",397,"1,106","11,842","5,656",526,"32,587","2,053","2,876",496,"21,580"
Walden U.Minnesota,"52,188","39,871",267,"1,343","18,914","3,021",116,"20,280","1,090","6,618",539,"24,751"
Kaplan U. at Davenport (Iowa)Iowa,"52,018","39,852",862,"1,032","16,014","4,537",311,"24,268",1,"4,693",300,"22,757"
Northern Virginia Community CollegeVirginia,"51,487","26,506",134,"7,333","9,085","10,264",266,"20,097","1,855","1,118","1,335","28,937"
U. of Texas at AustinTexas,"51,313","26,064",96,"8,324","1,961","9,836",59,"24,068","1,576",530,"4,863","21,852"
Ashford U.California,"51,237","36,116",482,645,"18,727","4,792",405,"23,596","1,539",955,96,"26,590"
U. of Minnesota-Twin CitiesMinnesota,"51,147","26,424",163,"3,998","1,785","1,544",31,"33,674","1,353","2,223","6,376","8,874"
Tarrant County College DistrictTexas,"50,595","29,419",231,"2,950","9,407","14,632",107,"21,176","1,071",615,406,"28,398"
Arizona State U.Arizona,"50,320","21,614",651,"3,185","1,803","8,239",103,"26,155","1,765",465,"7,954","15,746"
Michigan State U.Michigan,"50,081","25,767",127,"2,214","3,196","1,878",46,"33,115","1,217",646,"7,642","8,678"
Florida International U.Florida,"49,610","27,757",42,"1,434","5,977","31,211",57,"5,683","1,042",545,"3,619","39,763"
U. of FloridaFlorida,"49,459","26,820",137,"3,501","3,151","8,127",240,"27,317","1,108","1,583","4,295","16,264"
New York U.New York,"49,274","27,153",94,"7,314","2,374","4,267",45,"17,326","1,248","5,111","11,495","15,342"
Rutgers U. at New BrunswickNew Jersey,"48,378","25,878",30,"10,850","3,874","5,438",123,"20,916","1,341","1,119","4,687","21,656"
U. of Maryland University CollegeMaryland,"47,906","23,238",218,"2,272","14,348","4,628",297,"19,344","1,652","4,454",693,"23,415"
Pennsylvania State U. at University ParkPennsylvania,"47,040","21,699",36,"2,624","1,823","2,468",35,"31,453","1,082",827,"6,692","8,068"
Indiana U. at BloomingtonIndiana,"46,416","23,317",55,"2,008","1,794","2,056",22,"32,242","1,411",534,"6,294","7,346"
U. of Illinois at Urbana-ChampaignIllinois,"45,140","20,271",39,"6,121","2,186","3,384",47,"21,777","1,049",576,"9,961","12,826"
U. of WashingtonWashington,"44,784","23,369",233,"8,702","1,093","2,917",160,"21,015","2,407","1,580","6,677","15,512"
Broward CollegeFlorida,"44,119","25,988",84,"1,305","14,638","15,053",133,"9,047",742,"1,757","1,360","31,955"
U. of Michigan at Ann ArborMichigan,"43,625","20,886",80,"4,974","1,742","1,933",21,"24,810","1,268","2,783","6,014","10,018"
Southern New Hampshire U.New Hampshire,"43,274","26,293",152,337,"2,373","1,009",33,"10,846",60,"27,213","1,251","3,964"
Valencia CollegeFlorida,"43,217","23,884",144,"1,898","7,490","13,965",190,"13,600","1,020","4,039",871,"24,707"
U. of Wisconsin at MadisonWisconsin,"42,598","21,611",109,"2,181",961,"1,948",42,"30,435","1,040",571,"5,311","6,281"
U. of Southern CaliforniaCalifornia,"42,453","22,112",73,"7,696","2,238","5,286",104,"13,922","1,380","2,045","9,709","16,777"
U. of ArizonaArizona,"42,236","21,891",517,"2,392","1,402","9,405",95,"22,050","1,608","1,071","3,696","15,419"
U. of South FloridaFlorida,"41,938","23,382",87,"2,662","4,298","7,412",107,"22,006","1,303",821,"3,242","15,869"
U. of California at Los AngelesCalifornia,"41,845","22,106",66,"11,257","1,229","7,066",114,"12,824","1,825","1,042","6,422","21,557"
Excelsior CollegeNew York,"41,527","22,707",250,"1,287","8,954","3,837",240,"24,624","1,080","1,010",245,"15,648"
Florida State U.Florida,"41,226","22,645",116,"1,029","3,377","6,594",59,"26,466","1,063",647,"1,875","12,238"
Austin Community CollegeTexas,"40,949","22,778",335,"1,955","2,991","12,388",77,"18,704","1,132","2,064","1,303","18,878"
U. of HoustonTexas,"40,914","20,184",47,"8,118","4,173","10,994",97,"11,855","1,218",387,"4,025","24,647"
California State U. at NorthridgeCalifornia,"40,131","22,133",65,"4,379","2,166","15,855",92,"10,379","1,289","2,400","3,506","23,846"
Purdue U. at West LafayetteIndiana,"39,752","16,548",57,"2,076","1,202","1,575",31,"24,244",768,719,"9,080","5,709"
U. of Texas at ArlingtonTexas,"39,740","23,733",107,"3,704","5,602","8,186",106,"16,153","1,144",319,"4,419","18,849"
California State U. at FullertonCalifornia,"38,128","21,162",68,"7,905",813,"13,722",75,"9,485","1,527","1,603","2,930","24,110"
U. of Maryland at College ParkMaryland,"37,610","17,580",47,"4,995","4,206","2,914",29,"18,654","1,242","1,210","4,313","13,433"
U. of California at BerkeleyCalifornia,"37,565","18,851",79,"11,172",886,"4,529",81,"11,519","1,566","1,655","6,078","18,313"
Temple U.Pennsylvania,"37,485","19,476",62,"3,819","4,466","1,987",40,"20,664",850,"2,947","2,650","11,224"
