name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Aaniiih Nakoda College,Montana,MT,Public,2 Year,NA,2380,2380,2380,2380
Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474,4128,12602,12550,21024
Academy College,Minnesota,MN,For Profit,2 Year,NA,17661,17661,17661,17661
Academy of Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adelphi University,New York,NY,Private,4 Year,16030,38660,54690,38660,54690
Adirondack Community College,New York,NY,Public,2 Year,11660,5375,17035,9935,21595
Adrian College,Michigan,MI,Private,4 Year,11318,37087,48405,37087,48405
Advanced Technology Institute,Virginia,VA,For Profit,2 Year,NA,13680,13680,13680,13680
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Aiken Technical College,South Carolina,SC,Public,2 Year,NA,5160,5160,8010,8010
Aims Community College,Colorado,CO,Public,2 Year,NA,2281,2281,13018,13018
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297
Alabama Southern Community College,Alabama,AL,Public,2 Year,NA,4440,4440,8880,8880
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alamance Community College,North Carolina,NC,Public,2 Year,NA,2310,2310,8070,8070
Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Georgia,GA,Public,4 Year,8878,6726,15604,19802,28680
Albany Technical College,Georgia,GA,Public,2 Year,NA,3246,3246,5916,5916
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155
Albright College,Pennsylvania,PA,Private,4 Year,12070,45306,57376,45306,57376
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752
Alderson-Broaddus University,West Virginia,WV,Private,4 Year,8860,27910,36770,27910,36770
Alexandria Technical and Community College,Minnesota,MN,Public,2 Year,NA,5416,5416,5416,5416
Alfred University,New York,NY,Private,4 Year,12516,33484,46000,33484,46000
Allan Hancock College,California,CA,Public,2 Year,NA,1418,1418,7898,7898
Allegany College of Maryland,Maryland,MD,Public,2 Year,NA,4140,4140,9210,9210
Allegheny College,Pennsylvania,PA,Private,4 Year,12140,47540,59680,47540,59680
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,4000,6400,10400,6400,10400
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252
Allen County Community College,Kansas,KS,Public,2 Year,5070,3150,8220,3150,8220
Allen University,South Carolina,SC,Private,4 Year,7230,13340,20570,13340,20570
Alliant International University,California,CA,Private,4 Year,NA,18000,18000,18000,18000
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256
Alpena Community College,Michigan,MI,Public,2 Year,NA,4530,4530,6840,6840
Alvernia University,Pennsylvania,PA,Private,4 Year,NA,34885,34885,34885,34885
Alverno College,Wisconsin,WI,Private,4 Year,8546,28302,36848,28302,36848
Alvin Community College,Texas,TX,Public,2 Year,NA,1998,1998,4818,4818
Amarillo College,Texas,TX,Public,2 Year,NA,2670,2670,5880,5880
Amberton University,Texas,TX,Private,4 Year,NA,12840,12840,12840,12840
American Academy McAllister Institute of Funeral Service,New York,NY,Private,2 Year,NA,17160,17160,17160,17160
American Academy of Art,Illinois,IL,Private,4 Year,NA,34100,34100,34100,34100
American Academy of Dramatic Arts,New York,NY,Private,2 Year,17955,35160,53115,35160,53115
American Academy of Dramatic Arts: West,California,CA,Private,2 Year,13255,35160,48415,35160,48415
American Baptist College,Tennessee,TN,Private,4 Year,8640,10950,19590,10950,19590
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250,958,7208,958,7208
American International College,Massachusetts,MA,Private,4 Year,14300,35680,49980,35680,49980
American Jewish University,California,CA,Private,4 Year,17362,31826,49188,31826,49188
American National University: Charlottesville,Virginia,VA,For Profit,2 Year,NA,18735,18735,18735,18735
American National University: Danville,Virginia,VA,For Profit,2 Year,NA,18735,18735,18735,18735
American National University: Harrisonburg,Virginia,VA,For Profit,2 Year,NA,18735,18735,18735,18735
American National University: Lynchburg,Virginia,VA,For Profit,2 Year,NA,18735,18735,18735,18735
American National University: Martinsville,Virginia,VA,For Profit,2 Year,NA,18735,18735,18735,18735
American National University: Salem,Virginia,VA,For Profit,4 Year,NA,18735,18735,18735,18735
American  University SystemFor-profit,West Virginia,WV,Public,4 Year,NA,8150,8150,8150,8150
American River College,California,CA,Public,2 Year,NA,1416,1416,9546,9546
American Samoa Community College,NA,AS,Public,2 Year,NA,3700,3700,3700,3700
American University,NA,DC,Private,4 Year,14880,48459,63339,48459,63339
American University of Puerto Rico,NA,PR,Private,4 Year,NA,6946,6946,6946,6946
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900
Ancilla College,Indiana,IN,Private,2 Year,9600,17330,26930,17330,26930
Anderson University,South Carolina,SC,Private,4 Year,9830,28000,37830,28000,37830
Anderson University,Indiana,IN,Private,4 Year,9890,30450,40340,30450,40340
Andrew College,Georgia,GA,Private,2 Year,10636,17388,28024,17388,28024
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366
Angelina College,Texas,TX,Public,2 Year,5500,2625,8125,5535,11035
Angelo State University,Texas,TX,Public,4 Year,9130,8489,17619,20939,30069
Anna Maria College,Massachusetts,MA,Private,4 Year,14630,37860,52490,37860,52490
Anne Arundel Community College,Maryland,MD,Public,2 Year,NA,4110,4110,12180,12180
Anoka Technical College,Minnesota,MN,Public,2 Year,NA,5584,5584,5584,5584
Anoka-Ramsey Community College,Minnesota,MN,Public,2 Year,NA,5073,5073,5073,5073
Antelope Valley College,California,CA,Public,2 Year,NA,1420,1420,9760,9760
Antioch College,Ohio,OH,Private,4 Year,7640,35718,43358,35718,43358
Antioch University Los Angeles,California,CA,Private,4 Year,NA,20670,20670,20670,20670
Antioch University Midwest,Ohio,OH,Private,4 Year,NA,16210,16210,16210,16210
Antioch University Santa Barbara,California,CA,Private,4 Year,NA,22575,22575,22575,22575
Antioch University Seattle,Washington,WA,Private,4 Year,NA,27435,27435,27435,27435
Apex School of Theology,North Carolina,NC,Private,4 Year,NA,6200,6200,6200,6200
Appalachian Bible College,West Virginia,WV,Private,4 Year,7960,14720,22680,14720,22680
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325
Aquinas College,Michigan,MI,Private,4 Year,9332,32574,41906,32574,41906
Aquinas College,Tennessee,TN,Private,4 Year,NA,23600,23600,23600,23600
Arapahoe Community College,Colorado,CO,Public,2 Year,NA,4811,4811,18671,18671
Arcadia University,Pennsylvania,PA,Private,4 Year,13800,43580,57380,43580,57380
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984
Arizona Western College,Arizona,AZ,Public,2 Year,6700,2520,9220,9510,16210
Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826,8760,17586,8760,17586
Arkansas Northeastern College,Arkansas,AR,Public,2 Year,NA,2450,2450,4250,4250
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458
Arkansas State University Mid-South,Arkansas,AR,Public,2 Year,NA,3274,3274,5014,5014
Arkansas State University: Beebe,Arkansas,AR,Public,2 Year,5280,3600,8880,5760,11040
Arkansas State University: Mountain Home,Arkansas,AR,Public,2 Year,NA,3570,3570,5580,5580
Arkansas State University: Newport,Arkansas,AR,Public,2 Year,NA,3480,3480,5310,5310
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718
Arlington Baptist University,Texas,TX,Private,4 Year,6500,13190,19690,13190,19690
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251
Art Academy of Cincinnati,Ohio,OH,Private,4 Year,6700,33889,40589,33889,40589
Art Center College of Design,California,CA,Private,4 Year,NA,43416,43416,43416,43416
Art Institute of Houston,Texas,TX,For Profit,4 Year,9600,24024,33624,24024,33624
Art Institute of Philadelphia,Pennsylvania,PA,For Profit,4 Year,NA,14850,14850,14850,14850
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573
Art Institute of Pittsburgh,Pennsylvania,PA,For Profit,4 Year,2758,23376,26134,23376,26134
ASA College,New York,NY,For Profit,2 Year,9500,14065,23565,14065,23565
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358
Asheville-Buncombe Technical Community College,North Carolina,NC,Public,2 Year,NA,2354,2354,8114,8114
Ashford University,California,CA,For Profit,4 Year,NA,12160,12160,12160,12160
Ashland Community and Technical College,Kentucky,KY,Public,2 Year,NA,5310,5310,18000,18000
Ashland University,Ohio,OH,Private,4 Year,9941,21342,31283,21342,31283
Ashworth College,Georgia,GA,For Profit,2 Year,NA,1399,1399,1399,1399
Asnuntuck Community College,Connecticut,CT,Public,2 Year,NA,4404,4404,13170,13170
Assumption College,Massachusetts,MA,Private,4 Year,12694,40958,53652,40958,53652
Assumption College for Sisters,New Jersey,NJ,Private,2 Year,NA,5888,5888,5888,5888
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870
Athens Technical College,Georgia,GA,Public,2 Year,NA,3292,3292,5962,5962
Atlanta Metropolitan State College,Georgia,GA,Public,2 Year,NA,4008,4008,12088,12088
Atlanta Technical College,Georgia,GA,Public,2 Year,NA,3350,3350,6020,6020
Atlantic Cape Community College,New Jersey,NJ,Public,2 Year,NA,5096,5096,8096,8096
Atlantic University College,NA,PR,Private,4 Year,NA,4525,4525,4525,4525
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080
Augusta Technical College,Georgia,GA,Public,2 Year,NA,3494,3494,6164,6164
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266
Aultman College of Nursing and Health Sciences,Ohio,OH,Private,2 Year,NA,18510,18510,18510,18510
Aurora University,Illinois,IL,Private,4 Year,11700,24260,35960,24260,35960
Austin College,Texas,TX,Private,4 Year,12527,39985,52512,39985,52512
Austin Community College,Texas,TX,Public,2 Year,NA,2550,2550,13020,13020
Austin Graduate School of Theology,Texas,TX,Private,4 Year,NA,11900,11900,11900,11900
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167
Ave Maria University,Florida,FL,Private,4 Year,11436,20850,32286,20850,32286
Averett University,Virginia,VA,Private,4 Year,9976,34400,44376,34400,44376
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100
Azusa Pacific University,California,CA,Private,4 Year,10076,38880,48956,38880,48956
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240
Bakersfield College,California,CA,Public,2 Year,NA,1418,1418,7838,7838
Baldwin Wallace University,Ohio,OH,Private,4 Year,9554,32586,42140,32586,42140
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702
Baltimore City Community College,Maryland,MD,Public,2 Year,NA,2893,2893,6973,6973
Baptist Bible College,Missouri,MO,Private,4 Year,7500,14150,21650,14150,21650
Baptist College of Florida,Florida,FL,Private,4 Year,4612,12300,16912,12300,16912
Baptist College of Health Sciences,Tennessee,TN,Private,4 Year,2900,14700,17600,14700,17600
