season,season_episode,series_episode,episode_name,episode_notes,air_date,judge1,judge2,judge3,appetizer,entree,dessert,contestant1,contestant1_info,contestant2,contestant2_info,contestant3,contestant3_info,contestant4,contestant4_info
1,1,1,"""Octopus, Duck, Animal Crackers""",This is the first episode with only three official ingredients in a basket (dessert round). There would be no hard set limit until season 4.,"January 13, 2009",Marc Murphy,Alex Guarnaschelli,Aarón Sánchez," baby octopus, bok choy, oyster sauce, smoked paprika "," duck breast, green onions, ginger, honey "," prunes, animal crackers, cream cheese",Summer Kriegshauser, Private Chef and Nutrition Coach  New York  NY , Perry Pollaci, Private Chef and Sous chef  Bar Blanc  New York  NY , Katie Rosenhouse, Pastry Chef  Olana Restaurant  New York  NY , Sandy Davis, Catering Chef  Showstoppers Catering at Union Theological Seminary  New York  NY 
1,2,2,"""Tofu, Blueberries, Oysters""","This is the first of a few episodes with five official ingredients in a basket (entrée round), as well as three ingredients in the appetizer round.","January 20, 2009",Aarón Sánchez,Alex Guarnaschelli,Marc Murphy," firm tofu, tomato paste, prosciutto "," daikon, pork loin, Napa cabbage, Thai chiles, Blue Point oysters "," phyllo dough, gorgonzola cheese, pineapple rings, blueberries",Raymond Jackson, Private Caterer and Culinary Instructor  Westchester County  NY , Klaus Kronsteiner, Chef de cuisine  Liberty National Golf Course  Jersey City  NJ , Christopher Jackson, Executive Chef and Owner  Ted and Honey  Brooklyn  NY , Pippa Calland, Owner and Chef  Chef for Hire LLC  Newville  PA 
1,3,3,"""Avocado, Tahini, Bran Flakes""",,"January 27, 2009",Aarón Sánchez,Alex Guarnaschelli,Marc Murphy," lump crab meat, dried shiitake mushrooms, pink grapefruit, bran cereal "," ground beef, cannellini beans, tahini paste, grape jelly "," brioche, cantaloupe, pecans, avocados",Margaritte Malfy, Executive Chef and Co-owner  La Palapa  New York  NY , Rachelle Rodwell, Chef de cuisine  SoHo Grand Hotel  New York  NY , Chris Burke, Private Chef  New York  NY , Andre Marrero, Chef tournant  L’Atelier de Joël Robuchon  New York  NY 
1,4,4,"""Banana, Collard Greens, Grits""","In the appetizer round, Chef Chuboda refused to use bananas in his dish, leading to his elimination. In the dessert round, Chef Gonzales accidentally used salt instead of sugar in his dish, asserting that this resulted in his elimination.","February 3, 2009",Scott Conant,Amanda Freitag,Geoffrey Zakarian," ground beef, wonton wrappers, cream of mushroom soup, bananas "," scallops, collard greens, anchovies, sour cream "," maple syrup, black plums, almond butter, walnuts, quick grits",Sean Chudoba, Executive Chef  Ayza Wine Bar  New York  NY , Kyle Shadix, Chef  Registered Dietician and Culinary Consultant  New York  NY , Luis Gonzales, Executive Chef  Knickerbocker Bar & Grill  New York  NY , Einat Admony, Chef and Owner  Taïm  New York  NY 
1,5,5,"""Yucca, Watermelon, Tortillas""",,"February 10, 2009",Geoffrey Zakarian,Alex Guarnaschelli,Marc Murphy," watermelon, canned sardines, pepper jack cheese, zucchini "," beef shoulder, yucca, raisins, ancho chiles, dill pickles "," flour tortillas, prosecco, Canadian bacon, roasted chestnuts",John Keller, Personal Chef  New York  NY , Andrea Bergquist, Executive Chef  New York  NY , Ed Witt, Executive Chef / Wine Director  Bloomingdale Road and Wine Directory  New York  NY , Josh Emett, Chef de cuisine  Gordon Ramsay at The London  New York  NY 
1,6,6,"""Canned Peaches, Rice Cakes, Beets""",,"February 17, 2009",Chris Santos,Alex Guarnaschelli,Aarón Sánchez," asparagus, chorizo, button mushrooms, canned peaches "," rice cakes, chicken thighs, plantains, fruit punch, cocktail onions "," beets, goat cheese, quick cook oatmeal, crystallized ginger",Cindi Avila, Catering Manager and Chef  Crisp  New York  NY , Lucas Manteca, Chef/Restaurateur  Sea Salt and Quahog's Restaurants  Stone Harbor  NJ , Robert Burmeister, Executive Chef and Co-Owner  Chow Gourmet Kitchen  Staten Island  NY , Chris Coleman, Private Executive Chef  Long Island  NY 
1,7,7,"""Quail, Arctic Char, Beer""","In the appetizer Melinda did not get her quail on 1 plate. As a result, she was eliminated.","February 24, 2009",Scott Conant,Alex Guarnaschelli,Amanda Freita," endive, frozen peas, quail, red seedless grapes "," watercress, tamarind paste, creamed corn, Arctic char "," pitted dates, frozen pie crust, caramel candy, stout beer",Melinda Dorn, Sous chef and Instructor  New York  NY , Ralph Battista Jr., Executive Chef  Butterfield 8  New York  NY , Lior Lev Sercarz, Chef and Entrepreneur  La Boîte à Biscuits and La Boîte à Epices  New York  NY , Abe Lopez, Chef de cuisine  Pacifico  Center Valley  PA 
1,8,8,"""Coconut, Calamari, Donuts""","In the appetizer round, Chef LePape failed to get any food onto his plates. The judges allowed him to bring the pan from the oven to the tasting table after the other competitors offered their permission. Despite this, Chef LePape was eliminated.","March 3, 2009",Aarón Sánchez,Alex Guarnaschelli,Chris Santo," turbot, nori sheets, pistachios, coconut "," rainbow chard, papaya, granola, parsnips, calamari "," plain donuts, smoked gouda, white chocolate, dried apricots",Gwen LePape, Executive Chef  Frederick's Restaurant  New York  NY , Francesco Peluso, Executive Chef  Peluso's Italian Specialties  Clifton  NJ , Dave Ogren, Executive Chef  Almos Restaurant  New York  NY , Mina Newman, Executive Chef  Christos Steakhouse  Astoria  NY 
1,9,9,"""Mac & Cheese, Cola, Bacon""",Chef Lustberg has also competed on the ninth season of Hell's Kitchen (U.S. season 9).,"March 10, 2009",Chris Santos,Amanda Freitag,Marc Murphy," boxed macaroni and cheese, artichokes, tilapia "," eggplant, ground pork, poblano chiles, avocados, cola "," oranges, grapefruit, semi-sweet chocolate chips, bacon",David Goldwhite, Private Personal Chef  New York  NY , Gypsy Gifford, Executive Chef  Cafe Pinot  Los Angeles  CA , William Lustberg, Sous chef / saucier  Waldorf-Astoria Hotel  New York  NY , James Briscione, Chef Instructor  Institute of Culinary Education  New York  NY 
1,10,10,"""String Cheese, Jicama, Gingersnaps""",This is the first episode to feature four male chefs.,"March 17, 2009",Scott Conant,Amanda Freitag,Geoffrey Zakarian," chicken wings, soba noodles, celery, string cheese "," striped bass, pimento peppers, jicama, mangoes, brie cheese "," ginger snaps, crème fraîche, instant coffee, carrots",Jonathan Jernigan, Executive Chef  Catering by Jonathan  Willingboro  NJ , King Phojanakong, Executive Chef  Kuma Inn  New York  NY , Soulayphet Schwader, Executive Chef  Talay Restaurant  New York  NY , Darius Peacock, Executive Chef  Exceptional Taste Catering  Trenton  NJ 
