country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers
Argentina,2019,Grand Total,0,215,55,607,1376,281,116,18,2668,4,243
Argentina,2019,Unbranded,0,155,50,532,848,122,114,17,1838,4,243
Argentina,2019,The Coca-Cola Company,0,0,0,0,222,35,0,0,257,4,243
Argentina,2019,Secco,0,0,0,0,39,4,0,0,43,4,243
Argentina,2019,Doble Cola,0,0,0,0,38,0,0,0,38,4,243
Argentina,2019,Pritty,0,0,0,0,22,7,0,0,29,4,243
Argentina,2019,PepsiCo,0,0,0,0,21,6,0,0,27,4,243
Argentina,2019,Casoni,0,0,0,0,26,0,0,0,26,4,243
Argentina,2019,Villa Del Sur - Levite,0,0,0,0,19,1,0,0,20,4,243
Argentina,2019,Manaos,0,0,0,0,14,4,0,0,18,4,243
Argentina,2019,La Bichy Ahora,0,0,0,0,14,3,0,0,17,4,243
Argentina,2019,Villavicencio,0,0,0,0,14,1,0,0,15,4,243
Argentina,2019,Eco De Los Andes,0,0,0,0,14,0,0,0,14,4,243
Argentina,2019,Cavatini,0,0,0,13,0,0,0,0,13,4,243
Argentina,2019,Villa Del Sur,0,0,0,0,8,3,0,0,11,4,243
Argentina,2019,Cepita,0,0,0,0,9,0,0,0,9,4,243
Argentina,2019,Livra,0,0,0,0,5,4,0,0,9,4,243
Argentina,2019,Nestlé,0,1,0,0,6,2,0,0,9,4,243
Argentina,2019,Vino Toro,0,0,0,8,0,0,0,0,8,4,243
Argentina,2019,Frutafiel,0,0,0,0,6,1,0,0,7,4,243
Argentina,2019,Unilever,0,1,0,3,1,2,0,0,7,4,243
Argentina,2019,Arcor,0,0,0,1,0,5,0,0,6,4,243
Argentina,2019,SC Johnson,0,1,1,3,0,0,0,0,5,4,243
Argentina,2019,Seven Up,0,0,0,0,5,0,0,0,5,4,243
Argentina,2019,Dea,0,0,0,0,3,2,0,0,5,4,243
Argentina,2019,Sierra De Los Padres,0,0,0,0,4,1,0,0,5,4,243
Argentina,2019,The Clorox Group,0,4,0,0,0,1,0,0,5,4,243
Argentina,2019,Goliat,0,0,0,0,2,2,0,0,4,4,243
Argentina,2019,Pipas,0,0,0,0,0,4,0,0,4,4,243
Argentina,2019,Mondelez International,0,0,0,0,0,4,0,0,4,4,243
Argentina,2019,Dr Pepper Snapple Group,0,0,0,1,3,0,0,0,4,4,243
Argentina,2019,Schneider,0,0,0,4,0,0,0,0,4,4,243
Argentina,2019,Tacconi,0,0,0,0,4,0,0,0,4,4,243
Argentina,2019,Brahma,0,0,0,3,0,0,0,0,3,4,243
Argentina,2019,Baggio Pronto,0,0,0,3,0,0,0,0,3,4,243
Argentina,2019,Fantoche,0,0,0,0,0,3,0,0,3,4,243
Argentina,2019,Fernando,0,0,0,0,1,2,0,0,3,4,243
Argentina,2019,Ferrero Group,0,1,0,0,0,2,0,0,3,4,243
Argentina,2019,Quilmes,0,0,0,3,0,0,0,0,3,4,243
Argentina,2019,Poett,0,0,0,0,2,0,0,0,2,4,243
Argentina,2019,Hacendado,0,0,0,0,0,2,0,0,2,4,243
Argentina,2019,Yamlube,0,2,0,0,0,0,0,0,2,4,243
Argentina,2019,Yamaha Motors Argentina S.A.,0,2,0,0,0,0,0,0,2,4,243
Argentina,2019,Wega (N15),0,0,0,2,0,0,0,0,2,4,243
