"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"1","6/22/2007","Evan Almighty",1.75e+08,100289690,174131329,"Universal","PG","Comedy"
"2","7/28/1995","Waterworld",1.75e+08,88246220,264246220,"Universal","PG-13","Action"
"3","5/12/2017","King Arthur: Legend of the Sword",1.75e+08,39175066,139950708,"Warner Bros.","PG-13","Adventure"
"4","12/25/2013","47 Ronin",1.75e+08,38362475,151716815,"Universal","PG-13","Action"
"5","6/22/2018","Jurassic World: Fallen Kingdom",1.7e+08,416769345,1304866322,"Universal","PG-13","Action"
"6","8/1/2014","Guardians of the Galaxy",1.7e+08,333172112,771051335,"Walt Disney","PG-13","Action"
"7","5/7/2010","Iron Man 2",1.7e+08,312433331,621156389,"Paramount Pictures","PG-13","Action"
"8","4/4/2014","Captain America: The Winter Soldier",1.7e+08,259746958,714401889,"Walt Disney","PG-13","Action"
"9","7/11/2014","Dawn of the Planet of the Apes",1.7e+08,208545589,710644566,"20th Century Fox","PG-13","Adventure"
"10","11/10/2004","The Polar Express",1.7e+08,186493587,310634169,"Warner Bros.","G","Adventure"
"11","6/1/2012","Snow White and the Huntsman",1.7e+08,155136755,401021746,"Universal","PG-13","Adventure"
"12","7/1/2003","Terminator 3: Rise of the Machines",1.7e+08,150358296,433058296,"Warner Bros.","R","Action"
"13","5/7/2004","Van Helsing",1.7e+08,120150546,300150546,"Universal","PG-13","Action"
"14","5/22/2015","Tomorrowland",1.7e+08,93436322,207283457,"Walt Disney","PG","Adventure"
"15","5/27/2016","Alice Through the Looking Glass",1.7e+08,77042381,276934087,"Walt Disney","PG","Adventure"
"16","5/21/2010","Shrek Forever After",1.65e+08,238736787,756244673,"Paramount Pictures","PG","Adventure"
"17","11/4/2016","Doctor Strange",1.65e+08,232641920,676486457,"Walt Disney","PG-13","Action"
"18","11/7/2014","Big Hero 6",1.65e+08,222527828,652127828,"Walt Disney","PG","Adventure"
"19","3/26/2010","How to Train Your Dragon",1.65e+08,217581232,494870992,"Paramount Pictures","PG","Adventure"
"20","11/2/2012","Wreck-It Ralph",1.65e+08,189412677,496511521,"Walt Disney","PG","Adventure"
"21","11/5/2014","Interstellar",1.65e+08,188017894,667752422,"Paramount Pictures","PG-13","Adventure"
