color,rank,hex
purple,1,#7e1e9c
green,2,#15b01a
blue,3,#0343df
pink,4,#ff81c0
brown,5,#653700
red,6,#e50000
light blue,7,#95d0fc
teal,8,#029386
orange,9,#f97306
light green,10,#96f97b
magenta,11,#c20078
yellow,12,#ffff14
sky blue,13,#75bbfd
grey,14,#929591
lime green,15,#89fe05
light purple,16,#bf77f6
violet,17,#9a0eea
dark green,18,#033500
turquoise,19,#06c2ac
lavender,20,#c79fef
dark blue,21,#00035b
tan,22,#d1b26f
cyan,23,#00ffff
aqua,24,#13eac9
forest green,25,#06470c
mauve,26,#ae7181
dark purple,27,#35063e
bright green,28,#01ff07
maroon,29,#650021
olive,30,#6e750e
salmon,31,#ff796c
beige,32,#e6daa6
royal blue,33,#0504aa
navy blue,34,#001146
lilac,35,#cea2fd
black,36,#000000
hot pink,37,#ff028d
light brown,38,#ad8150
pale green,39,#c7fdb5
peach,40,#ffb07c
olive green,41,#677a04
dark pink,42,#cb416b
periwinkle,43,#8e82fe
sea green,44,#53fca1
lime,45,#aaff32
indigo,46,#380282
mustard,47,#ceb301
light pink,48,#ffd1df
rose,49,#cf6275
bright blue,50,#0165fc
neon green,51,#0cff0c
burnt orange,52,#c04e01
aquamarine,53,#04d8b2
navy,54,#01153e
grass green,55,#3f9b0b
pale blue,56,#d0fefe
dark red,57,#840000
bright purple,58,#be03fd
yellow green,59,#c0fb2d
baby blue,60,#a2cffe
gold,61,#dbb40c
mint green,62,#8fff9f
plum,63,#580f41
royal purple,64,#4b006e
brick red,65,#8f1402
dark teal,66,#014d4e
burgundy,67,#610023
khaki,68,#aaa662
blue green,69,#137e6d
seafoam green,70,#7af9ab
kelly green,71,#02ab2e
puke green,72,#9aae07
pea green,73,#8eab12
taupe,74,#b9a281
dark brown,75,#341c02
deep purple,76,#36013f
chartreuse,77,#c1f80a
bright pink,78,#fe01b1
light orange,79,#fdaa48
mint,80,#9ffeb0
pastel green,81,#b0ff9d
sand,82,#e2ca76
dark orange,83,#c65102
spring green,84,#a9f971
puce,85,#a57e52
seafoam,86,#80f9ad
grey blue,87,#6b8ba4
army green,88,#4b5d16
dark grey,89,#363737
dark yellow,90,#d5b60a
goldenrod,91,#fac205
slate,92,#516572
light teal,93,#90e4c1
rust,94,#a83c09
deep blue,95,#040273
pale pink,96,#ffcfdc
cerulean,97,#0485d1
light red,98,#ff474c
mustard yellow,99,#d2bd0a
ochre,100,#bf9005
pale yellow,101,#ffff84
crimson,102,#8c000f
fuchsia,103,#ed0dd9
hunter green,104,#0b4008
blue grey,105,#607c8e
slate blue,106,#5b7c99
pale purple,107,#b790d4
sea blue,108,#047495
pinkish purple,109,#d648d7
puke,110,#a5a502
light grey,111,#d8dcd6
leaf green,112,#5ca904
light yellow,113,#fffe7a
eggplant,114,#380835
steel blue,115,#5a7d9a
moss green,116,#658b38
robin's egg blue,117,#98eff9
white,118,#ffffff
grey green,119,#789b73
sage,120,#87ae73
brick,121,#a03623
burnt sienna,122,#b04e0f
reddish brown,123,#7f2b0a
cream,124,#ffffc2
coral,125,#fc5a50
ocean blue,126,#03719c
greenish,127,#40a368
dark magenta,128,#960056
red orange,129,#fd3c06
bluish purple,130,#703be7
midnight blue,131,#020035
light violet,132,#d6b4fc
dusty rose,133,#c0737a
medium blue,134,#2c6fbb
greenish yellow,135,#cdfd02
yellowish green,136,#b0dd16
purplish blue,137,#601ef9
greyish blue,138,#5e819d
grape,139,#6c3461
light olive,140,#acbf69
cornflower blue,141,#5170d7
pinkish red,142,#f10c45
bright red,143,#ff000d
azure,144,#069af3
blue purple,145,#5729ce
dark turquoise,146,#045c5a
electric blue,147,#0652ff
off white,148,#ffffe4
powder blue,149,#b1d1fc
wine,150,#80013f
dull green,151,#74a662
apple green,152,#76cd26
light turquoise,153,#7ef4cc
neon purple,154,#bc13fe
cobalt,155,#1e488f
pinkish,156,#d46a7e
olive drab,157,#6f7632
dark cyan,158,#0a888a
purple blue,159,#632de9
dark violet,160,#34013f
dark lavender,161,#856798
forrest green,162,#154406
vomit,163,#a2a415
pale orange,164,#ffa756
greenish blue,165,#0b8b87
dark tan,166,#af884a
green blue,167,#06b48b
bluish green,168,#10a674
pastel blue,169,#a2bffe
moss,170,#769958
grass,171,#5cac2d
deep pink,172,#cb0162
blood red,173,#980002
sage green,174,#88b378
aqua blue,175,#02d8e9
terracotta,176,#ca6641
pastel purple,177,#caa0ff
sienna,178,#a9561e
dark olive,179,#373e02
green yellow,180,#c9ff27
scarlet,181,#be0119
greyish green,182,#82a67d
chocolate,183,#3d1c02
blue violet,184,#5d06e9
cornflower,185,#6a79f7
baby pink,186,#ffb7ce
charcoal,187,#343837
pine green,188,#0a481e
pumpkin,189,#e17701
greenish brown,190,#696112
red brown,191,#8b2e16
brownish green,192,#6a6e09
tangerine,193,#ff9408
salmon pink,194,#fe7b7c
aqua green,195,#12e193
raspberry,196,#b00149
greyish purple,197,#887191
rose pink,198,#f7879a
neon pink,199,#fe019a
cobalt blue,200,#030aa7
orange brown,201,#be6400
deep red,202,#9a0200
orange red,203,#fd411e
dirty yellow,204,#cdc50a
orchid,205,#c875c4
reddish pink,206,#fe2c54
reddish purple,207,#910951
yellow orange,208,#fcb001
light cyan,209,#acfffc
sky,210,#82cafc
light magenta,211,#fa5ff7
pale red,212,#d9544d
emerald,213,#01a049
dark beige,214,#ac9362
ugly green,215,#7a9703
jade,216,#1fa774
greenish grey,217,#96ae8d
dark salmon,218,#c85a53
purplish pink,219,#ce5dae
dark aqua,220,#05696b
brownish orange,221,#cb7723
light olive green,222,#a4be5c
light aqua,223,#8cffdb
clay,224,#b66a50
medium green,225,#39ad48
burnt umber,226,#a0450e
dull blue,227,#49759c
pale brown,228,#b1916e
emerald green,229,#028f1e
brownish,230,#9c6d57
mud,231,#735c12
dark rose,232,#b5485d
brownish red,233,#9e3623
pink purple,234,#db4bda
pinky purple,235,#c94cbe
camo green,236,#526525
faded green,237,#7bb274
dusty pink,238,#d58a94
purple pink,239,#e03fd8
vomit green,240,#89a203
deep green,241,#02590f
reddish orange,242,#f8481c
mahogany,243,#4a0100
aubergine,244,#3d0734
dull pink,245,#d5869d
evergreen,246,#05472a
dark sky blue,247,#448ee4
very light green,248,#d1ffbd
pastel pink,249,#ffbacd
grey purple,250,#826d8c
very light blue,251,#d5ffff
dark mauve,252,#874c62
cadet blue,253,#4e7496
ice blue,254,#d7fffe
light tan,255,#fbeeac
dirty green,256,#667e2c
neon blue,257,#04d9ff
wine red,258,#7b0323
chocolate brown,259,#411900
dull purple,260,#84597e
yellow brown,261,#b79400
denim,262,#3b638c
eggshell,263,#ffffd4
jungle green,264,#048243
dark peach,265,#de7e5d
poop,266,#7f5e00
umber,267,#b26400
light lavender,268,#dfc5fe
bright yellow,269,#fffd01
golden yellow,270,#fec615
dusty blue,271,#5a86ad
electric green,272,#21fc0d
lighter green,273,#75fd63
slate grey,274,#59656d
teal green,275,#25a36f
marine blue,276,#01386a
avocado,277,#90b134
terra cotta,278,#c9643b
dusty purple,279,#825f87
light maroon,280,#a24857
reddish,281,#c44240
dark lilac,282,#9c6da5
dark periwinkle,283,#665fd1
bluish grey,284,#748b97
puke yellow,285,#c2be0e
purplish,286,#94568c
ultramarine,287,#2000b1
barney purple,288,#a00498
forest,289,#0b5509
pea soup,290,#929901
brownish yellow,291,#c9b003
bright teal,292,#01f9c6
bluegreen,293,#017a79
green brown,294,#544e03
blurple,295,#5539cc
light sky blue,296,#c6fcff
periwinkle blue,297,#8f99fb
pale violet,298,#ceaefa
true blue,299,#010fcc
green grey,300,#77926f
grey brown,301,#7f7053
dark olive green,302,#3c4d03
apricot,303,#ffb16d
faded purple,304,#916e99
cerise,305,#de0c62
khaki green,306,#728639
