user_id,monitor,y_chromosome,colorblind,spam_prob
1,LCD,1,0,0.00208768267223382
2,LCD,1,0,0.0745766574374929
3,LCD,1,0,0.0164038693108753
4,LCD,0,0,0.00156244962483594
5,LCD,1,0,0.00238095238095238
6,LCD,1,0,0.0143998295970782
7,CRT,1,0,0.0241121457036004
8,LCD,1,0,7.1556350626118e-4
9,LCD,1,0,0.0097882175795179
10,LCD,1,0,0.175682746917151
11,LCD,1,0,2.33333333333333
12,LCD,1,0,0.199100377396385
13,LCD,NA,NA,1
14,LCD,1,0,0.028624503737758
15,LCD,1,0,0.0365600273503219
16,LCD,1,0,0.18884956836578
17,LCD,1,0,0.0265309011490748
18,LCD,1,0,0.00836471908036664
19,LCD,1,0,0.0621698134385147
20,LCD,1,0,0.0129045136648297
21,LCD,1,0,0.0208737557078997
22,LCD,NA,NA,4.1881057795859e-4
23,CRT,1,0,0.0287635163046252
24,LCD,1,0,0.035
25,LCD,1,0,0.0303788116371205
26,LCD,1,0,3.5
27,LCD,1,0,0.092329144439086
28,LCD,1,1,0.0293757194528841
29,LCD,1,0,0.0295969045340476
30,LCD,1,0,2.0838294832102e-4
31,LCD,1,0,2.6794771191793e-4
32,LCD,1,0,0.027792865752495
33,LCD,0,0,5.7999834286187e-4
34,LCD,1,1,2.2384241493988e-4
35,LCD,1,0,1.8375114844468e-4
36,LCD,1,0,0.0714285714285714
37,LCD,0,0,0.183641036413198
38,LCD,1,0,3.52434332525306
39,LCD,1,0,4.159486600511e-4
40,LCD,1,0,3.7188545927854e-4
41,LCD,0,0,0.0229665622261035
42,LCD,1,0,0.0334644679400263
43,LCD,1,0,0.107945430363886
44,LCD,1,0,0.0035140562248996
45,LCD,1,0,1
46,LCD,1,0,1
47,LCD,1,0,2.6163333956269e-4
48,LCD,NA,NA,3.3147863146687e-4
49,LCD,1,0,0.0155867585322663
50,LCD,1,0,0.0401889512365235
51,LCD,1,0,0.180217154899883
52,LCD,1,0,1
53,LCD,1,0,0.0260390858605664
54,LCD,1,0,3.768911861304e-4
55,LCD,1,0,0.00305944055944056
56,LCD,1,0,0.0156911236302597
57,LCD,1,0,0.00939469599071882
58,LCD,1,0,0.0308336924645657
59,LCD,1,0,3.622063541344e-4
60,LCD,1,0,3.7864445285876e-4
