tconst,parent_tconst,season_number,episode_number,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,parent_title_type,parent_primary_title,parent_original_title,parent_start_year,parent_end_year,parent_runtime_minutes,parent_genres,parent_simple_title,parent_average_rating,parent_num_votes,christmas,hanukkah,kwanzaa,holiday
tt0046855,tt0046643,1,4,A Christmas Carol,A Christmas Carol,1954,60,"Adventure,Drama,Family",a christmas carol,5.9,159,tvSeries,Shower of Stars,Shower of Stars,1954,1958,60,"Adventure,Drama,Family",shower of stars,7.5,78,TRUE,FALSE,FALSE,FALSE
tt0110014,tt0094525,6,1,Hercule Poirot's Christmas,Hercule Poirot's Christmas,1994,100,"Crime,Drama,Mystery",hercule poirots christmas,8,2461,tvSeries,Poirot,Poirot,1989,2013,100,"Crime,Drama,Mystery",poirot,8.6,50365,TRUE,FALSE,FALSE,FALSE
tt0125755,tt2388808,NA,NA,Red Skelton's Christmas Dinner,Red Skelton's Christmas Dinner,1981,50,Music,red skeltons christmas dinner,8.1,167,tvSeries,Standing Room Only,Standing Room Only,1976,1982,NA,Music,standing room only,7.7,41,TRUE,FALSE,FALSE,FALSE
tt0138038,tt0132666,1,14,Principal Takes a Holiday,Principal Takes a Holiday,1998,96,"Adventure,Comedy,Drama",principal takes a holiday,6,414,tvSeries,The Wonderful World of Disney,The Wonderful World of Disney,1997,2023,120,"Adventure,Comedy,Drama",the wonderful world of disney,7.4,1005,FALSE,FALSE,FALSE,TRUE
tt0179551,tt0233023,1,14,A Christmas Memory,A Christmas Memory,1966,51,"Comedy,Drama,Musical",a christmas memory,9,257,tvSeries,ABC Stage 67,ABC Stage 67,1966,1967,51,"Comedy,Drama,Musical",abc stage 67,7.4,104,TRUE,FALSE,FALSE,FALSE
tt0219585,tt1043408,1,9,Charlie's Christmas Secret,Charlie's Christmas Secret,1984,NA,"Drama,Family",charlies christmas secret,6.8,37,tvSeries,Young People's Specials,Young People's Specials,1984,NA,NA,"Drama,Family",young peoples specials,6.2,16,TRUE,FALSE,FALSE,FALSE
tt0266854,tt0112123,1,8,A Pinky & the Brain Christmas,A Pinky & the Brain Christmas,1995,30,"Adventure,Animation,Comedy",a pinky  the brain christmas,8.5,431,tvSeries,Pinky and the Brain,Pinky and the Brain,1995,1998,30,"Adventure,Animation,Comedy",pinky and the brain,7.8,32238,TRUE,FALSE,FALSE,FALSE
tt0272826,tt22506502,NA,NA,Saturday Night Live Christmas,Saturday Night Live Christmas 1999,1999,65,Talk-Show,saturday night live christmas,7.2,360,tvSeries,Saturday Night Live Christmas Special,Saturday Night Live Christmas Special,1999,NA,NA,Talk-Show,saturday night live christmas special,7.7,25,TRUE,FALSE,FALSE,FALSE
tt0272861,tt0136671,NA,NA,The Stableboy's Christmas,The Stableboy's Christmas,1978,27,"Drama,Family",the stableboys christmas,6.6,13,tvSeries,This Is the Life,The Fisher Family,1952,1988,30,"Drama,Family",this is the life,7,77,TRUE,FALSE,FALSE,FALSE
tt0284614,tt0865856,1,18,VeggieTales Christmas Spectacular!,VeggieTales Christmas Spectacular!,1996,30,"Animation,Comedy,Family",veggietales christmas spectacular,7.3,339,tvSeries,VeggieTales,VeggieTales,1993,2015,32,"Animation,Comedy,Family",veggietales,7.3,1713,TRUE,FALSE,FALSE,FALSE
tt0289860,tt0105950,6,7,Beavis and Butt-Head Do Christmas,Beavis and Butt-Head Do Christmas,1995,60,"Animation,Comedy,Music",beavis and butthead do christmas,7.8,893,tvSeries,Beavis and Butt-Head,Beavis and Butt-Head,1993,2011,15,"Animation,Comedy,Music",beavis and butthead,7.5,33752,TRUE,FALSE,FALSE,FALSE
tt0290529,tt0283205,1,9,Christmas Party,Christmas Party,2001,NA,"Action,Drama,Mystery",christmas party,8.4,137,tvSeries,A Nero Wolfe Mystery,A Nero Wolfe Mystery,2001,2002,46,"Action,Drama,Mystery",a nero wolfe mystery,8.4,1937,TRUE,FALSE,FALSE,FALSE
tt0290683,tt0055683,2,41,A Jetson Christmas Carol,A Jetson Christmas Carol,1985,22,"Animation,Comedy,Family",a jetson christmas carol,6.7,216,tvSeries,The Jetsons,The Jetsons,1962,1963,25,"Animation,Comedy,Family",the jetsons,7,23305,TRUE,FALSE,FALSE,FALSE
tt0293649,tt3469694,1,6,The Thirteenth Day of Christmas,The Thirteenth Day of Christmas,1985,60,Crime,the thirteenth day of christmas,4.3,43,tvSeries,Time for Murder,Time for Murder,1985,NA,NA,Crime,time for murder,6.6,11,TRUE,FALSE,FALSE,FALSE
tt0302412,tt9319744,NA,NA,Christmas in Rockefeller Center,Christmas in Rockefeller Center 2001,2001,60,NA,christmas in rockefeller center,5.5,27,tvSeries,Christmas in Rockefeller Center,Christmas in Rockefeller Center,1990,NA,NA,NA,christmas in rockefeller center,5.6,10,TRUE,FALSE,FALSE,FALSE
tt0303826,tt0159876,NA,NA,A Carnegie Hall Christmas,A Carnegie Hall Christmas,1991,89,"Music,Musical",a carnegie hall christmas,8,25,tvSeries,Great Performances,Great Performances,1971,NA,180,"Music,Musical",great performances,7.9,867,TRUE,FALSE,FALSE,FALSE
tt0305364,tt9319744,NA,NA,Christmas in Rockefeller Center,Christmas in Rockefeller Center 2000,2000,NA,NA,christmas in rockefeller center,5.7,13,tvSeries,Christmas in Rockefeller Center,Christmas in Rockefeller Center,1990,NA,NA,NA,christmas in rockefeller center,5.6,10,TRUE,FALSE,FALSE,FALSE
tt0328956,tt0041023,4,18,A Christmas Carol,A Christmas Carol,1951,30,Drama,a christmas carol,5.8,10,tvSeries,Fireside Theatre,Fireside Theatre,1949,1955,30,Drama,fireside theatre,7.5,90,TRUE,FALSE,FALSE,FALSE
