year,week,dataset_name,variables,observations
2018,1,us_avg_tuition,13,50
2018,2,nfl_salary,11,800
2018,3,global_mortality,35,6156
2018,4,week4_australian_salary,6,2197
2018,5,week5_acs2015_county_data,37,3220
2018,6,week6_coffee_chains,13,25600
2018,9,week9_comic_characters,17,23272
2018,11,week11_fifa_audience,6,191
2018,12,week12_google_trends,5,37
2018,12,week12_mediacloud_hurricanes,5,38
2018,12,week12_mediacloud_states,4,51
2018,12,week12_mediacloud_top_online_news,2,49
2018,12,week12_mediacloud_trump,7,51
2018,12,week12_tv_hurricanes,5,37
2018,13,week13_alcohol_global,5,193
2018,14,week14_global_life_expectancy,4,17894
2018,15,week15_beers,8,2410
2018,16,week16_exercise,9,52
2018,18,week18_dallas_animals,33,34819
2018,19,week19_airline_safety,6,336
2018,21,cal-fire-incidents,4,83
2018,21,calfire_damage,2,29
2018,21,week21_calfire_frap,21,14847
2018,22,nfl_2010-2017,23,81525
2018,23,fastfood_calories,18,515
2018,24,cats_vs_dogs,13,49
2018,25,hypoxia,10,7
2018,25,us-airports,11,9716
2018,26,africa_species,6,10225
2018,26,table_1,3,124
2018,26,table_2,3,124
2018,26,table_3,5,124
2018,26,table_4,3,124
2018,26,table_6,3,140
2018,27,us_births_2000-2014,5,5479
2018,28,voter_turnout,7,936
2018,29,recent-grads,21,173
2018,30,movie_profit,9,3401
2018,31,r-downloads,7,5703
2018,31,r_downloads_year,8,938115
2018,32,us_wind,24,58185
2018,33,malaria_deaths,4,6156
2018,33,malaria_deaths_age,6,30780
2018,33,malaria_inc,4,508
2018,34,thanksgiving_meals,65,1058
2018,35,baltimore_bridges,13,2079
2018,36,medium_datasci,21,78388
2018,37,nyc_restaurants,13,300000
2018,38,allCetaceanData,22,2194
2019,1,rstats_tweets,88,429513
2019,1,tidytuesday_tweets,88,1565
2019,2,IMDb_Economist_tv_ratings,7,2266
2019,3,agencies,19,74
2019,3,launches,11,5726
2019,4,incarceration_trends,79,147533
2019,4,pretrial_population,9,1327797
2019,4,pretrial_summary,4,552
2019,4,prison_population,9,1327797
2019,4,prison_summary,4,1000
2019,5,clean_cheese,17,48
2019,5,fluid_milk_sales,3,387
2019,5,milk_products_facts,18,43
2019,5,milkcow_facts,11,35
2019,5,state_milk_production,4,2400
2019,6,mortgage,9,2492
2019,6,recessions,7,14
2019,6,state_hpi,5,26877
2019,7,climate_spending,3,126
2019,7,energy_spending,3,242
2019,7,fed_r_d_spending,6,588
2019,8,phd_by_field,5,3370
2019,9,full_trains,27,5462
2019,9,regularite-mensuelle-tgv-aqst,34,5462
2019,9,small_trains,13,32772
2019,10,earnings_female,3,264
2019,10,employed_gender,7,49
2019,10,jobs_gender,12,2088
2019,11,board_games,22,10532
2019,13,seattle_pets,7,52519
2019,14,bike_traffic,5,515688
2019,15,grand_slam_timeline,5,12605
2019,15,grand_slams,6,416
2019,15,player_dob,5,105
2019,16,brexit,3,85
2019,16,corbyn,2,6
2019,16,dogs,3,10
2019,16,eu_balance,4,266
2019,16,pensions,3,35
2019,16,trade,3,22
2019,16,women_research,3,60
2019,17,raw_anime,27,15278
2019,17,tidy_anime,28,77911
2019,18,bird_call,1,91
2019,18,bird_collisions,8,69695
2019,18,mp_light,2,3067
2019,19,EDULIT_DS_06052019101747206,9,5189
2019,19,student_teacher_ratio,8,5189
2019,20,nobel_winner_all_pubs,11,93394
2019,20,nobel_winners,18,969
2019,21,coastal-population-vs-mismanaged-plastic,6,20093
2019,21,per-capita-mismanaged-plastic-waste-vs-gdp-per-capita,6,22204
