year,week,dataset_name,variable,class,n_unique,min,max,description
2018,1,us_avg_tuition,State,character,50,Alabama,Wyoming,NA
2018,1,us_avg_tuition,2004-05,double,50,3621.39174234424,11067.0437275607,NA
2018,1,us_avg_tuition,2005-06,double,50,3687.28979529171,11295.1493961105,NA
2018,1,us_avg_tuition,2006-07,double,50,3887.65606879607,11472.9832039312,NA
2018,1,us_avg_tuition,2007-08,double,50,3879.41643783005,12012.9005760922,NA
2018,1,us_avg_tuition,2008-09,double,49,3928.67075521449,12304.6271844484,NA
2018,1,us_avg_tuition,2009-10,double,50,4129.18818115542,13316.2440109403,NA
2018,1,us_avg_tuition,2010-11,double,50,4298.83931544739,13655.1366490682,NA
2018,1,us_avg_tuition,2011-12,double,50,4357.46740025318,14262.9151122954,NA
2018,1,us_avg_tuition,2012-13,double,50,4456.32469097004,15224.213501292,NA
2018,1,us_avg_tuition,2013-14,double,50,4499.35879039025,14968.8511236958,NA
2018,1,us_avg_tuition,2014-15,double,50,4653.87796977274,14755.9104462564,NA
2018,1,us_avg_tuition,2015-16,double,50,4890.9997582205,15159.8952641166,NA
2018,2,nfl_salary,year,double,8,2011,2018,NA
2018,2,nfl_salary,Cornerback,double,628,6e+05,2e+07,NA
2018,2,nfl_salary,Defensive Lineman,double,556,1400000,26100000,NA
2018,2,nfl_salary,Linebacker,double,577,1243687,22100000,NA
2018,2,nfl_salary,Offensive Lineman,double,530,1873750,17545000,NA
2018,2,nfl_salary,Quarterback,double,568,NA,NA,NA
2018,2,nfl_salary,Running Back,double,606,455125,15400000,NA
2018,2,nfl_salary,Safety,double,591,555000,1.3e+07,NA
2018,2,nfl_salary,Special Teamer,double,481,NA,NA,NA
2018,2,nfl_salary,Tight End,double,598,371824,12262000,NA
2018,2,nfl_salary,Wide Receiver,double,651,655812,20558000,NA
2018,3,global_mortality,country,character,228,Afghanistan,Zimbabwe,NA
2018,3,global_mortality,country_code,character,197,NA,NA,NA
2018,3,global_mortality,year,double,27,1990,2016,NA
2018,3,global_mortality,Cardiovascular diseases (%),double,6156,1.42859425094,67.3876812518,NA
2018,3,global_mortality,Cancers (%),double,6156,0.582272587715,33.6174987032,NA
2018,3,global_mortality,Respiratory diseases (%),double,6156,0.298003166178,16.2893946796,NA
2018,3,global_mortality,Diabetes (%),double,6156,0.327132851997,35.8161868396999,NA
2018,3,global_mortality,Dementia (%),double,6156,0.0447517795879,16.6724813569,NA
2018,3,global_mortality,Lower respiratory infections (%),double,6156,0.684583419523,20.0351854991,NA
2018,3,global_mortality,Neonatal deaths (%),double,6156,0.0407142756286,17.8068313013,NA
2018,3,global_mortality,Diarrheal diseases (%),double,6156,0.00825093469825,25.1844883844999,NA
2018,3,global_mortality,Road accidents (%),double,6156,0.278404290754,20.9008768813,NA
2018,3,global_mortality,Liver disease (%),double,6156,0.192932827025,11.6470822412,NA
2018,3,global_mortality,Tuberculosis (%),double,6156,0.0108809115559,16.4658613491,NA
2018,3,global_mortality,Kidney disease (%),double,6156,0.0562437502966,9.94769220443,NA
2018,3,global_mortality,Digestive diseases (%),double,6156,0.313645508845,5.15872965693,NA
2018,3,global_mortality,HIV/AIDS (%),double,6153,0,62.1936304907,NA
2018,3,global_mortality,Suicide (%),double,6156,0.101610325702999,15.4120175726,NA
2018,3,global_mortality,Malaria (%),double,3617,0,24.4259622088,NA
2018,3,global_mortality,Homicide (%),double,6156,0.0452020912394,14.2292611619,NA
2018,3,global_mortality,Nutritional deficiencies (%),double,6156,0.00374616516949,35.5450084106,NA
2018,3,global_mortality,Meningitis (%),double,6156,0.0279860443492,6.98134580740999,NA
2018,3,global_mortality,Protein-energy malnutrition (%),double,6156,0.0010924863749,35.5186984353,NA
2018,3,global_mortality,Drowning (%),double,6156,0.053306377474,4.5109478491,NA
2018,3,global_mortality,Maternal deaths (%),double,6156,0.00187963838819,3.41435301328,NA
2018,3,global_mortality,Parkinson disease (%),double,6156,0.00231576348937,1.59221077213,NA
2018,3,global_mortality,Alcohol disorders (%),double,6156,0.0127495106301,3.08052547952,NA
2018,3,global_mortality,Intestinal infectious diseases (%),double,6156,7.09346706296e-05,2.27651336246,NA
2018,3,global_mortality,Drug disorders (%),double,6156,0.00179699505177,1.31346609415,NA
2018,3,global_mortality,Hepatitis (%),double,6156,0.00484788578833,1.58328931261999,NA
2018,3,global_mortality,Fire (%),double,6156,0.0569132375453,1.34368648669,NA
2018,3,global_mortality,Heat-related (hot and cold exposure) (%),double,6156,0.00710778288462999,1.16528645595,NA
2018,3,global_mortality,Natural disasters (%),double,2188,0,65.2941992241,NA
2018,3,global_mortality,Conflict (%),double,635,NA,NA,NA
2018,3,global_mortality,Terrorism (%),double,305,NA,NA,NA
2018,4,week4_australian_salary,...1,double,2197,1,2197,NA
2018,4,week4_australian_salary,gender_rank,double,1104,1,1104,NA
2018,4,week4_australian_salary,occupation,character,1105,Wood turner,Abattoir process worker; Meat process worker; Meatworker � meatworker�s labourer,NA
2018,4,week4_australian_salary,gender,character,2,Female,Male,NA
2018,4,week4_australian_salary,individuals,double,1534,3,293738,NA
2018,4,week4_australian_salary,average_taxable_income,double,2172,13307,577674,NA
2018,5,week5_acs2015_county_data,CensusId,double,3220,1001,72153,NA
2018,5,week5_acs2015_county_data,State,character,52,Alabama,Wyoming,NA
2018,5,week5_acs2015_county_data,County,character,1928,Abbeville,Ziebach,NA
2018,5,week5_acs2015_county_data,TotalPop,double,3164,85,10038388,NA
2018,5,week5_acs2015_county_data,Men,double,3098,42,4945351,NA
2018,5,week5_acs2015_county_data,Women,double,3105,43,5093037,NA
2018,5,week5_acs2015_county_data,Hispanic,double,466,0,99.9,NA
