id,legal_nature
0,Legal Nature not informed
1015,Federal Executive Branch Public Body
1023,State or District Executive Branch Public Body
1031,Municipal Executive Branch Public Body
1040,Federal Legislative Branch Public Body
1058,State or District Legislative Branch Public Body
1066,Municipal Legislative Branch Public Body
1074,Federal Judiciary Branch Public Body
1082,State Judiciary Branch Public Body
1104,Federal Statutory Body (Autarchy)
1112,State or District Statutory Body (Autarchy)
1120,Municipal Statutory Body (Autarchy)
1139,Federal Public Law Foundation
1147,State or District Public Law Foundation
1155,Municipal Public Law Foundation
1163,Federal Autonomous Public Body
1171,State or District Autonomous Public Body
1180,Municipal Autonomous Public Body
1198,Multinational Commission
1210,Public Law Consortium (Public Association)
1228,Private Law Public Consortium
1236,State or Federal District
1244,Municipality
1252,Federal Private Law Public Foundation
1260,State or District Private Law Public Foundation
1279,Municipal Private Law Public Foundation
1287,Federal Indirect Administration Public Fund
1295,State or District Indirect Administration Public Fund
1309,Municipal Indirect Administration Public Fund
1317,Federal Direct Administration Public Fund
1325,State or District Direct Administration Public Fund
1333,Municipal Direct Administration Public Fund
1341,The Union (Federal Government)
1350,Public Entity Under Special Regime
2011,State-Owned Enterprise
2038,Mixed-Capital Company
2046,Publicly Traded Corporation
2054,Privately Held Corporation
2062,Limited Liability Business Company (LLC)
2070,General Partnership
2089,Limited Partnership
2097,Partnership Limited by Shares
2100,Capital and Industry Mercantile Society
2127,Silent Partnership
2135,Sole Proprietorship
2143,Cooperative
2151,Consortium of Companies
2160,Group of Companies
2178,Brazilian Branch of a Foreign Company
2194,Brazilian Branch of an Arg-Bra Binational Company
2216,Foreign-Domiciled Company
2224,Investment Club/Fund
2232,Simple Partnership (Pure)
2240,Simple Limited Partnership
2259,Simple General Partnership
2267,Simple Limited Partnership (Comandita)
2275,Binational Company
2283,Employers' Consortium
2291,Simple Consortium
2305,Individual Limited Liability Company (Business)
2313,Individual Limited Liability Company (Simple)
2321,Sole Member Law Firm
2330,Consumer Cooperatives
2348,Simple Innovation Company
3034,Notary and Registry Service
3069,Private Foundation
3077,Autonomous Social Service
3085,Building Condominium
3107,Preliminary Conciliation Commission
3115,Mediation and Arbitration Entity
3131,Trade Union / Labor Union
3204,Brazilian Branch of Foreign Foundation/Association
3212,Foreign-Domiciled Foundation or Association
3220,Religious Organization
3239,Indigenous Community
3247,Private Fund
3255,National Governing Body of a Political Party
3263,Regional Governing Body of a Political Party
3271,Local Governing Body of a Political Party
3280,Political Party Finance Committee
3298,Plebiscite or Referendum Front
3301,Social Organization (Non-profit)
3328,Closed Private Pension Benefit Plan
3999,Private Association
4014,Individual Real Estate Company
4090,Candidate for Elective Political Office
4120,Rural Producer (Natural Person)
5010,International Organization
5029,Foreign Diplomatic Representation
5037,Other Extraterritorial Institutions
8885,Legal Nature not informed
