Year,Sex,Name,Number,Rank
1997,Boy,Aaron,221,11
1997,Boy,Abbey,NA,NA
1997,Boy,Abdul-Jamal,NA,NA
1997,Boy,Abdulmoez,NA,NA
1997,Boy,Aby,NA,NA
1997,Boy,Adam,236,10
1997,Boy,Adil,NA,NA
1997,Boy,Adrian,11,153
1997,Boy,Aedan,3,271
1997,Boy,Aidan,48,62
1997,Boy,Aiden,3,271
1997,Boy,Ailbhe,NA,NA
1997,Boy,Ailin,NA,NA
1997,Boy,Alan,14,136
1997,Boy,Alasdair,NA,NA
1997,Boy,Alastair,5,227
1997,Boy,Albert,5,227
1997,Boy,Aled,NA,NA
1997,Boy,Aleksi,NA,NA
1997,Boy,Alex,15,129
1997,Boy,Alexander,49,60
1997,Boy,Alfred,NA,NA
1997,Boy,Alistair,8,179
1997,Boy,Alister,3,271
1997,Boy,Allan,NA,NA
1997,Boy,Allen,NA,NA
1997,Boy,Amit,NA,NA
1997,Boy,Amr,NA,NA
1997,Boy,Amreek,NA,NA
1997,Boy,Ande,NA,NA
1997,Boy,Andre,NA,NA
1997,Boy,Andreas,NA,NA
1997,Boy,Andrew,275,5
1997,Boy,Angus,4,248
1997,Boy,Anrai,NA,NA
1997,Boy,Anthony,42,70
1997,Boy,Anthony-Reece,NA,NA
1997,Boy,Antoin,3,271
1997,Boy,Anton,5,227
1997,Boy,Antonio,NA,NA
1997,Boy,Antony,NA,NA
1997,Boy,Aodan,NA,NA
1997,Boy,Aodhan,11,153
1997,Boy,Aohdain,NA,NA
1997,Boy,Arainn,NA,NA
1997,Boy,Arash,NA,NA
1997,Boy,Archie,NA,NA
1997,Boy,Ardal,NA,NA
1997,Boy,Arden,NA,NA
1997,Boy,Ardghal,NA,NA
1997,Boy,Arnaud,NA,NA
1997,Boy,Aron,NA,NA
1997,Boy,Arran,3,271
1997,Boy,Arren,NA,NA
1997,Boy,Arron,4,248
1997,Boy,Arthur,NA,NA
1997,Boy,Artur,NA,NA
1997,Boy,Aryan,NA,NA
1997,Boy,Ash,NA,NA
1997,Boy,Asher,NA,NA
1997,Boy,Ashley,13,139
1997,Boy,Ashton,NA,NA
1997,Boy,Assad-Ullah,NA,NA
1997,Boy,Aston,NA,NA
1997,Boy,Auryn,NA,NA
1997,Boy,Austin,NA,NA
1997,Boy,Austyn,NA,NA
1997,Boy,Avtar,NA,NA
1997,Boy,Axel,NA,NA
1997,Boy,Azobair,NA,NA
1997,Boy,Babar,NA,NA
1997,Boy,Bailey,6,210
1997,Boy,Bailie,3,271
1997,Boy,Barry,30,90
1997,Boy,Basil,NA,NA
1997,Boy,Bayley,NA,NA
