rcid,short_name,issue
77,me,Palestinian conflict
9001,me,Palestinian conflict
9002,me,Palestinian conflict
9003,me,Palestinian conflict
9004,me,Palestinian conflict
9005,me,Palestinian conflict
9006,me,Palestinian conflict
128,me,Palestinian conflict
129,me,Palestinian conflict
130,me,Palestinian conflict
131,me,Palestinian conflict
137,me,Palestinian conflict
138,me,Palestinian conflict
148,me,Palestinian conflict
9007,me,Palestinian conflict
9008,me,Palestinian conflict
9009,me,Palestinian conflict
9010,me,Palestinian conflict
9011,me,Palestinian conflict
9012,me,Palestinian conflict
9013,me,Palestinian conflict
227,me,Palestinian conflict
228,me,Palestinian conflict
229,me,Palestinian conflict
230,me,Palestinian conflict
231,me,Palestinian conflict
232,me,Palestinian conflict
233,me,Palestinian conflict
234,me,Palestinian conflict
235,me,Palestinian conflict
236,me,Palestinian conflict
237,me,Palestinian conflict
288,me,Palestinian conflict
342,me,Palestinian conflict
343,me,Palestinian conflict
344,me,Palestinian conflict
489,me,Palestinian conflict
490,me,Palestinian conflict
494,me,Palestinian conflict
495,me,Palestinian conflict
9024,me,Palestinian conflict
708,me,Palestinian conflict
709,me,Palestinian conflict
710,me,Palestinian conflict
711,me,Palestinian conflict
773,me,Palestinian conflict
774,me,Palestinian conflict
775,me,Palestinian conflict
776,me,Palestinian conflict
845,me,Palestinian conflict
846,me,Palestinian conflict
862,me,Palestinian conflict
891,me,Palestinian conflict
9042,me,Palestinian conflict
9043,me,Palestinian conflict
9044,me,Palestinian conflict
9045,me,Palestinian conflict
9046,me,Palestinian conflict
9047,me,Palestinian conflict
9048,me,Palestinian conflict
9049,me,Palestinian conflict
9050,me,Palestinian conflict
9051,me,Palestinian conflict
9052,me,Palestinian conflict
9053,me,Palestinian conflict
9054,me,Palestinian conflict
1080,me,Palestinian conflict
1081,me,Palestinian conflict
1083,me,Palestinian conflict
1116,me,Palestinian conflict
1122,me,Palestinian conflict
1133,me,Palestinian conflict
1134,me,Palestinian conflict
1171,me,Palestinian conflict
1207,me,Palestinian conflict
1208,me,Palestinian conflict
1209,me,Palestinian conflict
1224,me,Palestinian conflict
1225,me,Palestinian conflict
1267,me,Palestinian conflict
1319,me,Palestinian conflict
1320,me,Palestinian conflict
1321,me,Palestinian conflict
1322,me,Palestinian conflict
1323,me,Palestinian conflict
1430,me,Palestinian conflict
1431,me,Palestinian conflict
1432,me,Palestinian conflict
1433,me,Palestinian conflict
1441,me,Palestinian conflict
1534,me,Palestinian conflict
1535,me,Palestinian conflict
1536,me,Palestinian conflict
1537,me,Palestinian conflict
1538,me,Palestinian conflict
1539,me,Palestinian conflict
1541,me,Palestinian conflict
1547,me,Palestinian conflict
1578,me,Palestinian conflict
1582,me,Palestinian conflict
1583,me,Palestinian conflict
