Year,Total enrollment,Males,Females,4-year,2-year,Total - Public,4-year - Public,2-year - Public,Total - Private,4-year - Private,2-year - Private
1976,222613,104669,117944,206676,15937,156836,143528,13308,65777,63148,2629
1980,233557,106387,127170,218009,15548,168217,155085,13132,65340,62924,2416
1982,228371,104897,123474,212017,16354,165871,151472,14399,62500,60545,1955
1984,227519,102823,124696,212844,14675,164116,151289,12827,63403,61555,1848
1986,223275,97523,125752,207231,16044,162048,147631,14417,61227,59600,1627
1988,239755,100561,139194,223250,16505,173672,158606,15066,66083,64644,1439
1990,257152,105157,151995,240497,16655,187046,171969,15077,70106,68528,1578
1991,269335,110442,158893,252093,17242,197847,182204,15643,71488,69889,1599
1992,279541,114622,164919,261089,18452,204966,188143,16823,74575,72946,1629
1993,282856,116397,166459,262430,20426,208197,189032,19165,74659,73398,1261
1994,280071,114006,166065,259997,20074,206520,187735,18785,73551,72262,1289
1995,278725,112637,166088,259409,19316,204726,186278,18448,73999,73131,868
1996,273018,109498,163520,253654,19364,200569,182063,18506,72449,71591,858
1997,269167,106865,162302,248860,20307,194674,175297,19377,74493,73563,930
1998,273472,108752,164720,248931,24541,198603,174776,23827,74869,74155,714
1999,274321,108301,166020,249156,25165,199826,175364,24462,74495,73792,703
2000,275680,108164,167516,250710,24970,199725,175404,24321,75955,75306,649
2001,289985,112874,177111,260547,29438,210083,181346,28737,79902,79201,701
2002,299041,115466,183575,269020,30021,218433,189183,29250,80608,79837,771
2003,306727,117795,188932,274326,32401,228096,196077,32019,78631,78249,382
2004,308939,118129,190810,276136,32803,231179,198810,32369,77760,77326,434
2005,311768,120023,191745,272666,39102,235875,197200,38675,75893,75466,427
2006,308774,118865,189909,272770,36004,234505,198676,35829,74269,74094,175
2007,306515,118640,187875,270915,35600,233807,198300,35507,72708,72615,93
2008,313491,121873,191618,274568,38923,235824,197025,38799,77667,77543,124
2009,322860,125728,197132,280133,42727,246595,204016,42579,76265,76117,148
2010,326614,127437,199177,283099,43515,249146,205774,43372,77468,77325,143
2011,323648,126160,197488,281150,42498,246685,204363,42322,76963,76787,176
2012,312438,121719,190719,273033,39405,237782,198568,39214,74656,74465,191
2013,303191,119299,183892,264454,38737,230325,191918,38407,72866,72536,330
2014,294316,115837,178479,256936,37380,222876,185899,36977,71440,71037,403
2015,293388,115825,177563,256379,37009,221360,184587,36773,72028,71792,236
