Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
1940,22.7,(—),24.2,(—),6.9,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,32.6,(—),34.6,(—),12.6,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1960,39.5,(—),41.6,(—),20,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,55,(—),57.2,(—),35.4,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,69.2,-0.28999999999999998,72.4,-0.31,51.2,-1.21,44.9,-1.71,—,(†),—,(†),—,(†),—,(†),—,(†)
1990,77.7,-0.24,81.6,-0.25,65.8,-1.01,50.3,-1.25,86,-1.49,—,(†),—,(†),—,(†),—,(†)
1995,81.7,-0.22,86,-0.22,73.5,-0.91,52.9,-1.1100000000000001,85.8,-1.46,—,(†),—,(†),—,(†),—,(†)
1996,81.9,-0.23,86.1,-0.23,74.6,-0.8,53,-0.97,86.2,-1.1000000000000001,—,(†),—,(†),—,(†),—,(†)
1997,82,-0.21,86.3,-0.21,73.8,-0.79,54.9,-0.76,87.5,-1,—,(†),—,(†),—,(†),—,(†)
1998,82.8,-0.2,87.1,-0.21,75.4,-0.77,55.7,-0.74,87.9,-0.98,—,(†),—,(†),—,(†),—,(†)
1999,83.4,-0.2,87.7,-0.2,77.2,-0.74,56,-0.75,86.9,-1,—,(†),—,(†),—,(†),—,(†)
2000,84.2,-0.19,88.5,-0.2,79.1,-0.72,56.6,-0.73,88.4,-0.94,—,(†),—,(†),—,(†),—,(†)
2001,84.4,-0.19,88.6,-0.19,80.6,-0.69,55.6,-0.72,90.6,-0.78,—,(†),—,(†),—,(†),—,(†)
2002,83.8,-0.14000000000000001,88.5,-0.14000000000000001,79,-0.51,56.1,-0.48,89.8,-0.57999999999999996,—,(†),—,(†),—,(†),—,(†)
2003,84.1,-0.13,89,-0.14000000000000001,79.9,-0.5,56.3,-0.46,89.8,-0.57999999999999996,89.8,-0.59,89.8,-2.61,76.5,-2.33,87.2,-1.36
2004,84.8,-0.13,89.9,-0.13,80.8,-0.49,57.3,-0.45,88.8,-0.59,88.8,-0.6,88.9,-2.65,77.099999999999994,-2.31,87.8,-1.29
2005,84.9,-0.19,89.9,-0.2,81.4,-0.6,57.9,-0.69,90.4,-0.65,90.5,-0.66,88.5,-3.62,75.599999999999994,-2.57,89,-1.19
2006,85,-0.2,90.2,-0.21,80.7,-0.63,58.5,-0.77,89.5,-0.84,89.7,-0.86,85.8,-3.1,78.099999999999994,-2.77,88,-1.36
2007,85,-0.21,90.2,-0.22,82.5,-0.55000000000000004,58.2,-0.8,90,-0.81,90.1,-0.82,88.1,-2.75,78.3,-3.58,89.4,-1.28
2008,85.9,-0.19,91.1,-0.2,82.1,-0.61,60.9,-0.72,91,-0.66,90.8,-0.69,95.8,-1.4,77.3,-3.37,89.6,-1.21
2009,86.2,-0.19,91.4,-0.2,84.2,-0.6,60.6,-0.72,90.8,-0.66,90.7,-0.68,92.1,-2.1800000000000002,80,-2.33,87.3,-1.26
2010,86.6,-0.17,91.8,-0.19,84.2,-0.56999999999999995,61.4,-0.68,91.4,-0.78,91.5,-0.79,89.3,-2.84,78.900000000000006,-2.46,88.1,-1.36
2011,87.1,-0.18,92,-0.17,84.2,-0.55000000000000004,63.6,-0.71,90.6,-0.68,90.6,-0.69,91.5,-2.2200000000000002,80.599999999999994,-2.35,88.1,-1.4
2012,87.3,-0.19,92.2,-0.18,85.1,-0.56000000000000005,64,-0.73,90.6,-0.68,90.5,-0.7,93.3,-1.84,81.8,-2.39,90.2,-1.45
2013,87.6,-0.17,92.7,-0.17,84.9,-0.62,64.599999999999994,-0.66,91.6,-0.56999999999999995,91.7,-0.56999999999999995,89.3,-2.48,81,-2.11,93.3,-1.03
2014,87.7,-0.19,92.5,-0.22,86.3,-0.57999999999999996,65.099999999999994,-0.74,91.8,-0.7,91.9,-0.72,90,-2.68,80.2,-2.2999999999999998,93.8,-1.08
2015,88,-0.16,93,-0.16,87.2,-0.48,65.5,-0.63,90.9,-0.56000000000000005,91.3,-0.57999999999999996,84.9,-2.83,81.900000000000006,-2.12,92.5,-1.23
2016,88.5,-0.17,93.4,-0.19,87,-0.51,67.2,-0.63,92.3,-0.57999999999999996,92.2,-0.6,94.9,-1.58,84.1,-2.0699999999999998,92.8,-1.1499999999999999
