Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
1940,26.3,(—),28.1,(—),8.4,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,36,(—),38.2,(—),14.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1960,42.5,(—),44.7,(—),23.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,55.4,(—),57.7,(—),36.6,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,68.1,-0.28000000000000003,71.5,-0.3,51.5,-1.08,44.2,-1.63,—,(†),—,(†),—,(†),—,(†),—,(†)
1990,77.5,-0.23,81.3,-0.24,66.5,-0.9,51.3,-1.23,82.5,-1.57,—,(†),—,(†),—,(†),—,(†)
1995,81.6,-0.21,85.8,-0.22,74.1,-0.81,53.8,-1.0900000000000001,81.900000000000006,-1.54,—,(†),—,(†),—,(†),—,(†)
1996,81.6,-0.22,85.9,-0.22,74.6,-0.71,53.3,-0.97,81,-1.21,—,(†),—,(†),—,(†),—,(†)
1997,82.2,-0.2,86.3,-0.2,76.5,-0.68,54.6,-0.76,82.9,-1.1100000000000001,—,(†),—,(†),—,(†),—,(†)
1998,82.9,-0.19,87.1,-0.2,77.1,-0.67,55.3,-0.75,82.3,-1.0900000000000001,—,(†),—,(†),—,(†),—,(†)
1999,83.3,-0.19,87.6,-0.19,77.5,-0.66,56.3,-0.73,82.8,-1.06,—,(†),—,(†),—,(†),—,(†)
2000,84,-0.19,88.4,-0.19,78.7,-0.64,57.5,-0.71,83.4,-1.03,—,(†),—,(†),—,(†),—,(†)
2001,84.2,-0.18,88.8,-0.19,78.6,-0.64,57.4,-0.7,85.2,-0.91,—,(†),—,(†),—,(†),—,(†)
2002,84.4,-0.13,88.9,-0.13,79.4,-0.45,57.9,-0.48,85.7,-0.64,—,(†),—,(†),—,(†),—,(†)
2003,85,-0.13,89.7,-0.13,80.7,-0.44,57.8,-0.46,86.1,-0.62,86.1,-0.64,86.9,-2.63,77.900000000000006,-2.2999999999999998,85.1,-1.38
2004,85.4,-0.12,90.1,-0.12,81.2,-0.43,59.5,-0.46,85.3,-0.63,85.1,-0.64,88.1,-2.76,78.599999999999994,-2.2400000000000002,86.5,-1.29
2005,85.5,-0.15,90.3,-0.18,81.5,-0.53,59.1,-0.63,85.4,-0.76,85.2,-0.78,91.7,-2.46,75.599999999999994,-2.29,88.1,-1.1200000000000001
2006,85.9,-0.16,90.8,-0.17,81.5,-0.51,60.1,-0.59,85.6,-0.82,85.6,-0.81,85.7,-3.08,78.900000000000006,-2.1800000000000002,88.2,-1.1100000000000001
2007,86.4,-0.15,91,-0.16,83,-0.49,62.5,-0.56000000000000005,86.1,-0.93,86,-0.97,89.1,-2.4,81.900000000000006,-1.91,89.2,-1.22
2008,87.2,-0.17,91.8,-0.18,84.2,-0.49,63.7,-0.61,87.2,-0.75,87,-0.78,93,-1.57,79.2,-2.95,89.5,-1.53
2009,87.1,-0.16,91.9,-0.17,84.2,-0.48,63.3,-0.59,86.4,-0.73,86.3,-0.75,89.7,-2.33,82.7,-1.96,87.6,-1.1599999999999999
2010,87.6,-0.15,92.3,-0.17,85,-0.46,64.400000000000006,-0.59,87.2,-0.72,87.1,-0.75,90.9,-2.41,82.5,-1.95,89.7,-1.1299999999999999
2011,88,-0.15,92.8,-0.16,85.3,-0.5,65.099999999999994,-0.56999999999999995,87.1,-0.64,87,-0.66,89.5,-2.25,83.8,-2,90.7,-1.22
2012,88,-0.17,92.7,-0.18,86.1,-0.46,66,-0.65,87.9,-0.64,87.8,-0.66,90.1,-2.11,81.8,-1.84,91.6,-1.1299999999999999
2013,88.6,-0.16,93.2,-0.16,86.6,-0.46,67.900000000000006,-0.55000000000000004,89,-0.61,88.9,-0.63,89.6,-2.0099999999999998,83.1,-2.16,92,-0.95
2014,88.9,-0.17,93.7,-0.2,87,-0.55000000000000004,67.900000000000006,-0.61,87.4,-0.76,87.4,-0.77,87.8,-2.98,81.599999999999994,-2.78,92.8,-1.28
2015,88.8,-0.14000000000000001,93.5,-0.15,88.2,-0.43,67.8,-0.53,87.1,-0.6,87.2,-0.62,85.3,-2.46,85.6,-2.1,90.9,-1.1399999999999999
2016,89.6,-0.14000000000000001,94.3,-0.15,88.3,-0.39,69.7,-0.53,89.3,-0.55000000000000004,89.2,-0.56000000000000005,91.8,-2.2599999999999998,85.2,-1.69,92.8,-1.07
