Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
19103,13.5,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
19203,16.4,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
19303,19.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1940,24.5,(—),26.1,(—),7.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,34.3,(—),36.4,(—),13.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,41.1,(—),43.2,(—),21.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,55.2,(—),57.4,(—),36.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1975,62.5,(—),65.8,(—),42.6,(—),38.5,(—),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,68.6,-0.2,71.900000000000006,-0.21,51.4,-0.81,44.5,-1.18,—,(†),—,(†),—,(†),—,(†),—,(†)
1985,73.9,-0.18,77.5,-0.19,59.9,-0.74,47.9,-0.99,—,(†),—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,74.7,-0.18,78.2,-0.19,62.5,-0.72,48.5,-0.96,—,(†),—,(†),—,(†),—,(†),—,(†)
1987,75.6,-0.17,79,-0.18,63.6,-0.71,50.9,-0.94,—,(†),—,(†),—,(†),—,(†),—,(†)
1988,76.2,-0.17,79.8,-0.18,63.5,-0.7,51,-0.92,—,(†),—,(†),—,(†),—,(†),—,(†)
1989,76.9,-0.17,80.7,-0.18,64.7,-0.69,50.9,-0.89,82.3,-1.17,—,(†),—,(†),—,(†),—,(†)
1990,77.6,-0.17,81.400000000000006,-0.17,66.2,-0.67,50.8,-0.88,84.2,-1.0900000000000001,—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,78.4,-0.16,82.4,-0.17,66.8,-0.66,51.3,-0.86,84.2,-1.05,—,(†),—,(†),—,(†),—,(†)
