ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,1535,6443,30181,11087,5420,2101,188,56955,145,1416
Unbranded,631,3176,17432,4265,2417,1545,20,29486,145,1416
The Coca-Cola Company,130,4,157,1154,210,1,51,1707,145,1416
Philip Morris,13,37,1579,1,0,4,0,1634,145,1416
Sahakari Jal,0,0,0,563,975,0,0,1538,145,1416
PepsiCo,0,8,386,462,175,5,0,1036,145,1416
max,0,0,1011,0,0,0,0,1011,145,1416
Arrow,0,0,0,327,609,0,0,936,145,1416
Current,0,0,910,0,0,0,0,910,145,1416
Nestlé,22,19,365,326,95,1,43,871,145,1416
Viju Industries Nigeria Limited,15,0,0,816,0,0,0,831,145,1416
McDonald's Corporation,13,23,225,8,135,172,0,576,145,1416
Universal Robina Corporation,0,44,430,70,0,0,0,544,145,1416
"Reynolds American, Inc.",5,34,492,1,0,2,0,534,145,1416
Liwayway Holdings Company Limited,0,418,82,0,0,0,0,500,145,1416
Perfetti van Melle,4,0,422,1,0,1,0,428,145,1416
P&G,2,4,354,4,0,1,0,365,145,1416
Caudary group,0,0,361,0,0,0,0,361,145,1416
RBC,0,141,175,21,0,0,0,337,145,1416
7-Eleven,124,0,82,19,19,19,0,263,145,1416
Lactasoy Co. Ltd.,23,0,214,0,0,0,0,237,145,1416
Unilever,1,1,206,14,10,0,0,232,145,1416
Super Bock Group,0,0,42,171,4,0,0,217,145,1416
JBC Food Corporation,0,86,122,1,0,0,0,209,145,1416
"Mars, Incorporated",0,32,141,10,15,1,0,199,145,1416
Fan Ville,0,185,0,0,0,0,0,185,145,1416
"Green Spot Co., Ltd.",0,0,182,0,0,0,0,182,145,1416
Pri Foods,0,155,13,0,0,0,0,168,145,1416
Walmart,0,62,2,88,10,0,0,162,145,1416
Osotspa Company Limited,0,0,160,0,0,0,0,160,145,1416
Heineken International,0,0,62,91,3,2,0,158,145,1416
Mappomma,0,155,0,0,0,0,0,155,145,1416
Dufil Mini mee Chin Chin,0,139,0,0,0,0,0,139,145,1416
Dr Pepper Snapple Group,0,1,17,117,3,0,0,138,145,1416
"Panda Restaurant Group, Inc",0,0,21,115,0,0,0,136,145,1416
MAMA,0,0,130,0,0,0,0,130,145,1416
Starbucks,0,2,53,8,31,33,0,127,145,1416
Imperial Brands,0,23,97,6,0,0,0,126,145,1416
Mondelez International,2,3,114,1,3,0,0,123,145,1416
Rudolf Wild & Co.,0,45,12,7,58,0,0,122,145,1416
CWAY,24,0,0,97,0,0,0,121,145,1416
Aniya Pharmaceuticals Limited,0,120,0,0,0,0,0,120,145,1416
Wings,0,27,91,0,0,0,0,118,145,1416
"Philippine Spring Water Resources, Inc.",0,0,0,117,0,0,0,117,145,1416
MEXU Pad,0,0,0,0,117,0,0,117,145,1416
Avanti,114,0,0,0,0,0,0,114,145,1416
Anheuser-Busch InBev,0,0,104,3,2,0,0,109,145,1416
Monde Nissin Corporation,0,21,84,0,0,0,0,105,145,1416
Dunkin' Brands,8,0,29,2,50,9,0,98,145,1416
NASCO Group,0,98,0,0,0,0,0,98,145,1416
Red Bull,0,0,97,0,0,0,0,97,145,1416
W.L. Food Products,0,20,74,0,0,0,0,94,145,1416
Munachi sachet water,0,94,0,0,0,0,0,94,145,1416
Colgate-Palmolive,0,0,94,0,0,0,0,94,145,1416
Cumberland Farms,0,0,0,0,62,30,0,92,145,1416
SWAN,12,0,0,79,0,0,0,91,145,1416
Crystal,0,0,0,27,29,0,27,83,145,1416
Perfetti Centre Bubble Gum,0,83,0,0,0,0,0,83,145,1416
Singha,0,0,0,0,42,0,39,81,145,1416
Elim Table Water,0,0,0,81,0,0,0,81,145,1416
ADIL Yoghourt,0,0,0,81,0,0,0,81,145,1416
Kraft Heinz Company,1,0,45,5,22,0,0,73,145,1416
The Hershey Company,0,0,62,0,10,0,0,72,145,1416
CR Câ€™estbon,0,0,0,47,24,0,0,71,145,1416
PT Mayora Indah Tbk,0,2,68,0,0,0,0,70,145,1416
Losartan,0,0,65,0,0,0,0,65,145,1416
Smoov,21,0,0,39,0,0,0,60,145,1416
Pure Bliss biscuit,0,60,0,0,0,0,0,60,145,1416
Fan Milk International Denmark,0,45,0,15,0,0,0,60,145,1416
Monde M.Y. San Corporation,0,5,11,44,0,0,0,60,145,1416
Restaurant Brands International,4,4,22,0,20,10,0,60,145,1416
Tiger Brands,0,0,58,0,0,0,0,58,145,1416
Rite Foods Limited,0,0,0,57,0,0,0,57,145,1416
Real,0,0,56,0,0,0,0,56,145,1416
Solo Cup Co.,0,0,14,1,1,40,0,56,145,1416
EURO,0,0,50,0,0,0,0,50,145,1416
Action Bitters dry gin,0,0,0,50,0,0,0,50,145,1416
QuikTrip,0,5,0,0,0,45,0,50,145,1416
Birdy,0,0,49,0,0,0,0,49,145,1416
Pure Snacks,0,48,0,0,0,0,0,48,145,1416
Sponsor,0,0,46,0,0,0,0,46,145,1416
Reynolds Consumer Products,0,32,1,0,0,12,0,45,145,1416
Beer,0,0,45,0,0,0,0,45,145,1416
Wall's,0,44,0,0,0,0,0,44,145,1416
LM,0,0,44,0,0,0,0,44,145,1416
Monster Energy,0,0,41,0,0,0,0,41,145,1416
Center fresh gum,0,40,0,0,0,0,0,40,145,1416
Multina,0,0,0,40,0,0,0,40,145,1416
Suntory,0,0,22,17,0,0,0,39,145,1416
Nepal Ice,0,0,39,0,0,0,0,39,145,1416
Sterling,0,0,39,0,0,0,0,39,145,1416
KFC,0,3,2,1,11,22,0,39,145,1416
Kellogg Company,0,0,34,0,4,1,0,39,145,1416
Danone,11,0,15,12,1,0,0,39,145,1416
EURO Ellse,0,0,39,0,0,0,0,39,145,1416
aro,0,0,0,39,0,0,0,39,145,1416
FUDO,0,0,39,0,0,0,0,39,145,1416
Eva Water,0,0,0,39,0,0,0,39,145,1416
Gov. Water,0,0,0,38,0,0,0,38,145,1416
FantaSea,0,38,0,0,0,0,0,38,145,1416
Pure Bliss,0,31,0,7,0,0,0,38,145,1416
General Mills,0,1,32,1,4,0,0,38,145,1416
S&E Pitason,36,0,0,0,0,0,0,36,145,1416
McKee Foods,0,14,22,0,0,0,0,36,145,1416
Farouz,3,0,0,33,0,0,0,36,145,1416
Aqua Varun water,0,36,0,0,0,0,0,36,145,1416
Lipo,0,0,36,0,0,0,0,36,145,1416
Hill Country Water Bottle,35,0,0,0,0,0,0,35,145,1416
La casera,0,0,0,35,0,0,0,35,145,1416
Yakult,30,0,0,0,4,0,0,34,145,1416
Origin Bitters,10,0,0,24,0,0,0,34,145,1416
Belox,0,0,0,34,0,0,0,34,145,1416
Dutchmill,0,0,33,0,0,0,0,33,145,1416
Shesterfield,0,0,32,0,0,0,0,32,145,1416
Coors Brewing Company,0,0,31,1,0,0,0,32,145,1416
Vitasoy International Holdings Limited,0,0,0,26,5,0,0,31,145,1416
Friskies,0,0,31,0,0,0,0,31,145,1416
Tingyi (Cayman Islands) Holding Corporation,0,0,0,30,0,0,0,30,145,1416
MoonChips,0,30,0,0,0,0,0,30,145,1416
Swisher International Inc,0,0,25,5,0,0,0,30,145,1416
Big Ben,0,0,0,29,0,0,0,29,145,1416
Olycci Plastics Industries,29,0,0,0,0,0,0,29,145,1416
Carabao,0,0,28,0,0,0,0,28,145,1416
Fatafat,0,0,0,22,6,0,0,28,145,1416
Karnali,0,0,0,8,20,0,0,28,145,1416
Dutchmill Dna,0,0,28,0,0,0,0,28,145,1416
Yale Biscuit,0,0,0,28,0,0,0,28,145,1416
Spar,0,16,11,1,0,0,0,28,145,1416
Pran,0,0,0,27,0,0,0,27,145,1416
Campbell Soup Company,0,0,12,8,6,0,0,26,145,1416
WL Foods,0,15,11,0,0,0,0,26,145,1416
Malta Guinness,5,0,0,21,0,0,0,26,145,1416
Twisted Tea,0,0,26,0,0,0,0,26,145,1416
Hoy stuff,0,0,0,26,0,0,0,26,145,1416
Belmont,0,0,25,0,0,0,0,25,145,1416
Apex Water,0,0,0,25,0,0,0,25,145,1416
Pran Potato Cracker,0,0,25,0,0,0,0,25,145,1416
ARS,0,0,0,0,25,0,0,25,145,1416
Diageo,0,0,23,2,0,0,0,25,145,1416
Woolworths Group,0,0,24,0,0,0,0,24,145,1416
Crackling,0,24,0,0,0,0,0,24,145,1416
Starcup,0,0,24,0,0,0,0,24,145,1416
Mangero Water,0,0,0,24,0,0,0,24,145,1416
Mangero water,0,1,0,23,0,0,0,24,145,1416
Subway,0,4,5,0,10,4,0,23,145,1416
Gala meat,0,0,0,23,0,0,0,23,145,1416
CPall,0,0,23,0,0,0,0,23,145,1416
Ph. Spring Water Resources Inc.,0,0,0,23,0,0,0,23,145,1416
Foremost,0,0,23,0,0,0,0,23,145,1416
Tuborg Can Beer,0,0,23,0,0,0,0,23,145,1416
Haribo,0,2,17,1,2,1,0,23,145,1416
Cway food,0,0,0,22,0,0,0,22,145,1416
Thai-Denmark,0,0,22,0,0,0,0,22,145,1416
"Century Pacific Food, Inc.",0,0,21,1,0,0,0,22,145,1416
comfort,0,0,22,0,0,0,0,22,145,1416
Rite Sausage,0,22,0,0,0,0,0,22,145,1416
Eva water,0,0,0,22,0,0,0,22,145,1416
Sanghai,0,0,21,0,0,0,0,21,145,1416
Dubic malt,0,0,0,21,0,0,0,21,145,1416
Conagra,2,0,18,0,0,1,0,21,145,1416
Oxford Biscuit,0,21,0,0,0,0,0,21,145,1416
Suncrest,0,21,0,0,0,0,0,21,145,1416
Ferrero Group,0,3,9,6,3,0,0,21,145,1416
Farmhouse,0,21,0,0,0,0,0,21,145,1416
Tao Kae Noi,0,0,21,0,0,0,0,21,145,1416
COCO-Rum,0,20,0,0,0,0,0,20,145,1416
CostCo,0,0,5,15,0,0,0,20,145,1416
Munachi,0,0,0,20,0,0,0,20,145,1416
Wet,0,0,0,20,0,0,0,20,145,1416
Chivita,0,0,20,0,0,0,0,20,145,1416
