ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,4668,17349,57013,79284,1232,315,48,159909,62,9701
Unbranded,0,1822,2685,41116,7613,589,252,0,54077,62,9701
La Doo,0,0,0,0,28742,0,0,0,28742,62,9701
Barna,0,0,0,0,13430,0,0,0,13430,62,9701
"Pure Water, Inc.",0,0,321,0,4988,0,0,0,5309,62,9701
Inconnu,0,0,2000,254,602,113,27,0,2996,62,9701
Master Chef,0,0,0,2488,0,0,0,0,2488,62,9701
The Coca-Cola Company,0,0,0,127,2286,16,0,0,2429,62,9701
"OK Foods, Inc.",0,0,87,2303,0,0,0,0,2390,62,9701
FrieslandCampina,0,0,137,2010,0,0,0,0,2147,62,9701
Sweetco Foods Limited,0,0,0,1840,0,0,0,0,1840,62,9701
Reckitt Benckiser,0,1041,6,592,10,0,0,0,1649,62,9701
Niger Biscuit Company Limited,0,0,0,1438,0,0,0,0,1438,62,9701
Bakhresa Group,0,0,0,35,1311,0,0,0,1346,62,9701
Nestlé,0,35,685,42,288,17,0,33,1100,62,9701
PepsiCo,0,2,0,0,1045,30,0,0,1077,62,9701
Unilever,0,4,47,1016,0,0,0,0,1067,62,9701
EI Sahely group,0,0,0,0,682,209,0,0,891,62,9701
Indofood,0,0,144,0,603,0,0,0,747,62,9701
"Oxford Industries, Inc.",0,0,746,0,0,0,0,0,746,62,9701
3250,0,0,720,0,0,0,0,0,720,62,9701
Maji Asili Company,0,0,0,0,680,0,0,0,680,62,9701
Rite Foods Limited,0,0,306,0,325,4,0,0,635,62,9701
Dr Pepper Snapple Group,0,0,0,0,604,0,0,0,604,62,9701
Idéale,0,0,0,0,600,0,0,0,600,62,9701
P-E-T Active Products cc,0,0,0,0,590,0,0,0,590,62,9701
Cool,0,0,0,0,583,0,0,0,583,62,9701
Voltic Ghana Limited,0,0,0,0,578,0,0,0,578,62,9701
UAC Foods Limited,0,0,574,0,0,0,0,0,574,62,9701
Nice And Lovely,0,0,0,0,568,0,0,0,568,62,9701
Altria,0,0,0,566,0,0,0,0,566,62,9701
Apple Punch,0,0,0,0,560,0,0,0,560,62,9701
Power Oil NV,0,0,523,0,0,0,0,0,523,62,9701
Les Sociétés Anonymes des Brasseries du Cameroun,0,0,0,13,457,0,0,0,470,62,9701
Malyn,0,0,0,0,458,0,0,0,458,62,9701
Les Brasseries du Cameroun,0,0,36,24,393,0,0,0,453,62,9701
Babali,0,0,0,0,450,0,0,0,450,62,9701
Oral Rehydration,0,0,0,0,450,0,0,0,450,62,9701
Parle Products Private Limited,0,0,432,0,0,0,0,0,432,62,9701
Yala,0,0,432,0,0,0,0,0,432,62,9701
Lady B Table Water,0,0,0,0,402,0,0,0,402,62,9701
Yale Foods Limited,0,0,393,0,0,0,0,0,393,62,9701
Lion dor,0,0,365,0,0,0,0,0,365,62,9701
Accra Brewery Limited,0,0,0,361,0,0,0,0,361,62,9701
Emerald Food & Beverage Company Limited,0,0,0,0,361,0,0,0,361,62,9701
Benita Coffee,0,0,0,0,331,0,0,0,331,62,9701
Mondelez International,0,0,327,0,0,0,0,0,327,62,9701
