year,nominal_gbp_millions,gia_gbp_millions,voluntary_gbp_millions,investment_gbp_millions,services_gbp_millions,other_gbp_millions,year_2000_gbp_millions,inflation_adjustment,total_y2000_gbp_millions,percentage_of_y2000_income,gia_y2000_gbp_millions,voluntary_y2000_gbp_millions,investment_y2000_gbp_millions,services_y2000_gbp_millions,other_y2000_gbp_millions,gia_as_percent_of_peak_gia
2023,151.8,127.8,8.2,3,12.8,0,NA,1818796.76,83.46177172649021,0.7573663496051743,70.26623469463405,4.508475152550854,1.64944212898202,7.037619750323285,0,0.7430188093896174
2022,147.6,116.5,14.9,0.8,15.6,0,NA,1674338.62,88.15421100422326,0.799947468277888,69.57971261512202,8.899036205710885,0.4778006016489066,9.317111732153679,0,0.7357592939145742
2021,141.4,110.412,20.086,0.08,9.753,1.042,NA,1534702.63,92.13511284593291,0.8360718044095545,71.94357906326127,13.08787748672849,0.05212736228907095,6.354977055066362,0.6789588938151491,0.7607556131493463
2020,125.9,108.226,9.524,0.196,7.584,0.383,NA,1495983.26,84.15869573299905,0.7636905238929134,72.34439240984555,6.36638139921432,0.1310175088456538,5.069575444313461,0.25601890759125207,0.7649939483449173
2019,121.1,96.899,8.626,0.426,13.249,1.925,NA,1483364.96,81.63870879085617,0.7408231287736494,65.32377574834989,5.815156911890382,0.2871848880669259,8.931719676053289,1.297725139739043,0.6907555854146239
2018,122.2,93.443,10.754,0.332,14.558,3.116,NA,1457265.04,83.85571371423279,0.7609411407825117,64.12217231259456,7.379577293640421,0.2278240339862953,9.989946646905082,2.1382520780159524,0.6780494263600875
2017,120.8,93.443,9.634,0.269,16.152,1.328,NA,1422026.43,84.94919465034135,0.7708638353025531,65.71115559364111,6.7748389177267265,0.18916666689521378,11.35843867543306,0.9338785637057393,0.6948518702473132
2016,118,93.911,9.672,0.649,13.78,0,76.39,1384868.58,85.20664105181734,0.773200009544622,67.81221074421371,6.984056205535401,0.4686365257849954,9.950402658424093,0,0.7170691343888284
2015,117.8,93.043,9.919,1.003,13.799,0,77.59,1375792.94,85.62334968807153,0.7769813946285983,67.62863603588488,7.209660488590674,0.7290341234052269,10.029852311932927,0,0.7151279536523152
2014,118.9,93.893,8.931,0.707,15.352,0,79.09,1375241.48,86.4575434417525,0.7845512109051951,68.2738278080443,6.494132215965446,0.51409153249217,11.163130419829978,0,0.7219504285502689
2013,124.7,95.106,14.993,0.623,13.98,0,84.9,1355438.1,91.99977483294884,0.8348436917690457,70.16624366690002,11.06136827642664,0.4596299897427997,10.314008437567159,0,0.7419614706165999
2012,126.1,103.868,6.265,0.62,15.349,0,88.46,1321543.18,95.41875128136185,0.8658688864007427,78.5959941165146,4.740669918935225,0.4691484995594317,11.614452128609223,0,0.8311004883787475
2011,140.1,101.873,6.738,0.531,17.619,13.339,101.44,1285194.76,109.01071523198554,0.9892079422140249,79.26658524502542,5.242785147987998,0.4131669506651272,13.70920622178696,10.378971666520021,0.8381915446173338
2010,137.9,105.847,11.774,0.415,19.906,0,105.05,1230278.88,112.08840714228957,1.0171361809645152,86.03496469028227,9.570187858544724,0.33732189241515714,16.180071302207512,0,0.9097626663483798
2009,142.2,109.464,9.616,0.418,22.674,0,113.32,1190997.74,119.39569255605808,1.0834454859896376,91.90949430349045,8.07390281026058,0.35096624112821573,19.03781950081618,0,0.9718819191858072
2008,140.5,106.947,7.993,1.492,24.03,0,111.37,1165755.4,120.522709995596,1.0936725044972413,91.74051434803562,6.856498370069742,1.2798568207361511,20.613243567218305,0,0.9700950682771396
2007,141.2,106.411,9.789,1.878,23.076,0,116.39,1125225.72,125.48593361339093,1.1387108313374856,94.56858131540044,8.699587848027505,1.6689984654812193,20.507885297893832,0,1
2006,159.2,102.639,31.879,1.904,22.768,0,136.85,1099681.85,144.76914391194143,1.313694590852463,93.3351768968452,28.989293585231035,1.73140986186141,20.704170028813333,0,0.9869575666526956
2005,136.9,97.562,10.663,1.77,24.309,2.602,121.44,1074656.2,127.38957817393135,1.1559852828850394,90.78438294963543,9.922243039215704,1.6470383737608363,22.620257529803485,2.421239462443896,0.9599846131439348
2004,121.6,88.501,6.399,1.586,24.52,0,110.92,1052996.65,115.47994953260299,1.0479124277005716,84.04680109856001,6.076942410025711,1.5061776312393778,23.285924034041326,0,0.888739155536777
2003,119.5,89.263,4.004,0.856,25.423,0,112.25,1039036.95,115.01034684088954,1.0436510602621556,85.90936058626212,3.853568441430307,0.8238398066594264,24.467849771848826,0,0.908434486288226
2002,119.2,85.187,6.162,0.795,27.068,0,115.2,1025079.54,116.28365931486643,1.0552056199171183,83.10281951388865,6.011240844783615,0.7755495734506612,26.40575579139937,0,0.8787571766222044
2001,120.9,88.617,3.283,0.71,28.29,0,118.8,1012335.12,119.42685540732796,1.0837282704839197,87.53721791258215,3.2429972398863334,0.7013487786534561,27.945291476206023,0,0.9256479974108142
2000,110.2,82.266,2.852,0.654,24.491,0,110.2,1000000,110.2,1,82.266,2.852,0.654,24.491,0,0.8699083655028146
1999,112.3,78.465,4.944,0.455,28.468,0,115.62,992098.37,113.19442042828878,1.0271725991677747,79.08993943816277,4.98337679962119,0.45862387617873013,28.694735180343056,0,0.8363236324164146
1998,120.459,80.45,8.487,0.474,31.048,0,NA,979089.11,123.03170239530087,1.1164401306288645,82.16821040936713,8.668261053378481,0.4841234522565571,31.711107480298704,0,0.8688743054664614
