objectid,province_territory,project_name,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning_date,latitude,longitude,notes
1,Alberta,Optimist Wind Energy,0.9,OWE1,1/2,150,23,30,Bonus,AN 150/30,1993,49.525354,-114.054796,NA
2,Alberta,Castle River Wind Farm,44,CRW1,1/60,600,44,40,Vestas,V44/600,1997,49.5126406422048,-114.035711741286,NA
3,Alberta,Waterton Wind Turbines,3.78,WWT1,1/6,600,44,50,Vestas,V44/600,1998,49.2330687371414,-113.654899041571,NA
4,Alberta,Waterton Wind Turbines,3.78,WWT2,2/6,600,44,50,Vestas,V44/600,1998,49.2330343842084,-113.630213392164,NA
5,Alberta,Waterton Wind Turbines,3.78,WWT3,3/6,600,44,50,Vestas,V44/600,1998,49.2175471922324,-113.680160622281,NA
6,Alberta,Waterton Wind Turbines,3.78,WWT4,4/6,660,47,50,Vestas,V47/660,2000,49.2177254222235,-113.657905842274,NA
7,Alberta,Cowley North,19.5,CON1,1/15,1300,60,46,Nordex,N60/1300,2001,49.5687585769995,-114.110351893935,NA
8,Alberta,Cowley North,19.5,CON2,2/15,1300,60,46,Nordex,N60/1300,2001,49.56787880246,-114.109682456433,NA
9,Alberta,Cowley North,19.5,CON3,3/15,1300,60,46,Nordex,N60/1300,2001,49.5669590502259,-114.110309019836,NA
10,Alberta,Cowley North,19.5,CON4,4/15,1300,60,46,Nordex,N60/1300,2001,49.5659731714606,-114.110513350773,NA
11,Alberta,Cowley North,19.5,CON5,5/15,1300,60,46,Nordex,N60/1300,2001,49.5649545057313,-114.110403738996,NA
12,Alberta,Cowley North,19.5,CON6,6/15,1300,60,46,Nordex,N60/1300,2001,49.563936622438,-114.110089240982,NA
13,Alberta,Cowley North,19.5,CON7,7/15,1300,60,46,Nordex,N60/1300,2001,49.563161101426,-114.109223252058,NA
14,Alberta,Cowley North,19.5,CON8,8/15,1300,60,46,Nordex,N60/1300,2001,49.5623602316361,-114.108317002454,NA
15,Alberta,Cowley North,19.5,CON9,9/15,1300,60,46,Nordex,N60/1300,2001,49.5616853835598,-114.107190813353,NA
16,Alberta,Cowley North,19.5,CON10,10/15,1300,60,46,Nordex,N60/1300,2001,49.5609111156073,-114.106101866521,NA
17,Alberta,Cowley North,19.5,CON11,11/15,1300,60,46,Nordex,N60/1300,2001,49.559961907857,-114.105429692414,NA
18,Alberta,Cowley North,19.5,CON12,12/15,1300,60,46,Nordex,N60/1300,2001,49.5590049675234,-114.105125774676,NA
19,Alberta,Cowley North,19.5,CON13,13/15,1300,60,46,Nordex,N60/1300,2001,49.5580106061721,-114.10470406335,NA
20,Alberta,Cowley North,19.5,CON14,14/15,1300,60,46,Nordex,N60/1300,2001,49.5571088719307,-114.104412767269,NA
21,Alberta,Cowley North,19.5,CON15,15/15,1300,60,46,Nordex,N60/1300,2001,49.5561596578603,-114.103625122009,NA
22,Alberta,Lundbreck Wind Farm,19.5,LWF1,1/1,600,40,48,Enercon,E-40/600,2001,49.58307,-114.215968,NA
23,Alberta,McBride Lake,75,MBL1,1/115,660,50,47,Vestas,V47/660,2001,49.5828658036891,-113.45103812924,NA
24,Alberta,Sinnott Wind Farm,6.5,SWF1,1/5,1300,60,60,Nordex,N60/1300,2001,49.5453945267514,-113.970445050417,NA
25,Alberta,Sinnott Wind Farm,6.5,SWF2,2/5,1300,60,60,Nordex,N60/1300,2001,49.5350229104499,-113.954955462634,NA
26,Alberta,Sinnott Wind Farm,6.5,SWF3,3/5,1300,60,60,Nordex,N60/1300,2001,49.5321907619122,-113.977525966275,NA
27,Alberta,Sinnott Wind Farm,6.5,SWF4,4/5,1300,60,60,Nordex,N60/1300,2001,49.5319521113105,-114.002295551149,NA
28,Alberta,Sinnott Wind Farm,6.5,SWF5,5/5,1300,60,60,Nordex,N60/1300,2001,49.5451897479078,-113.997795213736,NA
29,Alberta,Waterton Wind Turbines,3.78,WWT5,5/6,660,47,50,Vestas,V47/660,2001,49.1897471063985,-113.680681968619,NA
