artist_name,artist_id,album_id,album_release_date,album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,time_signature,duration_ms,track_name,track_number,album_name,key_name,mode_name,key_mode
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.769,0.819,10,-3.941,0,0.0431,0.0293,0.0037,0.0744,0.82,109.998,1NwDWbpg9dPH12xBd2ibrv,4,255866,Holler,1,Forever,A#,minor,A# minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.829,0.764,5,-3.776,0,0.0431,0.0287,3.29e-6,0.0512,0.919,104,0r5d5LmhLQwJVEw0kTEExp,4,254666,Tell Me Why,2,Forever,F,minor,F minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.614,0.788,11,-5.547,1,0.027,0.155,0,0.157,0.405,116.029,5EE1Uzg0JvtBhs6TRs33R0,4,298293,Let Love Lead The Way,3,Forever,B,major,B major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.736,0.779,8,-5.163,1,0.0401,0.0172,0.0033,0.118,0.573,101.023,2O8kqbUJS1vkL3x9mF7WzM,4,251000,Right Back At Ya,4,Forever,G#,major,G# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.86,0.71,1,-4.214,0,0.0356,0.00259,3.57e-5,0.0387,0.884,110.002,7xzDDFO7L1o5ANyzOYbbWZ,4,226266,Get Down With Me,5,Forever,C#,minor,C# minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.798,0.751,5,-4.569,0,0.0486,0.009,0,0.186,0.809,106.009,1SDaGaHrcH7hDdZwzXHslN,4,254773,Wasting My Time,6,Forever,F,minor,F minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.671,0.75,1,-2.83,1,0.0279,0.188,0,0.296,0.407,99.005,2vnY8xDhRSW1Cc0xPpUMXc,4,246600,Weekend Love,7,Forever,C#,major,C# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.571,0.481,0,-5.745,1,0.0251,0.177,0,0.18,0.0734,81.999,4wJpBVD7r9WAOpmmMXqSL3,4,291600,Time Goes By,8,Forever,C,major,C major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.709,0.872,7,-2.316,0,0.0443,0.253,0.0106,0.287,0.858,104.099,1tMHxkwWMUfh0HyMiRAY4I,4,326826,If You Wanna Have Some Fun,9,Forever,G,minor,G minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.536,0.539,11,-5.37,1,0.0272,0.744,5.68e-6,0.094,0.307,87.977,1qmAvaC7Zo3VSCQ3tTx4kq,4,297040,Oxygen,10,Forever,B,major,B major
