
DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,BIN,TAX_BLOCK,TAX_LOT,HOUSE_NUMBER,STREET_NAME,ZIP_CODE,Borough,Device Type,DV_LASTPER_INSP_DATE,DV_LASTPER_INSP_DISP,DV_APPROVAL_DATE,DV_MANUFACTURER,DV_TRAVEL_DISTANCE,DV_SPEED_FPM,DV_CAPACITY_LBS,DV_CAR_BUFFER_TYPE,DV_GOVERNOR_TYPE,DV_MACHINE_TYPE,DV_SAFETY_TYPE,DV_MODE_OPERATION,DV_STATUS_DATE,DV_FLOOR_FROM,DV_FLOOR_TO,,LATITUDE,LONGITUDE
1D1,W,WK IN PROG,1084781,1480,1,521,EAST   68 STREET,0,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,20090115,,,,40.76445324430363,-73.9541429039059
1D10000,A,ACTIVE,1008273,525,56,494,WEST BROADWAY,10012,Manhattan,Dumbwaiter (D),20140325,NV,19960524,**,,,,,,,,,20140113,,,,40.727254549594306,-73.99984125121291
1D10001,A,ACTIVE,1078701,844,17,31,UNION SQ W,100030000,Manhattan,Dumbwaiter (D),20150803,NV,19961021,,,,,,,,,,20090116,,,,40.736805951426405,-73.99109435977222
1D10006,A,ACTIVE,1003957,306,14,271,GRAND STREET,100020000,Manhattan,Dumbwaiter (D),20150429,NV,19961001,,,,,,,,,,19970226,,,,40.717710814717755,-73.99303409060244
1D10007,A,ACTIVE,1003957,306,14,271,GRAND STREET,100020000,Manhattan,Dumbwaiter (D),20150429,NV,19961001,,,,,,,,,,19970226,,,,40.717710814717755,-73.99303409060244
1D10008,W,WK IN PROG,1006221,446,48,93,E 4TH ST,100030000,Manhattan,Dumbwaiter (D),,,19961119,,,,,,,,,,19970411,,,,40.726054521611,-73.98854864594583
1D10009,W,WK IN PROG,1006221,446,48,93,E 4TH ST,100030000,Manhattan,Dumbwaiter (D),,,19970102,,,,,,,,,,19970411,,,,40.726054521611,-73.98854864594583
1D10011,A,ACTIVE,1034786,1270,1,61,W 54TH ST,100190000,Manhattan,Dumbwaiter (D),20141013,DF,19961125,,,,,,,,,,20090115,,,,40.762434671819115,-73.97811358438345
1D10013,A,ACTIVE,1080756,847,62,113, 5 AVENUE,0,Manhattan,Dumbwaiter (D),20140731,NV,19970429,,,,,,,,,,20090114,,,,40.73854884250357,-73.99075492419007
1D10015,A,ACTIVE,1024854,1026,32,848,7TH AVE,100190000,Manhattan,Dumbwaiter (D),20150929,DF,19961223,,,,,,,,,,20090115,,,,40.76407113174826,-73.98149915294333
