cartodb_id,the_geom,the_geom_webmercator,county,year,totalproduction,sfproduction,mfproduction,mhproduction,source
1,NA,NA,Alameda County,1990,3601,2166,1378,57,DOF_E-8
2,NA,NA,Alameda County,1991,226,-236,395,67,DOF_E-8
3,NA,NA,Alameda County,1992,2652,2018,563,71,DOF_E-8
4,NA,NA,Alameda County,1993,3049,2693,282,74,DOF_E-8
5,NA,NA,Alameda County,1994,2617,2753,-233,97,DOF_E-8
6,NA,NA,Alameda County,1995,3515,3001,445,69,DOF_E-8
7,NA,NA,Alameda County,1996,3179,3336,-229,72,DOF_E-8
8,NA,NA,Alameda County,1997,4591,4414,108,69,DOF_E-8
9,NA,NA,Alameda County,1998,6022,4484,1465,73,DOF_E-8
10,NA,NA,Alameda County,1999,5601,4131,1392,78,DOF_E-8
11,NA,NA,Alameda County,2000,5126,3991,1105,30,DOF_E-8
12,NA,NA,Alameda County,2001,4071,2844,1207,20,DOF_E-8
13,NA,NA,Alameda County,2002,4513,2775,1724,14,DOF_E-8
14,NA,NA,Alameda County,2003,3608,2086,1523,-1,DOF_E-8
15,NA,NA,Alameda County,2004,4733,2752,1965,16,DOF_E-8
16,NA,NA,Alameda County,2005,4302,2546,1725,31,DOF_E-8
17,NA,NA,Alameda County,2006,4062,2167,1872,23,DOF_E-8
18,NA,NA,Alameda County,2007,5167,2077,3071,19,DOF_E-8
19,NA,NA,Alameda County,2008,4096,2000,2070,26,DOF_E-8
20,NA,NA,Alameda County,2009,3008,1605,1385,18,DOF_E-8
21,NA,NA,Alameda County,2010,879,972,-97,4,DOF_E-5
22,NA,NA,Alameda County,2011,1322,897,421,4,DOF_E-5
23,NA,NA,Alameda County,2012,2425,1100,1323,2,DOF_E-5
24,NA,NA,Alameda County,2013,2474,1293,1180,1,DOF_E-5
25,NA,NA,Alameda County,2014,2288,1152,1132,4,DOF_E-5
26,NA,NA,Alameda County,2015,2428,1333,1082,13,DOF_E-5
27,NA,NA,Alameda County,2016,3273,1739,1531,3,DOF_E-5
28,NA,NA,Alameda County,2017,5030,2024,3006,0,DOF_E-5
29,NA,NA,Alameda County,2018,4010,2045,1964,1,DOF_E-5
30,NA,NA,Contra Costa County,1990,4190,3057,1104,29,DOF_E-8
31,NA,NA,Contra Costa County,1991,4248,3167,1053,28,DOF_E-8
32,NA,NA,Contra Costa County,1992,5168,3395,1769,4,DOF_E-8
33,NA,NA,Contra Costa County,1993,3000,3088,-87,-1,DOF_E-8
34,NA,NA,Contra Costa County,1994,3608,3600,21,-13,DOF_E-8
35,NA,NA,Contra Costa County,1995,3155,3265,-115,5,DOF_E-8
36,NA,NA,Contra Costa County,1996,3363,3435,-79,7,DOF_E-8
37,NA,NA,Contra Costa County,1997,3703,3132,567,4,DOF_E-8
38,NA,NA,Contra Costa County,1998,3205,2974,218,13,DOF_E-8
39,NA,NA,Contra Costa County,1999,3932,3172,674,86,DOF_E-8
40,NA,NA,Contra Costa County,2000,3588,3382,228,-22,DOF_E-8
41,NA,NA,Contra Costa County,2001,4807,4021,808,-22,DOF_E-8
42,NA,NA,Contra Costa County,2002,4554,4334,228,-8,DOF_E-8
