year,sex,n_all
1880,F,97605
1880,M,118400
1881,F,98855
1881,M,108282
1882,F,115695
1882,M,122031
1883,F,120059
1883,M,112477
1884,F,137586
1884,M,122738
1885,F,141948
1885,M,115945
1886,F,153735
1886,M,119041
1887,F,155422
1887,M,109313
1888,F,189445
1888,M,129906
1889,F,189219
1889,M,119032
1890,F,201661
1890,M,119701
1891,F,196566
1891,M,109265
1892,F,224913
1892,M,131453
1893,F,225232
1893,M,121041
1894,F,235971
1894,M,124893
1895,F,247106
1895,M,126643
1896,F,251993
1896,M,129071
1897,F,248275
1897,M,121942
1898,F,274144
1898,M,132104
1899,F,247490
1899,M,115193
1900,F,317752
1900,M,162133
1901,F,254229
1901,M,115595
1902,F,280334
1902,M,132750
1903,F,278196
1903,M,129326
1904,F,292436
1904,M,138508
1905,F,309865
1905,M,143238
1906,F,313440
1906,M,144071
1907,F,337434
1907,M,158587
1908,F,354531
1908,M,166368
1909,F,368096
1909,M,176867
1910,F,419526
1910,M,208521
1911,F,441818
1911,M,241395
1912,F,586712
1912,M,451457
1913,F,654913
1913,M,536247
1914,F,796619
1914,M,683325
1915,F,1023876
1915,M,880940
1916,F,1085721
1916,M,923257
1917,F,1123698
1917,M,959325
1918,F,1202365
1918,M,1048674
1919,F,1174648
1919,M,1015337
1920,F,1244039
1920,M,1100817
1921,F,1279711
1921,M,1137940
1922,F,1247556
1922,M,1125261
1923,F,1252460
1923,M,1132325
1924,F,1295706
1924,M,1169066
1925,F,1263075
1925,M,1151445
1926,F,1230152
1926,M,1145506
1927,F,1236397
1927,M,1161855
1928,F,1195463
1928,M,1141171
1929,F,1157521
1929,M,1107538
1930,F,1166423
1930,M,1129422
1931,F,1103625
1931,M,1069568
1932,F,1106222
1932,M,1074289
1933,F,1045936
1933,M,1020008
1934,F,1082225
1934,M,1061738
1935,F,1086706
1935,M,1069387
1936,F,1077491
1936,M,1064170
1937,F,1101762
1937,M,1093483
1938,F,1141359
1938,M,1136302
1939,F,1134043
1939,M,1133162
1940,F,1181249
1940,M,1186022
1941,F,1245857
1941,M,1254654
1942,F,1390394
1942,M,1408070
1943,F,1435274
1943,M,1454311
1944,F,1366455
1944,M,1388968
1945,F,1346064
1945,M,1371285
1946,F,1612845
1946,M,1650220
1947,F,1817823
1947,M,1857382
1948,F,1742576
1948,M,1782564
1949,F,1755492
1949,M,1801835
1950,F,1758618
1950,M,1819067
1951,F,1847277
1951,M,1911828
1952,F,1902276
1952,M,1974199
1953,F,1929099
1953,M,2001256
1954,F,1990839
1954,M,2068413
1955,F,2004694
1955,M,2089594
1956,F,2059267
1956,M,2144575
1957,F,2097547
1957,M,2187459
1958,F,2065020
1958,M,2153039
1959,F,2078511
1959,M,2166256
1960,F,2079841
1960,M,2165696
1961,F,2076400
1961,M,2155956
1962,F,2026983
1962,M,2102051
1963,F,1987940
1963,M,2065187
1964,F,1957248
1964,M,2027330
1965,F,1827379
1965,M,1895210
1966,F,1755580
1966,M,1817912
1967,F,1716699
1967,M,1779774
1968,F,1709549
1968,M,1776069
1969,F,1762722
1969,M,1829979
1970,F,1831889
1970,M,1905622
1971,F,1752365
1971,M,1818381
1972,F,1612464
1972,M,1674675
1973,F,1554035
1973,M,1614211
1974,F,1566138
1974,M,1630740
1975,F,1560738
1975,M,1623029
1976,F,1571864
1976,M,1633225
1977,F,1644926
1977,M,1709859
1978,F,1643789
1978,M,1709099
1979,F,1723133
1979,M,1791825
1980,F,1780361
1980,M,1855024
1981,F,1788234
1981,M,1862416
1982,F,1813985
1982,M,1887126
1983,F,1789354
1983,M,1863331
1984,F,1802890
1984,M,1876225
1985,F,1845903
1985,M,1923822
1986,F,1845046
1986,M,1920958
1987,F,1873831
1987,M,1949471
1988,F,1922580
1988,M,2001329
1989,F,1991890
1989,M,2095455
1990,F,2053962
1990,M,2151160
1991,F,2033116
1991,M,2119192
1992,F,2004297
1992,M,2098620
1993,F,1971175
1993,M,2064960
1994,F,1949024
1994,M,2037946
1995,F,1921218
1995,M,2010995
1996,F,1916882
1996,M,2003372
1997,F,1908808
1997,M,1997337
1998,F,1938008
1998,M,2027136
1999,F,1946204
1999,M,2038346
2000,F,1994881
2000,M,2087391
2001,F,1980040
2001,M,2067422
2002,F,1973957
2002,M,2065531
2003,F,2005406
2003,M,2100052
2004,F,2016585
2004,M,2112190
2005,F,2028174
2005,M,2126034
2006,F,2089049
2006,M,2190837
2007,F,2114797
2007,M,2213423
2008,F,2080929
2008,M,2178453
2009,F,2022977
2009,M,2118953
2010,F,1958284
2010,M,2052122
2011,F,1935047
2011,M,2028589
2012,F,1936239
2012,M,2025890
2013,F,1923856
2013,M,2016731
2014,F,1951652
2014,M,2044378
2015,F,1945317
2015,M,2038331
2016,F,1928438
2016,M,2017790
2017,F,1874899
2017,M,1963290
