Year,Sex,Name,Count
1997,Female,Aaliyah,10
1998,Female,Aaliyah,22
1999,Female,Aaliyah,24
2000,Female,Aaliyah,26
2001,Female,Aaliyah,54
2002,Female,Aaliyah,81
2003,Female,Aaliyah,60
2004,Female,Aaliyah,37
2005,Female,Aaliyah,66
2006,Female,Aaliyah,70
2007,Female,Aaliyah,61
2008,Female,Aaliyah,73
2009,Female,Aaliyah,63
2010,Female,Aaliyah,73
2011,Female,Aaliyah,62
2012,Female,Aaliyah,71
2013,Female,Aaliyah,67
2014,Female,Aaliyah,75
2015,Female,Aaliyah,56
2016,Female,Aaliyah,71
2017,Female,Aaliyah,56
2015,Female,Aarohi,10
1977,Female,Abbey,10
1980,Female,Abbey,15
1981,Female,Abbey,13
1982,Female,Abbey,15
1983,Female,Abbey,20
1984,Female,Abbey,12
1985,Female,Abbey,13
1986,Female,Abbey,10
1987,Female,Abbey,21
1988,Female,Abbey,21
1989,Female,Abbey,16
1990,Female,Abbey,30
1991,Female,Abbey,24
1992,Female,Abbey,31
1993,Female,Abbey,18
1994,Female,Abbey,31
1995,Female,Abbey,39
1996,Female,Abbey,22
1997,Female,Abbey,38
1998,Female,Abbey,38
1999,Female,Abbey,42
2000,Female,Abbey,32
2001,Female,Abbey,40
2002,Female,Abbey,29
2003,Female,Abbey,41
2004,Female,Abbey,27
2005,Female,Abbey,28
2006,Female,Abbey,22
2007,Female,Abbey,22
2009,Female,Abbey,14
2010,Female,Abbey,17
2011,Female,Abbey,15
2012,Female,Abbey,13
1977,Female,Abbie,14
1978,Female,Abbie,11
1979,Female,Abbie,16
1980,Female,Abbie,10
1981,Female,Abbie,13
1982,Female,Abbie,14
1984,Female,Abbie,11
1985,Female,Abbie,13
1986,Female,Abbie,10
1988,Female,Abbie,17
1989,Female,Abbie,11
1990,Female,Abbie,11
1992,Female,Abbie,10
1996,Female,Abbie,11
2001,Female,Abbie,12
2002,Female,Abbie,18
2003,Female,Abbie,24
2004,Female,Abbie,13
2005,Female,Abbie,20
2006,Female,Abbie,19
2007,Female,Abbie,20
2008,Female,Abbie,28
2009,Female,Abbie,11
2011,Female,Abbie,15
2012,Female,Abbie,12
2013,Female,Abbie,15
2016,Female,Abbie,10
1976,Female,Abby,10
1977,Female,Abby,31
1978,Female,Abby,16
1979,Female,Abby,25
1980,Female,Abby,36
1981,Female,Abby,40
1982,Female,Abby,34
1983,Female,Abby,36
1984,Female,Abby,31
1985,Female,Abby,22
1986,Female,Abby,35
1987,Female,Abby,41
1988,Female,Abby,39
1989,Female,Abby,23
1990,Female,Abby,42
1991,Female,Abby,38
1992,Female,Abby,48
1993,Female,Abby,29
1994,Female,Abby,31
1995,Female,Abby,36
1996,Female,Abby,33
1997,Female,Abby,32
1998,Female,Abby,25
1999,Female,Abby,44
2000,Female,Abby,39
2001,Female,Abby,65
2002,Female,Abby,51
2003,Female,Abby,61
2004,Female,Abby,55
2005,Female,Abby,59
2006,Female,Abby,55
2007,Female,Abby,54
2008,Female,Abby,54
2009,Female,Abby,49
2010,Female,Abby,38
2011,Female,Abby,35
2012,Female,Abby,23
2013,Female,Abby,19
2014,Female,Abby,12
2015,Female,Abby,18
2016,Female,Abby,14
2017,Female,Abby,14
1972,Female,Abigail,10
1976,Female,Abigail,10
1977,Female,Abigail,19
1978,Female,Abigail,19
1979,Female,Abigail,21
1980,Female,Abigail,21
1981,Female,Abigail,21
1982,Female,Abigail,19
1983,Female,Abigail,24
1984,Female,Abigail,23
1985,Female,Abigail,32
1986,Female,Abigail,43
1987,Female,Abigail,33
1988,Female,Abigail,35
1989,Female,Abigail,33
1990,Female,Abigail,46
1991,Female,Abigail,51
1992,Female,Abigail,52
1993,Female,Abigail,48
1994,Female,Abigail,51
1995,Female,Abigail,58
1996,Female,Abigail,61
1997,Female,Abigail,68
1998,Female,Abigail,81
1999,Female,Abigail,80
2000,Female,Abigail,63
2001,Female,Abigail,65
2002,Female,Abigail,88
2003,Female,Abigail,87
2004,Female,Abigail,81
2005,Female,Abigail,75
