id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
450,http://static-media.fxx.com/img/FX_Networks_-_FXX/180/63/Thursdays_with_Abie.jpg,6.8,481,9,450,2010-01-03,2010,MABF02,21,Thursdays with Abie,8.65,http://www.simpsonsworld.com/video/250369603964,36227
452,http://static-media.fxx.com/img/FX_Networks_-_FXX/603/859/Simpsons_21_11.jpg,7.1,532,11,452,2010-01-31,2010,MABF03,21,Million Dollar Maybe,5.11,http://www.simpsonsworld.com/video/279804995696,40854
455,http://static-media.fxx.com/img/FX_Networks_-_FXX/200/83/Postcards_from_the_Wedge.jpg,7.1,480,14,455,2010-03-14,2010,MABF04,21,Postcards from the Wedge,5.23,http://www.simpsonsworld.com/video/250390595937,41357
457,http://static-media.fxx.com/img/FX_Networks_-_FXX/607/763/The_Greatest_Story_Ever_D_Ohed.jpg,5.7,675,16,457,2010-03-28,2010,MABF10,21,The Greatest Story Ever D'ohed,5.69,http://www.simpsonsworld.com/video/279809091713,44070
462,http://static-media.fxx.com/img/FX_Networks_-_FXX/392/474/Simpsons_21_21.jpg,6.9,491,21,462,2010-05-09,2010,MABF13,21,Moe Letter Blues,5.66,http://www.simpsonsworld.com/video/250592323527,40904
464,http://static-media.fxx.com/img/FX_Networks_-_FXX/571/375/Simpsons_21_23.jpg,6.6,507,23,464,2010-05-23,2010,MABF15,21,Judge Me Tender,5.74,http://www.simpsonsworld.com/video/255074883631,41830
466,http://static-media.fxx.com/img/FX_Networks_-_FXX/438/959/Simpsons_22_02.jpg,6.8,506,2,466,2010-10-03,2010,MABF17,22,Loan-a Lisa,8.59,http://www.simpsonsworld.com/video/263525955686,35051
469,http://static-media.fxx.com/img/FX_Networks_-_FXX/452/622/Simpsons_22_05.jpg,7.2,482,5,469,2010-11-14,2010,MABF20,22,"Lisa Simpson, This Isn't Your Life",8.97,http://www.simpsonsworld.com/video/263540291528,40637
472,http://static-media.fxx.com/img/FX_Networks_-_FXX/462/883/TheFightBeforeChristmas.jpg,6.9,564,8,472,2010-12-05,2010,MABF22,22,The Fight Before Christmas,9.54,http://www.simpsonsworld.com/video/263551043814,43781
473,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/903/DonnieFatso.jpg,7,528,9,473,2010-12-12,2010,MABF19,22,Donnie Fatso,7.18,http://www.simpsonsworld.com/video/263572035826,40276
476,http://static-media.fxx.com/img/FX_Networks_-_FXX/217/719/Simpsons_22_12.jpg,7,486,12,476,2011-01-23,2011,NABF05,22,Homer the Father,6.5,http://www.simpsonsworld.com/video/256851523744,42691
478,http://static-media.fxx.com/img/FX_Networks_-_FXX/322/851/Simpsons_22_14.jpg,7.2,559,14,478,2011-02-20,2011,NABF07,22,Angry Dad: The Movie,6.35,http://www.simpsonsworld.com/video/254814275630,42693
