index,series.name,network,season,title,imdb,engagement,date.aired,run.time,format,monster.name,monster.gender,monster.type,monster.subtype,monster.species,monster.real,monster.amount,caught.fred,caught.daphnie,caught.velma,caught.shaggy,caught.scooby,captured.fred,captured.daphnie,captured.velma,captured.shaggy,captured.scooby,unmask.fred,unmask.daphnie,unmask.velma,unmask.shaggy,unmask.scooby,snack.fred,snack.daphnie,snack.velma,snack.shaggy,snack.scooby,unmask.other,caught.other,caught.not,trap.work.first,setting.terrain,setting.country/state,suspects.amount,non-suspect,arrested,culprit.name,culprit.gender,culprit.amount,motive,if.it.wasnt.for,and.that,door.gag,number.of.snacks,split.up,another.mystery,set.a.trap,jeepers,jinkies,my.glasses,just.about.wrapped.up,zoinks,groovy,scooby.doo.where.are.you,rooby.rooby.roo,batman,scooby-dum,scrappy-doo,hex.girls,blue.falcon,fred.va,daphnie.va,velma.va,shaggy.va,scooby.va
1,"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,8.1,556,1969-09-13,21,TV Series,Black Knight,Male,Possessed Object,Suit,Object,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,2,FALSE,TRUE,Mr. Wickles,Male,1,Theft,NULL,NULL,FALSE,2,1,1,0,0,0,1,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
2,"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,8.1,479,1969-09-20,22,TV Series,Ghost of Cptn. Cuttler,Male,Ghost,Suit,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Coast,United States,2,TRUE,TRUE,Cptn. Cuttler,Male,1,Theft,NULL,NULL,FALSE,1,0,0,0,0,0,0,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
3,"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,8,455,1969-09-27,21,TV Series,Phantom,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,0,TRUE,TRUE,Bluestone the Great,Male,1,Treasure,NULL,NULL,FALSE,3,0,0,0,0,0,0,0,1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
4,"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,7.8,426,1969-10-04,21,TV Series,Miner 49'er,Male,Ancient,Miner,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cave,California,2,FALSE,TRUE,Hank,Male,1,Natural Resource,NULL,NULL,FALSE,2,1,0,0,0,0,0,0,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
5,"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,7.5,391,1969-10-11,21,TV Series,Indian Witch Doctor,Female,Ancient,Witch Doctor,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Desert,United States,1,FALSE,TRUE,Buck Master,Male,1,Competition,NULL,NULL,FALSE,2,0,1,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
6,"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,8.4,384,1969-10-18,21,TV Series,Ghost of Elias Kingston,Male,Ghost,Phantom,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,2,FALSE,TRUE,Uncle Stuart,Male,1,Extortion,NULL,NULL,FALSE,4,0,0,0,1,0,0,0,2,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
7,"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,7.6,358,1969-10-25,21,TV Series,Ape Man,Male,Animal,Half-Human,Ape,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert,United States,1,FALSE,TRUE,Carl,Male,1,Competition,NULL,NULL,FALSE,4,1,0,1,0,0,0,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
8,"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,8.2,358,1969-11-01,21,TV Series,Charlie the Robot,Male,Mechanical,Humanoid,Robot,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,FALSE,Sarah Jenkins,Female,1,Safety,NULL,NULL,TRUE,0,0,0,1,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
9,"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,8.1,371,1969-11-08,21,TV Series,Puppet Master,Male,Ghost,Pupeteer,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,1,FALSE,TRUE,Mr. Pietro,Male,1,Counterfeit,NULL,NULL,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
10,"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,8,346,1969-11-15,21,TV Series,Ghost Clown,Male,Ghost,Clown,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,TRUE,TRUE,Harry the Hypnotist,Male,1,Competition,NULL,NULL,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
