timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
4/27/2021 11:02:10,25-34,Education (Higher Education),Research and Instruction Librarian,NA,55000,0,USD,NA,NA,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:02:22,25-34,Computing or Tech,Change & Internal Communications Manager,NA,54600,4000,GBP,NA,NA,United Kingdom,NA,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
4/27/2021 11:02:38,25-34,"Accounting, Banking & Finance",Marketing Specialist,NA,34000,NA,USD,NA,NA,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:02:41,25-34,Nonprofits,Program Manager,NA,62000,3000,USD,NA,NA,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:02:42,25-34,"Accounting, Banking & Finance",Accounting Manager,NA,60000,7000,USD,NA,NA,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:02:46,25-34,Education (Higher Education),Scholarly Publishing Librarian,NA,62000,NA,USD,NA,NA,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
4/27/2021 11:02:51,25-34,Publishing,Publishing Assistant,NA,33000,2000,USD,NA,NA,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03:00,25-34,Education (Primary/Secondary),Librarian,"High school, FT",50000,NA,USD,NA,NA,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
4/27/2021 11:03:01,45-54,Computing or Tech,Systems Analyst,Data developer/ETL Developer,112000,10000,USD,NA,NA,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:03:02,35-44,"Accounting, Banking & Finance",Senior Accountant,NA,45000,0,USD,NA,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:03:03,25-34,Nonprofits,Office Manager,NA,47500,0,USD,NA,NA,United States,NA,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:03:07,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,NA,62000,0,USD,NA,NA,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:03:09,35-44,"Accounting, Banking & Finance",Manager of Information Services,NA,100000,0,USD,NA,NA,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
4/27/2021 11:03:10,25-34,Law,Legal Aid Staff Attorney,non-profit law firm,52000,0,USD,NA,NA,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,NA,Woman,White
4/27/2021 11:03:11,18-24,Health care,Patient care coordinator,NA,32000,NA,CAD,NA,NA,Canada,NA,Remote,1 year or less,1 year or less,College degree,Woman,White
4/27/2021 11:03:11,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,NA,24000,500,GBP,NA,NA,United Kingdom,NA,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
4/27/2021 11:03:13,35-44,Business or Consulting,Executive Assistant,NA,85000,5000,USD,NA,NA,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
4/27/2021 11:03:19,45-54,Art & Design,graphic designer,NA,59000,NA,USD,NA,NA,usa,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:03:21,35-44,Business or Consulting,Senior Manager,NA,98000,1000,USD,NA,NA,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:03:23,35-44,Education (Higher Education),Assistant Director of Academic Advising,NA,54000,NA,USD,NA,NA,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:03:24,25-34,Health care,Data Programmer Analyst,NA,74000,0,USD,NA,NA,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:03:24,35-44,Nonprofits,Program Coordinator & Assistant Editor,NA,50000,NA,USD,NA,NA,United States,NA,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
4/27/2021 11:03:27,35-44,Nonprofits,Event Planner,NA,63000,NA,CAD,NA,NA,Canada,NA,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:03:29,35-44,Government and Public Administration,Researcher,NA,96000,1000,USD,NA,NA,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
4/27/2021 11:03:31,25-34,Public Library,Teen Librarian,NA,44500,0,USD,NA,NA,US,Florida,Bradenton,5-7 years,2 - 4 years,NA,Woman,White
4/27/2021 11:03:34,35-44,Education (Higher Education),Communications Specialist,NA,60000,0,USD,NA,NA,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:03:38,25-34,Nonprofits,Program Director,I manage staff members who each manage 8-15 other people.,62000,NA,USD,NA,NA,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
4/27/2021 11:03:40,35-44,Law,Bookkeeper/Billing Manager,NA,48000,4000,USD,NA,NA,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
4/27/2021 11:03:41,35-44,Government and Public Administration,Economist,NA,140000,NA,USD,NA,NA,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:03:43,25-34,Engineering or Manufacturing,Research Engineer,NA,80000,NA,USD,NA,NA,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:03:44,25-34,Nonprofits,Volunteer and Giving Coordinator,NA,39000,NA,USD,NA,NA,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03:44,35-44,Media & Digital,Editor,NA,125000,0,USD,NA,NA,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:03:45,25-34,"Accounting, Banking & Finance",Financial Advisor,NA,230000,NA,USD,NA,Commission based,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:03:46,35-44,"Accounting, Banking & Finance",Accounting Manager,NA,110000,15000,USD,NA,NA,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:03:54,25-34,Nonprofits,Administrative and HR Manager,NA,50000,NA,USD,NA,NA,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03:55,35-44,Education (Higher Education),Senior IRB Analyst,"State university, higher ed research adminstration",68000,0,USD,NA,NA,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:03:56,18-24,Media & Digital,Reporter,NA,41000,100,USD,NA,NA,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03:57,25-34,"Accounting, Banking & Finance",Senior Administrator,NA,76000,10000,USD,NA,NA,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
