Timestamp,How old are you?,Industry,Job title,Additional context on job title,Annual salary,Other monetary comp,Currency,Currency - other,Additional context on income,Country,State,City,Overall years of professional experience,Years of experience in field,Highest level of education completed,Gender,Race
4/27/2021 11:02:10,25-34,Education (Higher Education),Research and Instruction Librarian,,"55,000",0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:02:22,25-34,Computing or Tech,Change & Internal Communications Manager,,"54,600",4000,GBP,,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
4/27/2021 11:02:38,25-34,"Accounting, Banking & Finance",Marketing Specialist,,"34,000",,USD,,,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:02:41,25-34,Nonprofits,Program Manager,,"62,000",3000,USD,,,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:02:42,25-34,"Accounting, Banking & Finance",Accounting Manager,,"60,000",7000,USD,,,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:02:46,25-34,Education (Higher Education),Scholarly Publishing Librarian,,"62,000",,USD,,,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
4/27/2021 11:02:51,25-34,Publishing,Publishing Assistant,,"33,000",2000,USD,,,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03:00,25-34,Education (Primary/Secondary),Librarian,"High school, FT","50,000",,USD,,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
4/27/2021 11:03:01,45-54,Computing or Tech,Systems Analyst,Data developer/ETL Developer,"112,000",10000,USD,,,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:03:02,35-44,"Accounting, Banking & Finance",Senior Accountant,,"45,000",0,USD,,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:03:03,25-34,Nonprofits,Office Manager,,"47,500",0,USD,,,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
