town11cd,town11nm,population_2011,size_flag,rgn11nm,coastal,coastal_detailed,ttwa11cd,ttwa11nm,ttwa_classification,job_density_flag,income_flag,university_flag,level4qual_residents35_64_2011,ks4_2012_2013_counts,key_stage_2_attainment_school_year_2007_to_2008,key_stage_4_attainment_school_year_2012_to_2013,level_2_at_age_18,level_3_at_age_18,activity_at_age_19_full_time_higher_education,activity_at_age_19_sustained_further_education,activity_at_age_19_appprenticeships,activity_at_age_19_employment_with_earnings_above_0,activity_at_age_19_employment_with_earnings_above_10_000,activity_at_age_19_out_of_work,highest_level_qualification_achieved_by_age_22_less_than_level_1,highest_level_qualification_achieved_by_age_22_level_1_to_level_2,highest_level_qualification_achieved_by_age_22_level_3_to_level_5,highest_level_qualification_achieved_by_age_22_level_6_or_above,highest_level_qualification_achieved_b_age_22_average_score,education_score
E34000007,Carlton in Lindrick BUA,5456,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000291,Worksop and Retford,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,65,65,70.76923076923077,72.3076923076923,50.76923076923077,30.76923076923077,21.53846153846154,NA,52.307692307692314,36.92307692307693,NA,NA,34.9,39.7,NA,3.3230769230769233,-0.533750422
E34000016,Dorchester (West Dorset) BUA,19060,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000046,Dorchester and Weymouth,Majority town and city (small),Working,Mid deprivation towns,No university,Medium,239,69.05829596412556,71.1297071129707,85.71428571428571,60.08403361344538,41.84100418410041,13.389121338912133,10.0418410041841,51.04602510460251,24.686192468619247,4.184100418410042,NA,21.7,44.6,33.3,3.7322175732217575,1.952018749
E34000020,Ely BUA,19090,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,155,71.42857142857143,56.12903225806451,83.87096774193549,45.806451612903224,35.483870967741936,10.967741935483872,7.741935483870968,57.41935483870968,27.741935483870968,NA,NA,34.4,31.2,32.5,3.5483870967741935,-1.044127985
E34000026,Market Weighton BUA,6429,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000220,Hull,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,58,70.96774193548387,53.44827586206896,91.22807017543859,49.122807017543856,25.862068965517242,25.862068965517242,NA,58.620689655172406,31.03448275862069,NA,NA,NA,66.1,NA,3.4827586206896552,-1.249261949
E34000027,Downham Market BUA,10884,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000225,King's Lynn,Majority rural,Mixed,Higher deprivation towns,No university,Low,93,78.04878048780488,62.365591397849464,78.49462365591397,40.86021505376344,26.881720430107524,20.43010752688172,15.053763440860216,55.91397849462365,30.107526881720432,15.053763440860216,NA,32.6,44.2,NA,3.161290322580645,-1.169078452
E34000039,Penrith BUA,15181,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000106,Penrith,Majority rural,Working,Lower deprivation towns,No university,Low,158,73.8562091503268,74.0506329113924,91.13924050632912,46.20253164556962,31.645569620253166,16.455696202531644,12.658227848101266,62.0253164556962,37.34177215189873,7.59493670886076,NA,29.4,40,28.1,3.4746835443037973,0.84513109
E34000048,Bolsover BUA,11754,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000190,Chesterfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,118,70.9090909090909,50,76.27118644067797,37.28813559322034,21.1864406779661,27.11864406779661,20.33898305084746,50.847457627118644,26.27118644067797,11.864406779661017,NA,34.5,47.9,NA,3.1016949152542375,-3.717919688
E34000055,March BUA,21051,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000287,Wisbech,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,235,71.06382978723404,57.446808510638306,84.25531914893617,40.42553191489361,25.53191489361702,17.4468085106383,10.212765957446807,47.65957446808511,26.80851063829787,6.808510638297872,NA,37.8,37.8,23.6,3.2851063829787233,-2.171307159
E34000056,Southam BUA,6567,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000228,Leamington Spa,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,92,81.92771084337349,91.30434782608695,90.21739130434783,67.3913043478261,38.04347826086957,21.73913043478261,16.304347826086957,52.17391304347826,25,NA,NA,19.6,47.8,32.6,3.847826086956522,6.437661398
E34000067,Royston BUA,15781,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,169,73.03370786516854,65.08875739644971,82.24852071005917,53.84615384615385,23.668639053254438,21.893491124260358,14.201183431952662,57.98816568047337,39.053254437869825,NA,NA,23.7,50.9,23.7,3.3846153846153846,0.29540337
