Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Retrievers (Labrador),5,5,5,4,2,2,Double,Short,5,5,3,5,5,5,3,4
French Bulldogs,5,5,4,3,1,3,Smooth,Short,5,5,3,5,4,3,1,3
German Shepherd Dogs,5,5,3,4,2,2,Double,Medium,3,4,5,5,5,5,3,5
Retrievers (Golden),5,5,5,4,2,2,Double,Medium,5,4,3,5,5,3,1,4
Bulldogs,4,3,3,3,3,3,Smooth,Short,4,4,3,3,4,3,2,3
Poodles,5,5,3,1,4,1,Curly,Long,5,5,5,4,5,4,4,5
Beagles,3,5,5,3,2,1,Smooth,Short,3,4,2,4,3,4,4,4
Rottweilers,5,3,3,3,1,3,Smooth,Short,3,4,5,4,5,3,1,5
Pointers (German Shorthaired),5,5,4,3,2,2,Smooth,Short,4,4,4,4,5,5,3,5
Dachshunds,5,3,4,2,2,2,Smooth,Short,4,4,4,4,4,3,5,3
Pembroke Welsh Corgis,5,3,4,4,2,1,Double,Short,4,4,5,4,4,4,4,4
Australian Shepherds,3,5,3,3,2,1,Double,Medium,3,4,3,3,5,5,3,5
Yorkshire Terriers,5,5,3,1,5,1,Silky,Long,5,4,5,5,4,4,4,4
Boxers,4,5,3,2,2,3,Smooth,Short,4,4,4,3,4,4,3,4
Great Danes,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4
Siberian Huskies,5,5,5,4,2,1,Double,Medium,5,5,1,4,3,5,5,4
Cavalier King Charles Spaniels,5,5,5,2,2,2,Wavy,Medium,4,3,3,3,4,3,3,3
Doberman Pinschers,5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4
Miniature Schnauzers,5,5,3,3,4,2,Wiry,Medium,3,4,4,5,5,3,5,4
Shih Tzu,5,5,5,1,4,1,Double,Long,3,3,3,5,4,3,3,3
Boston Terriers,5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3
Bernese Mountain Dogs,5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3
Pomeranians,5,3,3,2,3,1,Double,Long,3,3,4,4,3,3,4,3
Havanese,5,5,5,2,3,1,Double,Long,5,5,3,5,4,3,4,3
Cane Corso,4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3
Spaniels (English Springer),5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4
Shetland Sheepdogs,5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4
Brittanys,3,4,4,3,3,1,Double,Short,3,4,3,3,5,5,3,4
Pugs,5,5,4,4,2,1,Smooth,Short,5,5,3,5,4,3,1,3
Spaniels (Cocker),4,5,5,3,4,2,Double,Long,4,3,3,4,4,4,3,3
Miniature American Shepherds,5,5,5,3,3,2,Double,Medium,3,4,3,4,5,5,3,5
Border Collies,5,3,3,3,3,1,Double,Medium,4,5,3,5,5,5,4,5
Mastiffs,5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3
Chihuahuas,4,1,3,2,1,1,Smooth,Short,2,4,4,4,3,4,5,3
Vizslas,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5
Basset Hounds,3,5,5,2,3,4,Smooth,Short,3,3,3,3,3,2,4,3
Belgian Malinois,3,3,3,3,2,1,Smooth,Short,3,3,4,3,5,4,3,4
Maltese,5,3,3,1,4,1,Silky,Long,3,3,4,4,3,3,3,3
Weimaraners,5,5,3,3,2,2,Smooth,Short,3,5,5,4,5,5,3,5
Collies,4,5,3,3,3,2,Smooth,Short,3,4,3,4,4,3,5,3
Newfoundlands,5,5,5,3,2,5,Double,Medium,5,3,5,4,3,3,1,3
Rhodesian Ridgebacks,5,5,3,3,2,2,Smooth,Short,3,3,5,4,4,3,2,4
Shiba Inu,5,3,3,3,2,1,Double,Short,3,3,5,3,2,3,3,4
West Highland White Terriers,5,5,3,3,3,1,Double,Medium,4,5,5,4,3,4,5,4
Bichons Frises,5,5,5,1,5,1,Double,Long,5,4,2,4,4,4,3,3
Bloodhounds,4,3,3,3,2,5,Smooth,Short,3,3,2,3,4,3,5,3
Spaniels (English Cocker),5,5,5,3,3,2,Double,Medium,4,3,3,4,4,3,3,4
Akitas,3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3
Portuguese Water Dogs,5,5,4,2,4,2,Curly,Long,4,5,4,5,5,5,3,5
Retrievers (Chesapeake Bay),4,3,3,3,3,2,Wiry,Medium,3,3,4,4,5,4,3,4
Dalmatians,5,3,3,4,2,2,Smooth,Short,4,4,4,4,4,4,3,4
St. Bernards,5,5,3,3,2,5,Smooth,Short,3,3,5,4,3,3,1,3
Papillons,5,5,3,3,2,1,Silky,Medium,5,5,4,5,5,4,5,5
Australian Cattle Dogs,3,3,3,3,1,1,Smooth,Short,3,3,4,3,4,5,1,4
