State,Year,Total Employed RN,Employed Standard Error (%),Hourly Wage Avg,Hourly Wage Median,Annual Salary Avg,Annual Salary Median,Wage/Salary standard error (%),Hourly 10th Percentile,Hourly 25th Percentile,Hourly 75th Percentile,Hourly 90th Percentile,Annual 10th Percentile,Annual 25th Percentile,Annual 75th Percentile,Annual 90th Percentile,Location Quotient,Total Employed (National)_Aggregate,"Total Employed (Healthcare, National)_Aggregate","Total Employed (Healthcare, State)_Aggregate",Yearly Total Employed (State)_Aggregate
Alabama,2020,48850,2.9,28.96,28.19,60230,58630,0.8,20.75,23.73,33.15,38.67,43150,49360,68960,80420,1.2,140019790,8632190,128600,1903210
Alaska,2020,6240,13,45.81,45.23,95270,94070,1.4,31.5,36.94,53.31,60.7,65530,76830,110890,126260,0.98,140019790,8632190,17730,296300
Arizona,2020,55520,3.7,38.64,37.98,80380,79010,0.9,27.66,32.58,44.67,50.14,57530,67760,92920,104290,0.91,140019790,8632190,171010,2835110
Arkansas,2020,25300,4.2,30.6,29.97,63640,62330,1.4,21.47,25.71,35.4,39.65,44660,53490,73630,82480,1,140019790,8632190,80410,1177860
California,2020,307060,2,57.96,56.93,120560,118410,1,36.62,45.18,71.07,83.35,76180,93970,147830,173370,0.87,140019790,8632190,844740,16430660
Colorado,2020,52330,2.8,37.43,36.78,77860,76500,0.7,26.84,31.05,43.47,50.03,55820,64580,90410,104070,0.95,140019790,8632190,144490,2578000
Connecticut,2020,33400,6.5,40.79,39.8,84850,82770,1,29.12,34.12,47.62,54.48,60560,70960,99040,113320,1.01,140019790,8632190,100470,1540870
Delaware,2020,11410,11.4,35.74,34.67,74330,72110,2.5,26.09,29.3,40.42,48.15,54260,60940,84070,100150,1.25,140019790,8632190,30010,426380
District of Columbia,2020,10320,1.2,43.29,43,90050,89440,1.5,29.53,35.05,50.57,59.39,61410,72900,105180,123540,0.7,140019790,8632190,28210,687160
Florida,2020,183130,2.2,33.42,32.46,69510,67510,0.7,24.14,27.68,38.28,44.95,50220,57570,79630,93500,1.01,140019790,8632190,553130,8441750
Georgia,2020,73230,3.2,34.38,33.48,71510,69630,1,24.65,28.11,39.67,47.5,51270,58480,82500,98810,0.79,140019790,8632190,242840,4308600
Hawaii,2020,11260,3.7,50.4,53.08,104830,110410,1.9,33.7,43.31,60.04,64.74,70090,90080,124880,134660,0.91,140019790,8632190,31410,574010
Idaho,2020,12800,3.6,34.44,34.27,71640,71280,0.9,25.82,29.12,39.16,45.9,53700,60560,81450,95480,0.83,140019790,8632190,40750,718820
Illinois,2020,127450,2.6,35.85,34.91,74560,72610,0.9,25.23,28.93,41.48,49.62,52470,60170,86280,103210,1.05,140019790,8632190,344350,5627660
Indiana,2020,66460,2.4,32.45,31.25,67490,65000,0.7,24.57,27.31,37.25,42.46,51110,56800,77470,88310,1.06,140019790,8632190,191070,2918340
Iowa,2020,32610,2.6,30.08,29.39,62570,61130,1,22.56,26.22,33.63,38.75,46930,54530,69960,80610,1.03,140019790,8632190,83360,1469920
Kansas,2020,29430,3.1,30.87,30.07,64200,62550,1,22.31,26.12,35.68,40.12,46400,54330,74220,83450,1.03,140019790,8632190,84560,1331950
Kentucky,2020,42940,3.6,31.12,30.32,64730,63060,0.9,22.09,26.18,36,40.42,45960,54460,74890,84070,1.12,140019790,8632190,122470,1782580
Louisiana,2020,41690,1.7,32.7,31.85,68010,66240,0.7,24.28,27.48,37.51,42.03,50510,57150,78020,87420,1.08,140019790,8632190,129800,1801290
Maine,2020,14160,3.6,34.16,33.42,71040,69510,1.3,26.18,28.85,38.93,45.15,54450,60020,80970,93920,1.15,140019790,8632190,41040,575220
Maryland,2020,51480,7.5,39.23,38.37,81590,79810,1,27.75,32.83,45.56,50.98,57720,68290,94760,106040,0.95,140019790,8632190,161220,2523030
Massachusetts,2020,84030,1.5,46.27,43.41,96250,90290,1.6,29.64,35.24,56.4,70.42,61660,73310,117310,146480,1.17,140019790,8632190,231400,3349800
Michigan,2020,97820,3.4,35.57,35.11,73980,73040,1,26.58,29.96,40.39,47.15,55280,62320,84010,98080,1.16,140019790,8632190,265760,3924010
Minnesota,2020,70820,6.1,38.92,38.24,80960,79540,1.4,27.76,32.54,45.82,51.44,57730,67680,95310,107000,1.22,140019790,8632190,188210,2708760
Mississippi,2020,28800,3.2,29.45,28.77,61250,59850,1.4,20.55,24.2,34.23,39.55,42740,50340,71190,82260,1.25,140019790,8632190,78600,1076820
Missouri,2020,71560,3.2,31.68,30.88,65900,64220,1.1,21.18,25.43,37.64,44.17,44060,52890,78290,91880,1.24,140019790,8632190,190890,2691630
Montana,2020,9980,8.3,33.91,33.05,70530,68740,1.2,25.93,28.56,38.71,44.97,53930,59410,80510,93550,1.02,140019790,8632190,29770,455450
Nebraska,2020,24060,5.7,33.41,32.7,69480,68010,0.7,25.81,28.36,38.14,43.38,53690,58980,79330,90220,1.19,140019790,8632190,63090,942550
Nevada,2020,23420,3.8,43.15,42.29,89750,87960,1.9,31.79,35.9,50.27,58.22,66130,74670,104560,121100,0.87,140019790,8632190,67590,1250860
New Hampshire,2020,13840,6.6,36.52,35.98,75970,74840,1.1,26.52,30.15,42.39,48.75,55160,62710,88170,101400,1.04,140019790,8632190,39420,619440
New Jersey,2020,78590,2.8,41.21,40.86,85720,84990,0.7,31.28,35.32,47.63,53.13,65070,73450,99080,110510,0.97,140019790,8632190,226260,3782730
New Mexico,2020,17100,2.2,36.4,36.23,75700,75350,1.4,26.83,31.32,40.9,47.22,55810,65140,85070,98230,1.01,140019790,8632190,47340,785720
New York,2020,178550,1.5,43.16,43.19,89760,89840,1.1,27.88,33.97,51.12,60.89,57990,70650,106330,126660,0.96,140019790,8632190,531520,8691440
