cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Aarewasser,https://www.cheese.com/aarewasser/,cow,Switzerland,NA,NA,semi-soft,NA,NA,buttery,washed,yellow,sweet,buttery,FALSE,FALSE,NA,NA,Jumi
Abbaye de Belloc,https://www.cheese.com/abbaye-de-belloc/,sheep,France,Pays Basque,NA,"semi-hard, artisan",NA,NA,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,TRUE,FALSE,Abbaye Notre-Dame de Belloc,NA,NA
Abbaye de Belval,https://www.cheese.com/abbaye-de-belval/,cow,France,NA,NA,semi-hard,40-46%,NA,elastic,washed,ivory,NA,aromatic,FALSE,FALSE,NA,NA,NA
Abbaye de Citeaux,https://www.cheese.com/abbaye-de-citeaux/,cow,France,Burgundy,NA,"semi-soft, artisan, brined",NA,NA,"creamy, dense, smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy",FALSE,FALSE,NA,NA,NA
Abbaye de Tamié,https://www.cheese.com/tamie/,cow,France,Savoie,NA,"soft, artisan",NA,NA,"creamy, open, smooth",washed,white,"fruity, nutty","perfumed, pungent",FALSE,FALSE,NA,"Tamié, Trappiste de Tamie, Abbey of Tamie",NA
Abbaye de Timadeuc,https://www.cheese.com/abbaye-de-timadeuc/,cow,France,province of Brittany,NA,semi-hard,NA,NA,soft,washed,pale yellow,"salty, smooth",nutty,FALSE,FALSE,NA,NA,Abbaye Cistercienne NOTRE-DAME DE TIMADEUC
Abbaye du Mont des Cats,https://www.cheese.com/abbaye-du-mont-des-cats/,cow,France,Nord-Pas-de-Calais,NA,"semi-soft, artisan, brined",50%,NA,"smooth, supple",washed,pale yellow,"milky, salty",floral,FALSE,FALSE,NA,NA,Abbaye du Mont des Cats
Abbot’s Gold,https://www.cheese.com/abbots-gold/,cow,"England, Great Britain, United Kingdom",North Yorkshire,Cheddar,semi-hard,NA,NA,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,TRUE,FALSE,"Abbot's Gold Cheddar with Caramelised Onion, Caramelised Onion Cheddar, English Cheddar with Caramelized Onions",NA,Wensleydale Creamery
Abertam,https://www.cheese.com/abertam/,sheep,Czech Republic,Karlovy Vary,NA,"hard, artisan",45%,NA,firm,natural,pale yellow,"acidic, strong, tangy",NA,FALSE,FALSE,NA,NA,NA
Abondance,https://www.cheese.com/abondance/,cow,France,NA,NA,"semi-hard, artisan",NA,NA,creamy,natural,pale yellow,nutty,"buttery, fruity",FALSE,FALSE,Tomme d'Abondance,NA,NA
Acapella,https://www.cheese.com/acapella/,goat,United States,California,NA,"soft, soft-ripened",NA,NA,,NA,NA,buttery,"fresh, herbal",FALSE,FALSE,NA,NA,NA
Accasciato,https://www.cheese.com/accasciato/,"buffalo, cow",Italy,Campania,NA,semi-hard,NA,NA,firm,natural,pale yellow,sweet,"aromatic, fresh",FALSE,FALSE,NA,NA,Casa Madaio
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",NA,NA,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA
Acorn,https://www.cheese.com/acorn/,sheep,United Kingdom,Bethania,NA,"hard, artisan",52%,NA,"crumbly, firm",NA,NA,"burnt caramel, citrusy, herbaceous",fruity,TRUE,FALSE,NA,NA,NA
Adelost,https://www.cheese.com/adelost/,cow,Sweden,NA,Blue,"semi-soft, blue-veined",50%,NA,creamy,natural,blue,"salty, sharp, tangy",strong,NA,NA,NA,NA,NA
ADL Brick Cheese,https://www.cheese.com/adl-brick-cheese/,cow,Canada,Prince Edward Island,Cheddar,semi-soft,12%,NA,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",NA,NA,NA,NA,ADL - Amalgamated Dairies Limited
ADL Mild Cheddar,https://www.cheese.com/adl-mild-cheddar/,cow,Canada,Prince Edward Island,Cheddar,semi-hard,14%,NA,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",NA,NA,NA,NA,NA,ADL - Amalgamated Dairies Limited
Affidelice au Chablis,https://www.cheese.com/affidelice-au-chablis/,cow,France,Burgundy,NA,soft,55%,26 mg/100g,"creamy, smooth",washed,orange,"fruity, mild, tangy","perfumed, strong",FALSE,FALSE,NA,NA,Fromagerie Berthaut
Affineur Walo Rotwein Sennechäs,https://www.cheese.com/affineur-walo-rotwein-sennechas/,cow,Switzerland,NA,Swiss Cheese,"hard, artisan",NA,NA,smooth,washed,cream,"creamy, pronounced, spicy","rich, strong",FALSE,FALSE,Affineur Walo Red Wine Farmer,NA,Walo von Mühlenen AG
Afuega'l Pitu,https://www.cheese.com/afuegal-pitu/,cow,Spain,Asturias,NA,"soft, artisan",NA,NA,smooth,cloth wrapped,NA,"spicy, strong",NA,FALSE,FALSE,NA,NA,NA
Aged British Cheddar,https://www.cheese.com/aged-british-cheddar/,cow,United States,NY,Cheddar,"hard, artisan",NA,NA,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",NA,NA,NA,NA,Muranda Cheese Company
Aged Cashew & Blue Green Algae Cheese,https://www.cheese.com/aged-cashew-blue-green-algae-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,blue,"creamy, mellow, oceanic, tangy",rich,TRUE,FALSE,NA,NA,Dr. Cow Tree Nut Cheese
Aged Cashew & Brazil Nut Cheese,https://www.cheese.com/aged-cashew-brazil-nut-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, nutty, sweet","nutty, rich",TRUE,FALSE,NA,NA,Dr. Cow Tree Nut Cheese
Aged Cashew & Dulse Cheese,https://www.cheese.com/aged-cashew-dulse-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, oceanic",rich,TRUE,FALSE,NA,NA,Dr. Cow Tree Nut Cheese
Aged Cashew & Hemp Seed Cheese,https://www.cheese.com/aged-cashew-hemp-seed-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, mild, nutty, spicy","nutty, rich",TRUE,FALSE,NA,NA,Dr. Cow Tree Nut Cheese
Aged Cashew Nut & Kale Cheese,https://www.cheese.com/aged-cashew-nut-kale-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,green,"creamy, oceanic, tangy",rich,TRUE,FALSE,NA,NA,Dr. Cow Tree Nut Cheese
Aged Cashew Nut Cheese,https://www.cheese.com/aged-cashew-nut-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",TRUE,FALSE,"Cajun Aged Cashew Cheese, Smoked Aged Cashew Cheese, Truffle Aged Cashew Cheese, Reishi Mushroom Aged Cashew Cheese",Plain Aged Cashew Cheese,Dr. Cow Tree Nut Cheese
Aged Cheddar,https://www.cheese.com/aged-cheddar/,cow,United States,NA,NA,hard,NA,NA,"buttery, creamy, crumbly",rindless,golden yellow,"creamy, earthy, nutty","earthy, nutty",TRUE,FALSE,NA,NA,"Maple Grove Cheese, INC."
Aged Chelsea,https://www.cheese.com/aged-chelsea/,goat,United States,"Ann Arbor, Michigan",NA,soft,NA,NA,"creamy, spreadable",mold ripened,ivory,"acidic, buttery, sweet",goaty,FALSE,FALSE,NA,NA,Zingermans.com LLC
Aged Gouda,https://www.cheese.com/aged-gouda/,"cow, goat, sheep",Netherlands,NA,Gouda,hard,NA,NA,"crumbly, crystalline, dense",waxed,yellow,NA,rich,NA,NA,Oud Gouda,NA,NA
Aggiano,https://www.cheese.com/aggiano/,cow,United States,Utah,NA,"hard, artisan",NA,NA,"creamy, dry",NA,cream,"butterscotch, tangy",fruity,TRUE,FALSE,NA,NA,Beehive Cheese Company
