1,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2020 and April-June 2020"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",8500,8500,4100,48,4700,2600,31
1,"d","Arizona",26000,26000,1300,5,14500,4700,18
1,"d","Arkansas",17000,17000,1800,11,4900,800,5
1,"d","California",1200000,1200000,100000,8,175000,240000,20
1,"d","Colorado",16500,27000,2100,8,7000,2800,10
1,"d","Connecticut",3900,4300,30,1,1200,450,10
1,"d","Florida",310000,310000,40000,13,25000,18500,6
1,"d","Georgia",145000,147000,10000,7,18500,20000,14
1,"d","Hawaii",15500,15500,-,-,3000,2300,15
1,"d","Idaho",48000,81000,18000,22,22000,29000,36
1,"d","",,,,,,,
1,"d","Illinois",12000,12000,1500,13,4200,1700,14
1,"d","Indiana",11000,12000,920,8,4500,1800,15
1,"d","Iowa",21000,29000,3600,12,17000,4700,16
1,"d","Kansas",7500,8000,680,9,1900,1800,23
1,"d","Kentucky",11000,11000,1200,11,4200,3500,32
1,"d","Louisiana",53000,53000,1800,3,2300,4700,9
1,"d","Maine",1600,22000,700,3,520,110,1
1,"d","Maryland",7000,8000,670,8,4400,1700,21
1,"d","Massachusetts",4400,13500,630,5,870,540,4
1,"d","Michigan",64000,85000,1500,2,11000,10000,12
1,"d","",,,,,,,
1,"d","Minnesota",59000,126000,13000,10,9000,2600,2
1,"d","Mississippi",34000,37000,4500,12,1500,570,2
1,"d","Missouri",6500,6500,390,6,2800,1200,18
1,"d","Montana",48000,120000,2000,2,18000,16000,13
1,"d","Nebraska",16500,41000,1900,5,7000,1100,3
1,"d","New Jersey",7000,21000,710,3,1500,650,3
1,"d","New Mexico",3100,6000,1000,17,400,40,1
1,"d","New York",34000,58000,4000,7,6000,2800,5
1,"d","North Carolina",24000,25000,1600,6,6000,1300,5
1,"d","North Dakota",67000,415000,20000,5,53000,38000,9
1,"d","",,,,,,,
1,"d","Ohio",15500,16500,1700,10,9500,3700,22
1,"d","Oklahoma",16000,16000,1500,9,6000,3100,19
1,"d","Oregon",89000,96000,2500,3,11000,19000,20
1,"d","Pennsylvania",24000,28000,930,3,5500,1500,5
1,"d","South Carolina",18500,18500,1700,9,2700,2500,14
1,"d","South Dakota",9500,220000,4600,2,10000,14500,7
1,"d","Tennessee",13500,13500,1200,9,4200,3200,24
1,"d","Texas",360000,385000,35000,9,15000,136000,35
1,"d","Utah",21000,31000,2800,9,8500,13000,42
1,"d","Vermont",7000,7000,200,3,680,110,2
1,"d","",,,,,,,
1,"d","Virginia",7500,8000,1200,15,4800,1300,16
1,"d","Washington",50000,114000,3500,3,5000,3300,3
1,"d","West Virginia",7500,7500,570,8,1600,1500,20
1,"d","Wisconsin",27000,55000,1700,3,14000,4600,8
1,"d","Wyoming",17500,30000,2000,7,4400,2100,7
1,"d","",,,,,,,
1,"d","Other States 5/",6500,9840,260,3,1400,1500,15
1,"d","",,,,,,,
1,"d","United States",2972000,"(X)",300990,10,536170,626870,21
1,"c",""
1,"f","-  Represents zero."
1,"f","(X)  Not applicable."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
