5,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2020 and January-March 2020"
5,"h","","","","","","","",""
5,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","January 1","","","","","",""
5,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",5500,7000,410,6,1900,780,11
5,"d","Arizona",29000,31000,8500,27,3000,120,"(Z)"
5,"d","Arkansas",16500,16500,1600,10,1800,30,"(Z)"
5,"d","California",1350000,1710000,230000,13,240000,66000,4
5,"d","Colorado",4500,13000,670,5,4000,500,4
5,"d","Connecticut",3700,3800,330,9,360,-,-
5,"d","Florida",295000,305000,30000,10,41000,8000,3
5,"d","Georgia",115000,119000,14500,12,41000,22000,18
5,"d","Hawaii",16000,16000,1800,11,1300,2200,14
5,"d","Idaho",156000,168000,18500,11,4400,920,1
5,"d","",,,,,,,
5,"d","Illinois",11500,11500,2400,21,2900,160,1
5,"d","Indiana",11000,11000,1600,15,1500,420,4
5,"d","Iowa",9000,17000,1600,9,6000,420,2
5,"d","Kansas",4500,6500,760,12,2000,130,2
5,"d","Kentucky",7000,11000,1200,11,1400,120,1
5,"d","Louisiana",44000,48000,4800,10,9000,20000,42
5,"d","Maine",1300,1300,160,12,460,-,-
5,"d","Maryland",7000,7000,1900,27,1900,30,"(Z)"
5,"d","Massachusetts",3800,3800,470,12,1100,100,3
5,"d","Michigan",60000,60000,7000,12,10000,100,"(Z)"
5,"d","",,,,,,,
5,"d","Minnesota",21000,58000,920,2,1300,40,"(Z)"
5,"d","Mississippi",26000,28000,5000,18,16000,660,2
5,"d","Missouri",8500,8500,5500,65,3400,-,-
5,"d","Montana",18000,47000,150,"(Z)",500,-,-
5,"d","Nebraska",9000,17000,670,4,70,-,-
5,"d","New Jersey",6500,6500,430,7,800,40,1
5,"d","New Mexico",6000,6000,40,1,120,-,-
5,"d","New York",29000,36000,2500,7,230,370,1
5,"d","North Carolina",15000,24000,2500,10,2600,490,2
5,"d","North Dakota",53000,82000,7500,9,-,-,-
5,"d","",,,,,,,
5,"d","Ohio",15500,21000,6000,29,840,1100,5
5,"d","Oklahoma",19500,19500,700,4,5000,-,-
5,"d","Oregon",97000,108000,4800,4,9000,1700,2
5,"d","Pennsylvania",18500,26000,2100,8,370,320,1
5,"d","South Carolina",13000,17000,1400,8,2700,1100,6
5,"d","South Dakota",20000,20000,1200,6,20,-,-
5,"d","Tennessee",8000,14000,2700,19,2200,130,1
5,"d","Texas",235000,340000,35000,10,83000,24000,7
5,"d","Utah",12000,19000,1100,6,3000,-,-
5,"d","Vermont",6500,7000,520,7,500,70,1
5,"d","",,,,,,,
5,"d","Virginia",6000,7000,1100,16,1600,60,1
5,"d","Washington",49000,74000,1500,2,580,150,"(Z)"
5,"d","West Virginia",6000,8000,1100,14,600,680,9
5,"d","Wisconsin",16000,28000,1900,7,700,370,1
5,"d","Wyoming",4000,17000,140,1,450,60,"(Z)"
5,"d","",,,,,,,
5,"d","Other States 5/",7800,7800,440,6,560,20,"(Z)"
5,"d","",,,,,,,
5,"d","United States",2876100,"(X)",415110,14,511160,153390,5
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
5,"f","5/ Includes data for States not published in this table."
1,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2020 and April-June 2020"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",8500,8500,4100,48,4700,2600,31
1,"d","Arizona",26000,26000,1300,5,14500,4700,18
1,"d","Arkansas",17000,17000,1800,11,4900,800,5
1,"d","California",1200000,1200000,100000,8,175000,240000,20
1,"d","Colorado",16500,27000,2100,8,7000,2800,10
1,"d","Connecticut",3900,4300,30,1,1200,450,10
1,"d","Florida",310000,310000,40000,13,25000,18500,6
1,"d","Georgia",145000,147000,10000,7,18500,20000,14
1,"d","Hawaii",15500,15500,-,-,3000,2300,15
1,"d","Idaho",48000,81000,18000,22,22000,29000,36
1,"d","",,,,,,,
1,"d","Illinois",12000,12000,1500,13,4200,1700,14
1,"d","Indiana",11000,12000,920,8,4500,1800,15
1,"d","Iowa",21000,29000,3600,12,17000,4700,16
1,"d","Kansas",7500,8000,680,9,1900,1800,23
1,"d","Kentucky",11000,11000,1200,11,4200,3500,32
1,"d","Louisiana",53000,53000,1800,3,2300,4700,9
1,"d","Maine",1600,22000,700,3,520,110,1
1,"d","Maryland",7000,8000,670,8,4400,1700,21
1,"d","Massachusetts",4400,13500,630,5,870,540,4
1,"d","Michigan",64000,85000,1500,2,11000,10000,12
1,"d","",,,,,,,
1,"d","Minnesota",59000,126000,13000,10,9000,2600,2
1,"d","Mississippi",34000,37000,4500,12,1500,570,2
1,"d","Missouri",6500,6500,390,6,2800,1200,18
1,"d","Montana",48000,120000,2000,2,18000,16000,13
1,"d","Nebraska",16500,41000,1900,5,7000,1100,3
1,"d","New Jersey",7000,21000,710,3,1500,650,3
1,"d","New Mexico",3100,6000,1000,17,400,40,1
1,"d","New York",34000,58000,4000,7,6000,2800,5
1,"d","North Carolina",24000,25000,1600,6,6000,1300,5
1,"d","North Dakota",67000,415000,20000,5,53000,38000,9
1,"d","",,,,,,,
1,"d","Ohio",15500,16500,1700,10,9500,3700,22
1,"d","Oklahoma",16000,16000,1500,9,6000,3100,19
1,"d","Oregon",89000,96000,2500,3,11000,19000,20
1,"d","Pennsylvania",24000,28000,930,3,5500,1500,5
1,"d","South Carolina",18500,18500,1700,9,2700,2500,14
1,"d","South Dakota",9500,220000,4600,2,10000,14500,7
1,"d","Tennessee",13500,13500,1200,9,4200,3200,24
1,"d","Texas",360000,385000,35000,9,15000,136000,35
1,"d","Utah",21000,31000,2800,9,8500,13000,42
1,"d","Vermont",7000,7000,200,3,680,110,2
1,"d","",,,,,,,
1,"d","Virginia",7500,8000,1200,15,4800,1300,16
1,"d","Washington",50000,114000,3500,3,5000,3300,3
1,"d","West Virginia",7500,7500,570,8,1600,1500,20
1,"d","Wisconsin",27000,55000,1700,3,14000,4600,8
1,"d","Wyoming",17500,30000,2000,7,4400,2100,7
1,"d","",,,,,,,
1,"d","Other States 5/",6500,9840,260,3,1400,1500,15
1,"d","",,,,,,,
1,"d","United States",2972000,"(X)",300990,10,536170,626870,21
1,"c",""
1,"f","-  Represents zero."
1,"f","(X)  Not applicable."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
7,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2020 and July-September 2020"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",9000,19000,3700,19,1800,990,5
7,"d","Arizona",28000,30000,8000,27,2600,1800,6
7,"d","Arkansas",19000,22000,1700,8,1500,390,2
7,"d","California",640000,700000,69000,10,61000,108000,15
7,"d","Colorado",29000,29000,7000,24,3800,5500,19
7,"d","Connecticut",4700,4700,300,6,130,150,3
7,"d","Florida",220000,230000,29000,13,36000,31000,13
7,"d","Georgia",150000,163000,23000,14,22000,35000,21
7,"d","Hawaii",18500,18500,500,3,4000,3400,18
7,"d","Idaho",70000,85000,11000,13,18500,8500,10
7,"d","",,,,,,,
7,"d","Illinois",14000,14000,1400,10,770,690,5
7,"d","Indiana",15000,15000,1600,11,1200,2700,18
7,"d","Iowa",34000,38000,1800,5,1100,2900,8
7,"d","Kansas",7000,7000,910,13,600,730,10
7,"d","Kentucky",11500,12000,1400,12,800,510,4
7,"d","Louisiana",48000,48000,2600,5,1200,3100,6
7,"d","Maine",9500,10000,1500,15,700,820,8
7,"d","Maryland",7500,7500,690,9,1200,220,3
7,"d","Massachusetts",11000,11000,330,3,840,810,7
7,"d","Michigan",96000,106000,34000,32,37000,11000,10
7,"d","",,,,,,,
7,"d","Minnesota",114000,119000,10500,9,1800,3700,3
7,"d","Mississippi",26000,29000,1600,6,2500,130,"(Z)"
7,"d","Missouri",8000,8000,730,9,290,820,10
7,"d","Montana",138000,139000,8500,6,6500,28000,20
7,"d","Nebraska",47000,48000,4300,9,3000,3100,6
7,"d","New Jersey",17500,18500,2300,12,1500,1800,10
7,"d","New Mexico",5500,5500,1600,29,3300,760,14
7,"d","New York",61000,61000,3600,6,5500,1600,3
7,"d","North Carolina",26000,27000,4600,17,950,5500,20
7,"d","North Dakota",455000,495000,53000,11,57000,33000,7
7,"d","",,,,,,,
7,"d","Ohio",22000,22000,1900,9,730,2100,10
7,"d","Oklahoma",7000,8000,1100,14,150,930,12
7,"d","Oregon",102000,124000,12000,10,13000,28000,23
7,"d","Pennsylvania",27000,27000,2200,8,2500,1200,4
7,"d","South Carolina",12000,13500,1800,13,1200,2200,16
7,"d","South Dakota",230000,235000,66000,28,30000,12500,5
7,"d","Tennessee",15000,15000,2200,15,460,860,6
7,"d","Texas",167000,173000,9500,5,9000,7500,4
7,"d","Utah",24000,30000,2000,7,1500,2300,8
7,"d","Vermont",7500,7500,210,3,700,180,2
7,"d","",,,,,,,
7,"d","Virginia",8500,8500,1200,14,910,730,9
7,"d","Washington",94000,104000,7000,7,5000,8500,8
7,"d","West Virginia",8000,8000,540,7,210,800,10
7,"d","Wisconsin",68000,68000,8000,12,970,9000,13
7,"d","Wyoming",33000,34000,3600,11,640,7500,22
7,"d","",,,,,,,
7,"d","Other States 5/",10630,11630,2080,18,2230,700,6
7,"d","",,,,,,,
7,"d","United States",3175330,"(X)",411490,13,348280,381620,12
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
8,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2020 and October-December 2020"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",17000,17000,1100,6,750,60,"(Z)"
8,"d","Arizona",25000,27000,4000,15,5500,600,2
8,"d","Arkansas",22000,23000,2100,9,380,780,3
8,"d","California",700000,1400000,164000,12,120000,58000,4
8,"d","Colorado",19000,19000,5000,26,930,20,"(Z)"
8,"d","Connecticut",4300,4600,500,11,20,20,"(Z)"
8,"d","Florida",240000,290000,29000,10,50000,17500,6
8,"d","Georgia",165000,174000,30000,17,11000,11000,6
8,"d","Hawaii",22000,22000,2700,12,200,370,2
8,"d","Idaho",94000,180000,19000,11,8000,1700,1
8,"d","",,,,,,,
8,"d","Illinois",13000,13000,1700,13,330,410,3
8,"d","Indiana",10000,11000,930,8,240,260,2
8,"d","Iowa",38000,38000,4800,13,700,850,2
8,"d","Kansas",6000,7000,2400,34,460,170,2
8,"d","Kentucky",11500,11500,1100,10,380,520,5
8,"d","Louisiana",46000,52000,1700,3,30,620,1
8,"d","Maine",9000,9000,100,1,180,250,3
8,"d","Maryland",6000,8000,980,12,60,460,6
8,"d","Massachusetts",10000,10000,390,4,270,90,1
8,"d","Michigan",97000,101000,10500,10,2400,1600,2
8,"d","",,,,,,,
8,"d","Minnesota",99000,105000,9500,9,1200,340,"(Z)"
8,"d","Mississippi",30000,37000,3800,10,300,30,"(Z)"
8,"d","Missouri",6500,7000,750,11,20,110,2
8,"d","Montana",81000,92000,14000,15,3500,290,"(Z)"
8,"d","Nebraska",43000,43000,7000,16,280,2500,6
8,"d","New Jersey",18000,18000,310,2,2000,480,3
8,"d","New Mexico",2400,3600,190,5,80,50,1
8,"d","New York",52000,52000,4100,8,2400,5000,10
8,"d","North Carolina",16500,22000,2500,11,200,9000,41
8,"d","North Dakota",445000,445000,45000,10,12500,-,-
8,"d","",,,,,,,
8,"d","Ohio",21000,21000,1600,8,10,490,2
8,"d","Oklahoma",7000,28000,300,1,250,-,-
8,"d","Oregon",122000,123000,15500,13,7000,2600,2
8,"d","Pennsylvania",23000,25000,1900,8,580,440,2
8,"d","South Carolina",11500,18500,2600,14,270,210,1
8,"d","South Dakota",197000,197000,16000,8,1000,150,"(Z)"
8,"d","Tennessee",13500,13500,680,5,20,640,5
8,"d","Texas",144000,255000,43000,17,27000,1700,1
8,"d","Utah",29000,29000,3800,13,1800,50,"(Z)"
8,"d","Vermont",8000,8000,270,3,30,-,-
8,"d","",,,,,,,
8,"d","Virginia",8000,8500,1000,12,70,450,5
8,"d","Washington",102000,103000,16500,16,6000,2000,2
8,"d","West Virginia",7500,7500,550,7,120,800,11
8,"d","Wisconsin",60000,60000,8000,13,2800,4700,8
8,"d","Wyoming",23000,25000,1600,6,160,380,2
8,"d","",,,,,,,
8,"d","Other States 5/",10640,10740,2470,23,80,1300,12
8,"d","",,,,,,,
8,"d","United States",3135340,"(X)",484920,15,271500,128990,4
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
11,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2021 and January-March 2021"
11,"h","","","","","","","",""
11,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","January 1","","","","","",""
11,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
