year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct
2015,January-March,Alabama,7000,7000,1800,26,2800,250,4
2015,January-March,Arizona,35000,35000,4600,13,3400,2100,6
2015,January-March,Arkansas,13000,14000,1500,11,1200,90,1
2015,January-March,California,1440000,1690000,255000,15,250000,124000,7
2015,January-March,Colorado,3500,12500,1500,12,200,140,1
2015,January-March,Connecticut,3900,3900,870,22,290,NA,NA
2015,January-March,Florida,305000,315000,42000,13,54000,25000,8
2015,January-March,Georgia,104000,105000,14500,14,47000,9500,9
2015,January-March,Hawaii,10500,10500,380,4,3400,760,7
2015,January-March,Idaho,81000,88000,3700,4,2600,8000,9
2015,January-March,Illinois,6000,10500,4200,40,2300,390,4
2015,January-March,Indiana,9000,9500,2100,22,490,120,1
2015,January-March,Iowa,12500,17500,3100,18,1700,270,2
2015,January-March,Kansas,4600,7000,1600,23,450,70,1
2015,January-March,Kentucky,7500,10500,4100,39,250,NA,NA
2015,January-March,Louisiana,51000,51000,8000,16,3100,6500,13
2015,January-March,Maine,3100,6500,380,6,20,NA,NA
2015,January-March,Maryland,7500,10000,4100,41,1600,870,9
2015,January-March,Massachusetts,2900,4600,1000,22,260,120,3
2015,January-March,Michigan,16500,60000,11500,19,7500,2400,4
2015,January-March,Minnesota,28000,74000,3700,5,690,530,1
2015,January-March,Mississippi,34000,76000,8500,11,22000,7500,10
2015,January-March,Missouri,12000,13000,2000,15,220,910,7
2015,January-March,Montana,8500,36000,2200,6,1400,1100,3
2015,January-March,Nebraska,10000,31000,2600,8,120,310,1
2015,January-March,New Jersey,6000,9000,1100,12,570,1600,18
2015,January-March,New Mexico,7000,7000,690,10,190,600,9
2015,January-March,New York,27000,30000,6500,22,430,950,3
2015,January-March,North Carolina,24000,26000,7000,27,6000,690,3
2015,January-March,North Dakota,57000,120000,620,1,1800,530,NA
2015,January-March,Ohio,18000,22000,10500,48,5000,3300,15
2015,January-March,Oklahoma,9500,26000,6000,23,2600,260,1
2015,January-March,Oregon,77000,87000,6500,8,4300,2400,3
2015,January-March,Pennsylvania,14000,21000,6500,31,360,NA,NA
2015,January-March,South Carolina,17000,17500,2700,15,2700,1400,8
2015,January-March,South Dakota,50000,97000,4600,5,8500,2800,3
2015,January-March,Tennessee,9500,9500,2000,21,1000,190,2
2015,January-March,Texas,191000,250000,26000,10,82000,51000,20
2015,January-March,Utah,6000,24000,3300,14,2500,290,1
2015,January-March,Vermont,5500,5500,700,13,1200,20,NA
2015,January-March,Virginia,8000,9000,2500,28,800,460,5
2015,January-March,Washington,52000,105000,14000,13,13500,9000,9
2015,January-March,West Virginia,4700,6000,1800,30,570,60,1
2015,January-March,Wisconsin,16500,29000,8000,28,3100,2500,9
2015,January-March,Wyoming,5500,12000,2000,17,2000,1400,12
2015,January-March,Other States,3410,8990,2080,23,870,150,2
2015,January-March,United States,2824610,NA,500020,18,546980,270530,10
2015,April-June,Alabama,7500,7500,860,12,1900,680,9
2015,April-June,Arizona,33000,33000,5500,17,19500,7000,21
2015,April-June,Arkansas,13500,13500,1900,14,11500,5500,41
2015,April-June,California,1040000,1050000,104000,10,170000,285000,27
2015,April-June,Colorado,12000,25000,1900,8,6000,3500,14
2015,April-June,Connecticut,3000,3000,80,3,1100,150,5
2015,April-June,Florida,210000,215000,35000,16,44000,24000,11
2015,April-June,Georgia,114000,124000,23000,19,25000,19000,15
2015,April-June,Hawaii,13500,13500,120,1,1100,1200,9
2015,April-June,Idaho,62000,72000,6500,9,16500,10500,15
2015,April-June,Illinois,9500,9500,1300,14,6000,1500,16
2015,April-June,Indiana,8000,12500,1300,10,4900,4300,34
2015,April-June,Iowa,12500,24000,1400,6,6500,3100,13
2015,April-June,Kansas,6000,7000,670,10,2800,420,6
2015,April-June,Kentucky,7500,8500,980,12,3600,1500,18
2015,April-June,Louisiana,44000,45000,1800,4,6500,8000,18
2015,April-June,Maine,4600,30000,3200,11,3500,700,2
2015,April-June,Maryland,8000,11000,370,3,2600,710,7
2015,April-June,Massachusetts,4100,14000,320,2,940,510,4
2015,April-June,Michigan,58000,88000,9500,11,13500,5500,6
2015,April-June,Minnesota,71000,125000,12500,10,20000,21000,17
2015,April-June,Mississippi,89000,89000,11000,12,5500,10000,11
2015,April-June,Missouri,11500,12500,500,4,1900,1800,14
2015,April-June,Montana,36000,210000,4200,2,14000,33000,16
2015,April-June,Nebraska,29000,68000,4100,6,15500,4600,7
2015,April-June,New Jersey,8500,19000,1800,10,2100,2900,15
2015,April-June,New Mexico,6500,8500,1000,12,1500,330,4
2015,April-June,New York,24000,34000,1100,3,11000,1500,4
2015,April-June,North Carolina,19500,23000,1800,8,5500,3300,14
2015,April-June,North Dakota,121000,450000,29000,6,39000,61000,14
2015,April-June,Ohio,17500,19000,2100,11,10000,6000,32
2015,April-June,Oklahoma,25000,27000,2200,8,5500,2200,8
2015,April-June,Oregon,82000,95000,5500,6,14500,9500,10
2015,April-June,Pennsylvania,15500,19000,1600,8,8500,2600,14
2015,April-June,South Carolina,17500,18500,950,5,1100,2000,11
2015,April-June,South Dakota,100000,290000,21000,7,27000,23000,8
2015,April-June,Tennessee,7500,7500,730,10,3600,920,12
2015,April-June,Texas,305000,315000,33000,11,76000,94000,30
2015,April-June,Utah,24000,27000,3400,13,10000,3900,14
2015,April-June,Vermont,6000,6000,100,2,580,50,1
2015,April-June,Virginia,7500,7500,270,4,2100,430,6
2015,April-June,Washington,105000,127000,5000,4,15000,13000,10
2015,April-June,West Virginia,4700,4700,570,12,2900,590,13
2015,April-June,Wisconsin,25000,65000,4600,7,10000,5500,9
2015,April-June,Wyoming,12000,25000,3200,13,7500,5000,20
2015,April-June,Other States,8600,11200,1940,17,4140,1960,18
2015,April-June,United States,2849500,NA,352860,12,661860,692850,24
2015,July-September,Alabama,8500,9000,1400,16,160,260,3
2015,July-September,Arizona,40000,40000,6000,15,4300,15500,39
2015,July-September,Arkansas,23000,30000,9000,30,500,210,1
2015,July-September,California,730000,800000,76000,10,40000,93000,12
2015,July-September,Colorado,29000,30000,4500,15,1400,1400,5
2015,July-September,Connecticut,3700,3700,50,1,190,440,12
2015,July-September,Florida,164000,220000,36000,16,37000,29000,13
2015,July-September,Georgia,108000,110000,13000,12,19500,15500,14
2015,July-September,Hawaii,14500,14500,2700,19,1200,5500,38
2015,July-September,Idaho,80000,128000,14000,11,5500,11500,9
2015,July-September,Illinois,14000,14000,1400,10,1300,1100,8
2015,July-September,Indiana,15000,15000,1600,11,1400,420,3
2015,July-September,Iowa,29000,37000,3000,8,640,680,2
2015,July-September,Kansas,9000,9500,1000,11,100,160,2
2015,July-September,Kentucky,10000,10000,1300,13,170,550,6
2015,July-September,Louisiana,50000,55000,2000,4,2300,1800,3
2015,July-September,Maine,6000,6000,450,8,410,140,2
2015,July-September,Maryland,7000,7500,680,9,730,70,1
2015,July-September,Massachusetts,7500,7500,560,8,290,400,5
2015,July-September,Michigan,89000,89000,7000,8,3300,3800,4
2015,July-September,Minnesota,133000,136000,32000,24,640,2300,2
2015,July-September,Mississippi,23000,34000,3500,10,260,110,NA
2015,July-September,Missouri,14000,14000,1200,9,700,630,5
2015,July-September,Montana,140000,156000,10500,7,3200,10000,6
2015,July-September,Nebraska,67000,77000,6000,8,500,6000,8
2015,July-September,New Jersey,18500,18500,210,1,190,500,3
2015,July-September,New Mexico,6500,6500,1600,25,1300,650,10
2015,July-September,New York,44000,47000,6500,14,4400,7000,15
2015,July-September,North Carolina,24000,24000,2900,12,2500,1100,5
2015,July-September,North Dakota,460000,500000,93000,19,11000,22000,4
2015,July-September,Ohio,23000,23000,1900,8,2300,880,4
2015,July-September,Oklahoma,19500,22000,230,1,160,190,1
2015,July-September,Oregon,68000,100000,8500,9,8000,21000,21
2015,July-September,Pennsylvania,25000,25000,1800,7,1800,2400,10
2015,July-September,South Carolina,12000,12000,2000,17,880,580,5
2015,July-September,South Dakota,295000,295000,53000,18,2100,13000,4
2015,July-September,Tennessee,10000,10000,1200,12,500,350,4
2015,July-September,Texas,76000,136000,16500,12,5500,4800,4
2015,July-September,Utah,31000,36000,8000,22,1400,2200,6
2015,July-September,Vermont,6000,6500,40,1,30,20,NA
2015,July-September,Virginia,8000,8000,680,9,520,220,3
2015,July-September,Washington,84000,97000,11500,12,1800,20000,21
2015,July-September,West Virginia,7000,7000,300,4,300,270,4
2015,July-September,Wisconsin,60000,62000,9000,15,1300,4300,7
2015,July-September,Wyoming,29000,35000,2500,7,270,440,1
2015,July-September,Other States,12180,12280,900,7,1050,700,6
2015,July-September,United States,3132880,NA,457100,15,172990,303070,10
2015,October-December,Alabama,8000,8000,610,8,80,60,1
2015,October-December,Arizona,36000,39000,12000,31,3000,16000,41
2015,October-December,Arkansas,23000,27000,2400,9,1900,NA,NA
2015,October-December,California,750000,1260000,149000,12,39000,75000,6
2015,October-December,Colorado,24000,24000,2500,10,3400,NA,NA
2015,October-December,Connecticut,3200,3200,210,7,40,70,2
2015,October-December,Florida,220000,260000,37000,14,30000,28000,11
2015,October-December,Georgia,110000,121000,18000,15,4400,1900,2
2015,October-December,Hawaii,13000,13000,690,5,2700,760,6
2015,October-December,Idaho,121000,145000,22000,15,5500,5500,4
2015,October-December,Illinois,14000,14000,690,5,NA,30,NA
2015,October-December,Indiana,11500,11500,1100,10,140,NA,NA
2015,October-December,Iowa,35000,35000,4300,12,40,30,NA
2015,October-December,Kansas,8500,8500,3400,40,50,20,NA
2015,October-December,Kentucky,8500,8500,1100,13,20,10,NA
2015,October-December,Louisiana,55000,71000,4900,7,1100,2400,3
2015,October-December,Maine,4700,4700,60,1,530,20,NA
2015,October-December,Maryland,7500,9500,730,8,NA,NA,NA
2015,October-December,Massachusetts,4500,4500,260,6,30,30,1
2015,October-December,Michigan,67000,73000,9000,12,210,1600,2
2015,October-December,Minnesota,104000,105000,10000,10,600,40,NA
2015,October-December,Mississippi,31000,34000,1500,4,500,230,1
2015,October-December,Missouri,13500,13500,690,5,30,40,NA
2015,October-December,Montana,116000,123000,10000,8,1000,80,NA
2015,October-December,Nebraska,72000,73000,7000,10,10,5500,8
2015,October-December,New Jersey,8000,8500,270,3,20,10,NA
2015,October-December,New Mexico,6000,6000,290,5,290,30,1
2015,October-December,New York,45000,45000,4000,9,260,10,NA
2015,October-December,North Carolina,22000,22000,2200,10,510,70,NA
2015,October-December,North Dakota,230000,275000,35000,13,2700,9000,3
2015,October-December,Ohio,19000,19000,2400,13,200,140,1
2015,October-December,Oklahoma,5000,10000,650,7,290,60,1
2015,October-December,Oregon,100000,114000,8500,8,200,1400,1
2015,October-December,Pennsylvania,22000,23000,2500,11,1300,6500,28
2015,October-December,South Carolina,10000,17500,2200,13,640,1000,6
2015,October-December,South Dakota,194000,205000,9000,4,2400,NA,NA
