year,months,state,stressor,stress_pct
2015,January-March,Alabama,Varroa mites,10
2015,January-March,Alabama,Other pests/parasites,5.4
2015,January-March,Alabama,Disesases,NA
2015,January-March,Alabama,Pesticides,2.2
2015,January-March,Alabama,Other,9.1
2015,January-March,Alabama,Unknown,9.4
2015,January-March,Arizona,Varroa mites,26.9
2015,January-March,Arizona,Other pests/parasites,20.5
2015,January-March,Arizona,Disesases,0.1
2015,January-March,Arizona,Pesticides,NA
2015,January-March,Arizona,Other,1.8
2015,January-March,Arizona,Unknown,3.1
2015,January-March,Arkansas,Varroa mites,17.6
2015,January-March,Arkansas,Other pests/parasites,11.4
2015,January-March,Arkansas,Disesases,1.5
2015,January-March,Arkansas,Pesticides,3.4
2015,January-March,Arkansas,Other,1
2015,January-March,Arkansas,Unknown,1
2015,January-March,California,Varroa mites,24.7
2015,January-March,California,Other pests/parasites,7.2
2015,January-March,California,Disesases,3
2015,January-March,California,Pesticides,7.5
2015,January-March,California,Other,6.5
2015,January-March,California,Unknown,2.8
2015,January-March,Colorado,Varroa mites,14.6
2015,January-March,Colorado,Other pests/parasites,0.9
2015,January-March,Colorado,Disesases,1.8
2015,January-March,Colorado,Pesticides,0.6
2015,January-March,Colorado,Other,2.6
2015,January-March,Colorado,Unknown,5.9
2015,January-March,Connecticut,Varroa mites,2.5
2015,January-March,Connecticut,Other pests/parasites,1.4
2015,January-March,Connecticut,Disesases,NA
2015,January-March,Connecticut,Pesticides,NA
2015,January-March,Connecticut,Other,21.2
2015,January-March,Connecticut,Unknown,2.4
2015,January-March,Florida,Varroa mites,22.3
2015,January-March,Florida,Other pests/parasites,13.5
2015,January-March,Florida,Disesases,0.8
2015,January-March,Florida,Pesticides,8.9
2015,January-March,Florida,Other,5.1
2015,January-March,Florida,Unknown,4.4
2015,January-March,Georgia,Varroa mites,6.2
2015,January-March,Georgia,Other pests/parasites,4.9
2015,January-March,Georgia,Disesases,3.3
2015,January-March,Georgia,Pesticides,2.6
2015,January-March,Georgia,Other,4.8
2015,January-March,Georgia,Unknown,10.5
2015,January-March,Hawaii,Varroa mites,38.8
2015,January-March,Hawaii,Other pests/parasites,37.7
2015,January-March,Hawaii,Disesases,1.6
2015,January-March,Hawaii,Pesticides,NA
2015,January-March,Hawaii,Other,2
2015,January-March,Hawaii,Unknown,NA
