ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
2454,5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",76%,"3- B,S,C","rich cocoa, fatty, bready",3.25
2458,5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",76%,"3- B,S,C","cocoa, vegetal, savory",3.5
2454,5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",76%,"3- B,S,C","cocoa, blackberry, full body",3.75
2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",68%,"3- B,S,C","chewy, off, rubbery",3
2546,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",72%,"3- B,S,C","fatty, earthy, moss, nutty,chalky",3
2546,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",80%,"3- B,S,C","mildly bitter, basic cocoa, fatty",3.25
2542,5150,U.S.A.,2021,India,"Anamalai, batch 1",68%,"3- B,S,C","milk brownie, macadamia,chewy",3.5
797,A. Morin,France,2012,Bolivia,Bolivia,70%,"4- B,S,C,L","vegetal, nutty",3.5
797,A. Morin,France,2012,Peru,Peru,63%,"4- B,S,C,L","fruity, melon, roasty",3.75
1011,A. Morin,France,2013,Panama,Panama,70%,"4- B,S,C,L","brief fruit note, earthy, nutty",2.75
1015,A. Morin,France,2013,Colombia,Colombie,70%,"4- B,S,C,L","burnt rubber,alkalyzed notes",2.75
1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70%,"4- B,S,C,L","sticky, red fruit, sour",3
1015,A. Morin,France,2013,Burma,Birmanie,70%,"4- B,S,C,L","sticky, smokey, grass",3
1011,A. Morin,France,2013,Brazil,Brazil,70%,"4- B,S,C,L",mild tobacco,3.25
1015,A. Morin,France,2013,Papua New Guinea,Papua New Guinea,70%,"4- B,S,C,L","mild fruit, strong smoke",3.25
1019,A. Morin,France,2013,Peru,Piura,70%,"4- B,S,C,L","green, nutty, cocoa",3.25
1019,A. Morin,France,2013,Peru,Chanchamayo Province,70%,"4- B,S,C,L","cocoa,sour,intense tangerine",3.5
1011,A. Morin,France,2013,Ecuador,Equateur,70%,"4- B,S,C,L","sandy, nutty, cocoa, fig",3.75
