name,version,added,updated,swagger_url,openapi_ver,link,external_docs_description,external_docs_url
1forge.com,0.0.1,2017-05-30T08:34:14Z,2017-06-27T16:49:57Z,https://api.apis.guru/v2/specs/1forge.com/0.0.1/swagger.json,2.0,https://api.apis.guru/v2/specs/1forge.com/0.0.1.json,NA,NA
1password.com:events,1.0.0,2021-07-19T10:17:09Z,2023-02-27T15:08:09Z,https://api.apis.guru/v2/specs/1password.com/events/1.0.0/openapi.json,3.0.0,https://api.apis.guru/v2/specs/1password.com:events/1.0.0.json,NA,NA
1password.local:connect,1.5.7,2021-04-16T15:56:45Z,2023-02-27T15:07:17Z,https://api.apis.guru/v2/specs/1password.local/connect/1.5.7/openapi.json,3.0.2,https://api.apis.guru/v2/specs/1password.local:connect/1.5.7.json,NA,NA
6-dot-authentiqio.appspot.com,6,2017-03-15T14:45:58Z,2021-06-21T12:16:53Z,https://api.apis.guru/v2/specs/6-dot-authentiqio.appspot.com/6/openapi.json,3.0.0,https://api.apis.guru/v2/specs/6-dot-authentiqio.appspot.com/6.json,NA,NA
ably.io:platform,1.1.0,2019-07-13T11:28:07Z,2021-07-26T09:42:14Z,https://api.apis.guru/v2/specs/ably.io/platform/1.1.0/openapi.json,3.0.1,https://api.apis.guru/v2/specs/ably.io:platform/1.1.0.json,NA,NA
ably.net:control,1.0.14,2021-07-26T09:45:31Z,2021-07-26T09:47:48Z,https://api.apis.guru/v2/specs/ably.net/control/1.0.14/openapi.json,3.0.1,https://api.apis.guru/v2/specs/ably.net:control/1.0.14.json,NA,NA
abstractapi.com:geolocation,1.0.0,2021-04-14T17:12:40Z,2021-06-21T12:16:53Z,https://api.apis.guru/v2/specs/abstractapi.com/geolocation/1.0.0/openapi.json,3.0.1,https://api.apis.guru/v2/specs/abstractapi.com:geolocation/1.0.0.json,API Documentation,https://www.abstractapi.com/ip-geolocation-api#docs
adafruit.com,2.0.0,2018-02-10T10:41:43Z,2021-06-21T12:16:53Z,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,2.0,https://api.apis.guru/v2/specs/adafruit.com/2.0.0.json,NA,NA
adobe.com:aem,3.7.1-pre.0,2019-01-03T07:01:34Z,2023-03-06T07:12:59Z,https://api.apis.guru/v2/specs/adobe.com/aem/3.7.1-pre.0/openapi.json,3.0.0,https://api.apis.guru/v2/specs/adobe.com:aem/3.7.1-pre.0.json,NA,NA
adyen.com:AccountService,6,2023-02-17T11:02:20Z,2023-04-04T23:18:43Z,https://api.apis.guru/v2/specs/adyen.com/AccountService/6/openapi.json,3.1.0,https://api.apis.guru/v2/specs/adyen.com:AccountService/6.json,NA,NA
adyen.com:BalanceControlService,1,2023-02-17T11:02:20Z,2023-02-24T23:24:00Z,https://api.apis.guru/v2/specs/adyen.com/BalanceControlService/1/openapi.json,3.1.0,https://api.apis.guru/v2/specs/adyen.com:BalanceControlService/1.json,NA,NA
adyen.com:BalancePlatformConfigurationNotification-v1,1,2023-03-23T23:19:15Z,2023-04-18T23:18:31Z,https://api.apis.guru/v2/specs/adyen.com/BalancePlatformConfigurationNotification-v1/1/openapi.json,3.1.0,https://api.apis.guru/v2/specs/adyen.com:BalancePlatformConfigurationNotification-v1/1.json,NA,NA
