name,apisguru_category
1forge.com,financial
1password.com:events,security
1password.local:connect,security
6-dot-authentiqio.appspot.com,security
ably.io:platform,cloud
ably.net:control,cloud
abstractapi.com:geolocation,location
adafruit.com,iot
adobe.com:aem,marketing
adyen.com:AccountService,payment
adyen.com:BalanceControlService,payment
adyen.com:BalancePlatformConfigurationNotification-v1,payment
adyen.com:BalancePlatformPaymentNotification-v1,payment
adyen.com:BalancePlatformReportNotification-v1,payment
adyen.com:BalancePlatformService,payment
adyen.com:BalancePlatformTransferNotification-v3,payment
adyen.com:BinLookupService,payment
adyen.com:CheckoutService,payment
adyen.com:CheckoutUtilityService,payment
adyen.com:DataProtectionService,payment
adyen.com:FundService,payment
adyen.com:HopService,payment
adyen.com:LegalEntityService,payment
adyen.com:ManagementNotificationService-v1,payment
adyen.com:ManagementService,payment
adyen.com:MarketPayNotificationService,payment
adyen.com:NotificationConfigurationService,payment
adyen.com:PaymentService,payment
adyen.com:PayoutService,payment
adyen.com:RecurringService,payment
adyen.com:StoredValueService,payment
adyen.com:TestCardService,payment
adyen.com:TfmAPIService,payment
adyen.com:TransferService,payment
afterbanks.com,financial
agco-ats.com,ecommerce
aiception.com,machine_learning
airbyte.local:config,developer_tools
airport-web.appspot.com,transport
akeneo.com,enterprise
amadeus.com,location
amazonaws.com:AWSMigrationHub,cloud
amazonaws.com:accessanalyzer,cloud
amazonaws.com:acm,cloud
amazonaws.com:acm-pca,cloud
amazonaws.com:alexaforbusiness,cloud
amazonaws.com:amp,cloud
amazonaws.com:amplify,cloud
amazonaws.com:amplifybackend,cloud
amazonaws.com:apigateway,cloud
amazonaws.com:apigatewaymanagementapi,cloud
amazonaws.com:apigatewayv2,cloud
amazonaws.com:appconfig,cloud
amazonaws.com:appflow,cloud
amazonaws.com:appintegrations,cloud
amazonaws.com:application-autoscaling,cloud
amazonaws.com:application-insights,cloud
amazonaws.com:applicationcostprofiler,cloud
amazonaws.com:appmesh,cloud
amazonaws.com:apprunner,cloud
amazonaws.com:appstream,cloud
amazonaws.com:appsync,cloud
amazonaws.com:athena,cloud
amazonaws.com:auditmanager,cloud
amazonaws.com:autoscaling,cloud
amazonaws.com:autoscaling-plans,cloud
amazonaws.com:backup,cloud
amazonaws.com:batch,cloud
amazonaws.com:braket,cloud
amazonaws.com:budgets,cloud
amazonaws.com:ce,cloud
amazonaws.com:chime,cloud
amazonaws.com:cloud9,cloud
amazonaws.com:clouddirectory,cloud
amazonaws.com:cloudformation,cloud
amazonaws.com:cloudfront,cloud
amazonaws.com:cloudhsm,cloud
amazonaws.com:cloudhsmv2,cloud
amazonaws.com:cloudsearch,cloud
amazonaws.com:cloudsearchdomain,cloud
amazonaws.com:cloudtrail,cloud
amazonaws.com:codeartifact,cloud
amazonaws.com:codebuild,cloud
amazonaws.com:codecommit,cloud
amazonaws.com:codedeploy,cloud
amazonaws.com:codeguru-reviewer,cloud
amazonaws.com:codeguruprofiler,cloud
amazonaws.com:codepipeline,cloud
amazonaws.com:codestar,cloud
amazonaws.com:codestar-connections,cloud
amazonaws.com:codestar-notifications,cloud
amazonaws.com:cognito-identity,cloud
amazonaws.com:cognito-idp,cloud
amazonaws.com:cognito-sync,cloud
amazonaws.com:comprehend,cloud
amazonaws.com:comprehendmedical,cloud
amazonaws.com:compute-optimizer,cloud
amazonaws.com:config,cloud
amazonaws.com:connect,cloud
amazonaws.com:connect-contact-lens,cloud
amazonaws.com:connectparticipant,cloud
amazonaws.com:cur,cloud
amazonaws.com:customer-profiles,cloud
amazonaws.com:databrew,cloud
amazonaws.com:dataexchange,cloud
amazonaws.com:datapipeline,cloud
amazonaws.com:datasync,cloud
amazonaws.com:dax,cloud
amazonaws.com:detective,cloud
amazonaws.com:devicefarm,cloud
amazonaws.com:devops-guru,cloud
amazonaws.com:directconnect,cloud
amazonaws.com:discovery,cloud
amazonaws.com:dlm,cloud
amazonaws.com:dms,cloud
amazonaws.com:docdb,cloud
amazonaws.com:ds,cloud
amazonaws.com:dynamodb,cloud
amazonaws.com:ebs,cloud
amazonaws.com:ec2,cloud
amazonaws.com:ec2-instance-connect,cloud
amazonaws.com:ecr,cloud
amazonaws.com:ecr-public,cloud
amazonaws.com:ecs,cloud
amazonaws.com:eks,cloud
amazonaws.com:elastic-inference,cloud
amazonaws.com:elasticache,cloud
amazonaws.com:elasticbeanstalk,cloud
amazonaws.com:elasticfilesystem,cloud
amazonaws.com:elasticloadbalancing,cloud
amazonaws.com:elasticloadbalancingv2,cloud
amazonaws.com:elasticmapreduce,cloud
amazonaws.com:elastictranscoder,cloud
amazonaws.com:email,cloud
amazonaws.com:emr-containers,cloud
amazonaws.com:entitlement.marketplace,cloud
amazonaws.com:es,cloud
amazonaws.com:eventbridge,cloud
amazonaws.com:events,cloud
amazonaws.com:finspace,cloud
amazonaws.com:finspace-data,cloud
amazonaws.com:firehose,cloud
amazonaws.com:fis,cloud
amazonaws.com:fms,cloud
amazonaws.com:forecast,cloud
amazonaws.com:forecastquery,cloud
amazonaws.com:frauddetector,cloud
amazonaws.com:fsx,cloud
amazonaws.com:gamelift,cloud
amazonaws.com:glacier,cloud
amazonaws.com:globalaccelerator,cloud
amazonaws.com:glue,cloud
amazonaws.com:greengrass,cloud
amazonaws.com:greengrassv2,cloud
amazonaws.com:groundstation,cloud
amazonaws.com:guardduty,cloud
amazonaws.com:health,cloud
amazonaws.com:healthlake,cloud
amazonaws.com:honeycode,cloud
amazonaws.com:iam,cloud
amazonaws.com:identitystore,cloud
amazonaws.com:imagebuilder,cloud
amazonaws.com:importexport,cloud
amazonaws.com:inspector,cloud
amazonaws.com:iot,cloud
amazonaws.com:iot-data,cloud
amazonaws.com:iot-jobs-data,cloud
amazonaws.com:iot1click-devices,cloud
amazonaws.com:iot1click-projects,cloud
amazonaws.com:iotanalytics,cloud
amazonaws.com:iotdeviceadvisor,cloud
amazonaws.com:iotevents,cloud
amazonaws.com:iotevents-data,cloud
amazonaws.com:iotfleethub,cloud
amazonaws.com:iotsecuretunneling,cloud
amazonaws.com:iotsitewise,cloud
amazonaws.com:iotthingsgraph,cloud
amazonaws.com:iotwireless,cloud
amazonaws.com:ivs,cloud
amazonaws.com:kafka,cloud
amazonaws.com:kendra,cloud
amazonaws.com:kinesis,cloud
amazonaws.com:kinesis-video-archived-media,cloud
amazonaws.com:kinesis-video-media,cloud
amazonaws.com:kinesis-video-signaling,cloud
amazonaws.com:kinesisanalytics,cloud
amazonaws.com:kinesisanalyticsv2,cloud
amazonaws.com:kinesisvideo,cloud
amazonaws.com:kms,cloud
amazonaws.com:lakeformation,cloud
amazonaws.com:lambda,cloud
amazonaws.com:lex-models,cloud
amazonaws.com:license-manager,cloud
amazonaws.com:lightsail,cloud
amazonaws.com:location,cloud
amazonaws.com:logs,cloud
amazonaws.com:lookoutequipment,cloud
amazonaws.com:lookoutmetrics,cloud
amazonaws.com:lookoutvision,cloud
amazonaws.com:machinelearning,cloud
amazonaws.com:macie,cloud
amazonaws.com:macie2,cloud
amazonaws.com:managedblockchain,cloud
amazonaws.com:marketplace-catalog,cloud
amazonaws.com:marketplacecommerceanalytics,cloud
amazonaws.com:mediaconnect,cloud
amazonaws.com:mediaconvert,cloud
amazonaws.com:medialive,cloud
amazonaws.com:mediapackage,cloud
amazonaws.com:mediapackage-vod,cloud
amazonaws.com:mediastore,cloud
amazonaws.com:mediastore-data,cloud
amazonaws.com:mediatailor,cloud
amazonaws.com:meteringmarketplace,cloud
amazonaws.com:mgn,cloud
amazonaws.com:migrationhub-config,cloud
amazonaws.com:mobile,cloud
amazonaws.com:mobileanalytics,cloud
