Year,Cotton_yarn,Flock_yarn,Other_yarn,Total_yarn,Cotton_textiles,Flock_textiles,Other_textiles,Total_textiles,Raw_silk
1863,NA,NA,NA,NA,NA,NA,NA,NA,2106
1864,NA,NA,NA,NA,NA,NA,NA,NA,1581
1865,NA,NA,NA,NA,NA,NA,NA,NA,1596
1866,NA,NA,NA,NA,NA,NA,NA,NA,1628
1867,NA,NA,NA,NA,NA,NA,NA,NA,1797
1868,NA,NA,NA,NA,NA,NA,NA,NA,1707
1869,NA,NA,NA,NA,NA,NA,NA,NA,1980
1870,NA,NA,NA,NA,NA,NA,NA,NA,2930
1871,NA,NA,NA,NA,NA,NA,NA,NA,3473
1872,NA,NA,NA,NA,NA,NA,NA,NA,3125
1873,NA,NA,NA,NA,NA,NA,NA,NA,2960
1874,NA,NA,NA,NA,NA,NA,NA,NA,3430
1875,NA,NA,NA,NA,NA,NA,NA,NA,3073
1876,NA,NA,NA,NA,NA,NA,NA,NA,1293
1877,NA,NA,NA,NA,NA,NA,NA,NA,1853
1878,NA,NA,NA,NA,NA,NA,NA,NA,2666
1879,NA,NA,NA,NA,NA,NA,NA,NA,1324
1880,NA,NA,NA,NA,NA,NA,NA,NA,2874
1881,NA,NA,NA,NA,NA,NA,NA,NA,2747
1882,NA,NA,NA,NA,NA,NA,NA,NA,2181
1883,NA,NA,NA,NA,NA,NA,NA,NA,2994
1884,NA,NA,NA,NA,NA,NA,NA,NA,2810
1885,NA,NA,NA,NA,NA,NA,NA,NA,2457
1886,NA,NA,NA,NA,NA,NA,NA,NA,3188
1887,NA,NA,NA,NA,NA,NA,NA,NA,3476
1888,NA,NA,NA,NA,NA,NA,NA,NA,3566
1889,NA,NA,NA,NA,NA,NA,NA,NA,4175
1890,NA,NA,NA,NA,NA,NA,NA,NA,4725
1891,NA,NA,NA,NA,NA,NA,NA,NA,4380
1892,NA,NA,NA,NA,NA,NA,NA,NA,4070
1893,NA,NA,NA,NA,NA,NA,NA,NA,5430
1894,NA,NA,NA,NA,NA,NA,NA,NA,5070
1895,NA,NA,NA,NA,NA,NA,NA,NA,5105
1896,NA,NA,NA,NA,NA,NA,NA,NA,4960
1897,NA,NA,NA,NA,NA,NA,NA,NA,4400
1898,NA,NA,NA,NA,NA,NA,NA,NA,4735
1899,NA,NA,NA,NA,NA,NA,NA,NA,5100
1900,NA,NA,NA,118602,NA,NA,NA,NA,5132
1901,NA,NA,NA,117425,NA,NA,NA,NA,5049
1902,NA,NA,NA,128071,NA,NA,NA,NA,5430
1903,NA,NA,NA,133993,NA,NA,NA,NA,4626
1904,NA,NA,NA,134502,NA,NA,NA,NA,5651
1905,NA,NA,NA,143430,NA,NA,NA,NA,5552
1906,NA,NA,NA,165818,NA,NA,NA,NA,6047
1907,NA,NA,NA,189513,NA,NA,NA,NA,6173
1908,NA,NA,NA,179776,NA,NA,NA,NA,5498
1909,NA,NA,NA,165886,NA,NA,NA,NA,5661
1910,NA,NA,NA,151824,NA,NA,NA,NA,4981
1911,NA,NA,NA,165102,NA,NA,NA,NA,4714
1912,NA,NA,NA,186216,NA,NA,NA,NA,5207
1913,NA,NA,NA,175570,NA,NA,NA,NA,4702
1914,NA,NA,NA,165818,NA,NA,NA,NA,4469
1915,NA,NA,NA,253341,NA,NA,NA,NA,3066
1916,NA,NA,NA,220566,NA,NA,NA,NA,3849
1917,NA,NA,NA,156107,NA,NA,NA,NA,2864
1918,NA,NA,NA,113371,NA,NA,NA,NA,2712
1919,NA,NA,NA,155389,NA,NA,NA,NA,2134
1920,NA,NA,NA,148220,NA,NA,NA,NA,3782
1921,NA,NA,NA,132960,94010,NA,NA,94010,3478
1922,NA,NA,NA,156000,101100,NA,NA,101100,3990
1923,NA,NA,NA,164410,105430,NA,NA,105430,5223
1924,NA,NA,NA,173207,121800,NA,NA,121800,5592
1925,NA,NA,NA,198503,134240,NA,NA,134240,5097
1926,NA,NA,NA,198700,130050,NA,NA,130050,4366
1927,NA,NA,NA,178580,116000,NA,NA,116000,5010
1928,NA,NA,NA,196000,125725,3644,781,130150,5568
1929,NA,NA,NA,219820,135296,4500,844,140640,5521
1930,NA,NA,NA,183980,109650,3530,810,113990,5289
1931,NA,NA,NA,153380,94624,4364,782,99770,3660
1932,NA,NA,NA,169060,95242,4690,818,100750,3927
1933,NA,NA,NA,190780,109704,6336,1290,117330,3548
1934,171424,NA,1636,173060,103055,6848,2357,112260,3081
1935,157957,NA,13253,171210,104486,10365,4289,119140,1727
1936,115776,23668,936,140380,83968,19123,3739,106830,3207
1937,139648,45086,2546,187280,90445,36126,4319,130890,3197
1938,135430,34705,8309,178444,93752,37007,4662,135421,2004
1939,119654,60394,12088,192136,84574,50010,5943,140527,3093
1940,95549,69954,12047,177550,74967,63046,6756,144769,2865
1941,25573,81887,7980,115440,27023,78208,3970,109201,3325
1942,4702,41380,30040,76122,9773,64589,3399,77761,2462
1943,3609,22699,22612,48920,8888,41869,3731,54488,1373
1944,711,10326,5519,16556,1362,23265,2849,27476,1066
1945,6039,1762,2099,9900,7219,2136,7081,16436,855
1946,123073,4988,6740,134801,81916,5696,14693,102305,1990
1947,171713,7129,948,179790,99709,5761,16724,122194,1653
1948,176601,11000,1777,189378,112600,9813,16777,139190,1966
1949,182191,19553,6769,208513,109756,16774,17682,144212,1136
1950,183149,26534,6733,216416,118111,19832,19270,157213,1373
1951,191236,32303,7489,231028,123399,23301,21442,168142,1215
1952,173266,22436,7443,203145,111452,17170,17439,146061,1572
1953,163740,23087,6562,193389,107860,18136,21004,147000,1479
1954,166876,26327,9665,202868,115063,19946,23199,158208,1300
1955,145327,19001,10739,175067,101144,14649,21277,137070,1138
1956,151184,26082,12950,190216,106356,16063,21615,144034,997
1957,171171,27525,13030,211726,116632,19577,23599,159808,789
1958,160305,26407,12757,199469,114449,19322,23466,157237,828
1959,173868,26963,13401,214232,120369,19822,26221,166412,929
1960,193457,29627,15470,238554,133563,20688,29027,183278,892
1961,193110,29093,17112,239315,131198,21146,29855,182199,761
1962,194653,35223,19335,249211,136809,24359,32978,194146,776
1963,191277,34408,25721,251406,137140,26633,38512,202285,618
1964,185166,31191,23775,240132,126771,21546,35922,184239,561
1965,156819,24821,19198,200838,96961,15829,33035,145825,611
1966,197070,25180,29181,251431,120306,12213,45754,178273,550
1967,194591,22892,29267,246750,118097,9534,51813,179444,478
1968,178167,23266,31815,233248,111082,8881,53720,173683,534
1969,181784,23858,48800,254442,108803,7926,59923,176652,499
1970,173197,23061,50437,246695,108957,6526,59871,175354,308
1971,154034,20518,50659,225211,103331,5772,54194,163297,153
1972,153856,17778,66805,238439,103307,5036,53676,162019,155
1973,147978,15090,74190,237258,104560,6020,60350,170930,119
1974,149065,14409,72891,236365,113133,5600,63184,181917,89
1975,138131,8909,53391,200431,104525,4532,51270,160327,55
1976,161003,11562,61223,233788,121620,5983,53586,181189,38
1977,146648,10009,55113,211770,111049,8837,51099,170985,NA
1978,159910,21454,44543,225907,115357,9394,50268,175019,NA
1979,171588,21753,48682,242023,129794,10472,57416,197682,NA
1980,170187,18974,42007,231168,138437,8995,56808,204240,NA
1981,160478,15192,39826,215496,145738,5878,64049,215665,NA
1982,159241,15880,49702,224823,150206,9904,61187,221297,NA
1983,149959,14240,52379,216578,147547,3369,55042,205958,NA
1984,164632,13421,52487,230540,164934,3338,63119,231391,NA
1985,161621,10132,49362,221115,160457,6504,59440,226401,NA
