title,url,rating,subtitle,author,published,claim
"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?",https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,false,This appears to be an urban legend of recent origin.,David Emery,2023-03-25,"""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs."""
Does This Video Show a 'Jersey Devil' Perched in a Tree?,https://www.snopes.com/fact-check/video-jersey-devil-perched-in-tree/,false,The famous cryptid is part of New Jersey folklore.,Bethania Palma,2022-12-11,"A video shows a real ""Jersey Devil"" cryptid perched in a tree."
"Did a Power Surge in a Plugged-In Air Fryer Cause a Fire, as Claimed in Viral Facebook Post?",https://www.snopes.com/fact-check/air-fryer-fire-facebook/,true,Readers asked us to verify the contents of a Facebook post that described a purported fire hazard involving air fryers and power surges.,Jordan Liles,2022-11-30,"A plugged-in air fryer underwent a power surge and caused a kitchen fire, despite the fact that it was plugged in to a special outlet for protection."
"No, This Is Not a 'Human Skin Jacket' from Balenciaga",https://www.snopes.com/fact-check/balenciaga-human-skin-jacket/,false,"It only takes a few seconds to overlay somebody's logo on an existing image and create a completely deceptive ""advertisement.""",David Emery,2022-12-03,"A viral photo emblazoned with fashion house Balenciaga's logo shows a ""human skin jacket"" made and sold by the company."
Are Kids 'Snorting' Smarties and Putting Themselves at Risk of Nasal Maggots?,https://www.snopes.com/fact-check/snorting-smarties/,legend,"Citing a doctor, a 2009 warning to parents from a Rhode Island middle school claimed maggots could ""feed on the sugary dust wedged inside the nose.""",David Mikkelson,2014-01-22,Schoolkids are “snorting” and “smoking” Smarties and putting themselves at risk of contracting nasal maggots.
Is McDonald's the World's Largest Purchaser of Cow Eyeballs?,https://www.snopes.com/fact-check/the-eyes-of-texas/,false,"Some versions of this rumor posit that the cow eyes are used as hamburger filler, or to make beef patties stick together better.",David Mikkelson,2000-10-09,The McDonald’s restaurant chain is the world’s largest purchaser of cow eyeballs.
A True Story About the Death of a Girl Playing With Leaves?,https://www.snopes.com/fact-check/fallen-like-leaves/,true,"As the story goes, her father drove his truck into a pile of leaves in which she was playing, killing her.",Barbara Mikkelson,2006-11-12,"A father drove his truck over a leaf pile containing his daughter, killing her."
The ManBeef Hoax,https://www.snopes.com/fact-check/wheres-the-manbeef/,false,"Once upon a time, there was website called ManBeef.com that advertised ""human meat"" and detailed instructions on how to prepare it for consumption.",David Mikkelson,2001-04-19,A website called ManBeef.com authentically advertised real human meat for purchase.
Are Teens Throwing Lit Gas-Soaked Rags Into Cars?,https://www.snopes.com/fact-check/spunkball/,false,"Horribly spelled warnings about homicidal teens playing ""spunkball"" began turning up on the internet in 2000.",Barbara Mikkelson,2000-03-01,Teens across the U.S.A. are amusing themselves by throwing lit gasoline-soaked rags into cars halted at stop lights.
Was a Car Fire Caused by Overheated GPS Battery?,https://www.snopes.com/fact-check/fire-screen/,false,Photographs purportedly show the aftermath of a car fire caused by a GPS device.,David Mikkelson,2014-11-20,Photographs show the aftermath of a car fire caused by an overheated GPS device.
Does Using a Recharging Cell Phone Pose a Serious Threat of Electrocution?,https://www.snopes.com/fact-check/overcharged/,mostly false,"A viral TikTok video claimed ""electric waves"" from the outlet ""will come through your body."" That's misleading.",Barbara Mikkelson,2014-10-07,Using a cell phone while it is being recharged poses a serious threat of electrocution.
Does Chocolate Milk Contain Cow's Blood?,https://www.snopes.com/fact-check/cow-blood-chocolate-milk/,false,"Chocolate milk is not made from ""regular"" milk that was rejected for containing too much cow's blood.",Barbara Mikkelson,2001-03-05,"Chocolate milk is made from ""regular"" milk rejected for containing too much cow's blood."
Can Cellular Calls Cause Brain Hemorrhages?,https://www.snopes.com/fact-check/last-call/,false,We've seen such claims circulating online since at least 2007.,David Mikkelson,2011-06-23,Cell phone calls from particular phone numbers cause brain hemorrhage and death.
Was a Finger Found in Wendy's Chili?,https://www.snopes.com/fact-check/finger-food/,false,A Wendy's customer was said to have found a human finger in her bowl of chili.,David Mikkelson,2005-03-24,A Wendy's customer found a human finger in her bowl of chili.
Man Burns to Death Rescuing Dog from Hot Springs,https://www.snopes.com/fact-check/hope-springs-eternal/,true,Burn deaths and injuries result from people trying to retrieve straying pets from boiling hot springs.,David Mikkelson,2001-07-23,A man was burned to death attempting to rescue his friend's dog from a boiling hot spring.
Snuff Films,https://www.snopes.com/fact-check/a-pinch-of-snuff/,false,Snuff films — are they for real?,Barbara Mikkelson,1999-02-27,Films are routinely made for entertainment purposes in which participants are murdered on camera.
Did the Annabelle Doll Escape from the Warren Museum?,https://www.snopes.com/fact-check/annabelle-doll-escape-museum/,false,Inanimate objects are not known for their mobility.,Dan Evon,2020-08-14,The Annabelle doll escaped from the Warren's Occult Museum in Connecticut.
Is the Florida High School Shooter a 'Dreamer'?,https://www.snopes.com/fact-check/florida-high-school-shooter-dreamer/,false,"In the immediate aftermath of a mass shooting on Valentine's Day, social media users began speculating the suspect was undocumented.",Bethania Palma,2018-02-14,"The accused school shooter in Florida is a Dreamer, a DACA recipient, or undocumented."
Mass Grave of Dozens of Tortured Black Men Found in Deceased KKK Leader's Estate?,https://www.snopes.com/fact-check/mass-grave-kkk-estate/,false,A horrifying tale of racially-motivated violence originated with a fake news site.,Brooke Binkowski,2017-07-01,The bodies of dozens of black men were found on the estate of a former Ku Klux Klan member.
Are Motorists Finding HIV-Infected Needles on Gas Pump Handles?,https://www.snopes.com/fact-check/hiv-needles-gas-pump-handles/,false,Rumors that service station customers are getting stuck by HIV-loaded syringes affixed to gas pump handles are a hoax.,Barbara Mikkelson,2001-07-04,Service station customers are getting stuck by HIV-loaded syringes affixed to gas pump handles.
Tapeworm Diet Pills,https://www.snopes.com/fact-check/as-the-worm-squirms/,legend,Legend claims women used to maintain slender figures by ingesting diet pills made from tapeworms.,Barbara Mikkelson,2000-07-25,Women used to maintain slender figures by ingesting diet pills made from tapeworms.
Motorcycle Helmet Self-Sacrifice,https://www.snopes.com/fact-check/saved-by-the-bell/,legend,"Did a motorcyclist on a bike that had lost its brakes give his helmet to his girlfriend, saving her life?",Barbara Mikkelson,2005-07-09,"A motorcyclist on bike that has lost its brakes gives his helmet to his girlfriend, saving her life at the cost of his own."
The Microwaved Baby,https://www.snopes.com/fact-check/wasted-and-basted/,legend,Did a stoned babysitter cook an infant in the oven?,David Mikkelson,2000-12-13,Stoned babysitter cooks an infant in the oven.
Oleander Poisoning,https://www.snopes.com/fact-check/fatal-wienie-roast/,legend,Did a troop of Boy Scouts die after roasting hot dogs on oleander branches?,Barbara Mikkelson,2003-09-24,A troop of Boy Scouts dies after roasting hot dogs on oleander sticks.
Did a Beer Flood Kill 9 People?,https://www.snopes.com/fact-check/a-brew-to-a-kill/,true,The flood reportedly took place in London in 1814.,Barbara Mikkelson,2002-08-31,Nine people died in a beer flood in 1814.
Texas Lawyer Arrested for Michael Myers 'Halloween' Prank,https://www.snopes.com/fact-check/texas-lawyer-michael-myers-prank/,true,The prank didn't make everyone laugh.,Bethania Palma,2021-09-17,"A lawyer in Texas was arrested for a prank in which he dressed up like the killer in the movie ""Halloween,"" Michael Myers, and roamed the beach in Galveston, Texas, ahead of a storm."
Did Lightning Shock a Teacher's Laptop During Online Class?,https://www.snopes.com/fact-check/lightning-shock-teacher-laptop/,true,Avoid using plugged-in electrical devices during lightning storms.,Bethania Palma,2021-05-12,"A woman in Guthrie, Oklahoma, was shocked while using a laptop to teach an online course during a lightning storm."
Did Woman Die After Trapping Her Head in Car Door at Garage Kiosk?,https://www.snopes.com/fact-check/woman-dies-head-trapped-car-garage/,true,The 23-year-old was reportedly reaching for a dropped credit card.,Madison Dapcevich,2021-01-22,A 23-year-old Ohio woman died after her head became trapped between her vehicle door and its frame after colliding with the payment machine in a parking garage.
Does 'Helltown' Film Document Weird Happenings in Abandoned Ohio Town?,https://www.snopes.com/fact-check/helltown-document-real-events/,false,"The Travel Channel's ""Helltown"" definitely includes a whole lot of fiction.",Dan Evon,2019-11-25,"The film ""Helltown"" is a genuine documentary about a teenager's mysterious disappearance, a cult, and a military mission gone wrong."
Did an English Woman Lie Dead at Home Undiscovered for Years?,https://www.snopes.com/fact-check/woman-undiscovered-dead-home/,true,A meme referred to the tragic circumstances surrounding the death and discovery of Joyce Carol Vincent in 2006.,Dan MacGuill,2018-11-20,"In 2006, the skeletal remains of Joyce Carol Vincent were found in her home, with the television on, years after her death."
Was Essie Dunbar Discovered Alive in the Coffin During Her Funeral?,https://www.snopes.com/fact-check/essie-dunbar-funeral-discovery/,unproven,"In 1915, Essie Dunbar was allegedly pronounced dead after suffering from a seizure. Legend has it that she was discovered to be alive mid-way through her burial.",Alex Kasprak,2018-09-15,"A 30-year-old woman was partially buried during a funeral service in 1915, only to be found alive inside the coffin by her grieving sister."
Did Police in Delaware Shoot and Kill a Man in a Wheelchair?,https://www.snopes.com/fact-check/police-delaware-shoot-kill-man-wheelchair/,true,Jeremy McDole's death in 2015 received renewed attention online in 2018.,Arturo Garcia,2018-03-20,"Police in Wilmington, Delaware shot and killed a man who was in a wheelchair at the time of the encounter."
Was a Young Girl Decapitated by a Seat Belt in a Car Crash?,https://www.snopes.com/fact-check/katie-flynn-car-crash/,true,A website that publishes viral content accurately recounts the terrible story of Katie Flynn's death in 2005.,Dan MacGuill,2018-03-02,"Katie Flynn was decapitated while wearing a seat belt, in a 2005 car crash on Long Island, New York."
Spanish Woman Cut in Half in Fatal Elevator Accident?,https://www.snopes.com/fact-check/spanish-woman-fatal-elevator-accident/,mixture,A web site posted an unclear translation of a news account about a grisly incident that killed a Spanish woman in a hospital shortly after she gave birth.,Arturo Garcia,2017-08-23,"A woman in Sevilla, Spain, was ""cut in half"" in a fatal elevator accident in a hospital that occurred shortly after she gave birth."
The Truth About Slenderman,https://www.snopes.com/fact-check/slenderman/,false,"In 2014, two 12-year-old girls arrested for stabbing a schoolmate in Waukesha, Wisconsin told police they did it to appease a towering supernatural being with tentacles for arms named ""Slenderman.""",David Emery,2017-01-20,"There is a faceless, semi-human monster called Slenderman who stands eight feet tall, has tentacles for arms, stalks and eats small children, and communicates telepathically with his human servants, called ""proxies."""
Was the Raggedy Ann Doll Modeled After a Child Killed by a Vaccine?,https://www.snopes.com/fact-check/raggedy-ann-vaccine-death/,mostly false,"Raggedy Ann's creator filed patents for the doll several months before his daughter fell ill and died, rendering an old claim about vaccines chronologically impossible.",Kim LaCapria,2017-01-11,"Raggedy Ann dolls were created by a grief-stricken father who lost his daughter to a vaccine-related illness, and who wished to broadcast the risks of vaccination."
Spider Bursts Out of Overripe Banana?,https://www.snopes.com/fact-check/spider-bursts-out-of-overripe-banana/,false,A viral video of a spider breaking out of a banana skin is an animation created by a talented CGI artist.,Bethania Palma,2016-09-20,A video captures a large spider that survived inside a banana until it burst out of the peel by its own power.
Ohio Police Post Graphic Photograph of Adults Passed Out from Heroin with Child in Car,https://www.snopes.com/fact-check/heroin-od-with-child-in-car/,true,"East Liverpool, Ohio, police posted a photograph of two adults who were passed out in their car, reportedly from overdosing on heroin, with a child in the back seat.",Bethania Palma,2016-09-09,"A photograph taken by a responding police officer shows a couple passed out in their vehicle from a suspected heroin overdose, with their child in the back seat."
The Strange Death of Elisa Lam,https://www.snopes.com/fact-check/death-of-elisa-lam/,true,"A young woman named Elisa Lam disappeared under mysterious circumstances in Los Angeles in 2013, her body later found in a hotel's rooftop water tank.",David Mikkelson,2016-08-14,"A young woman named Elisa Lam disappeared under mysterious circumstances in Los Angeles, her body later found in a hotel's water tank."
Rat Found in Dr Pepper Bottle,https://www.snopes.com/fact-check/rat-found-in-dr-pepper-bottle/,unproven,"A man claimed he found a dead rat in his grandson's bottle of Dr Pepper, but he has not yet surrendered the specimen to the company for testing.",Kim LaCapria,2016-05-11,A Texas man found a dead rat in a partially consumed bottle of Dr Pepper.
Seven People 'Dead by ISIS' in Local Attack,https://www.snopes.com/fact-check/seven-dead-by-isis/,false,A new fake news generator capitalized on fabricated local stories by creating false rumors of deadly ISIS attacks in multiple locations.,Kim LaCapria,2016-04-06,An ISIS attack claimed seven lives in a U.S. town.
Ecstasy in Halloween Candy?,https://www.snopes.com/fact-check/ecstasy-halloween-candy/,mostly false,"Despite Facebook warnings, there's little reason to expect drug-laced Gummi bears and Ecstasy tablets will be found in kids' trick-or-treat bags this Halloween.",Kim LaCapria,2015-09-28,Parents should keep any eye out for drug-laced Gummy bears and ecstasy (MDMA) disguised as Halloween candy being distributed to trick-or-treaters.
Nigeria: Restaurant Served Roasted Human Heads,https://www.snopes.com/fact-check/nigerian-spam/,mixture,Rumor: A hotel restaurant in Nigeria was found to be selling human meat.,David Mikkelson,2015-05-16,A hotel restaurant in Nigeria was found to be selling human meat.
"The Disappearance of Ashley, Kansas",https://www.snopes.com/fact-check/the-disappearance-of-ashley-kansas/,false,"The horrific tale of a Kansas town that disappeared, along with its entire population, after an earthquake in 1952.",Kim LaCapria,2015-04-20,"The town of Ashley, Kansas, and its entire population disappeared after an earthquake in 1952."
