Donor Name,"""True"" Donor - Pride Sponsor Match Only","""True"" Donor - Fortune Match Only",Pride and Sponsor Match?,Donor Name - Combined
1016 - PINNACLE WEST PAC,NA,NA,NA,NA
1030 - ARIZONA SOCIETY OF CERTIFIED PUBLIC ACCOUNTANTS,NA,NA,NA,NA
1030- ASCPA PAC,NA,NA,NA,NA
107TH AVENUE GAMMA LLC,NA,NA,NA,NA
1139 FREEPORT MCMORAN ARIZONA PAC,NA,NA,NA,NA
1206 - SALT RIVER PROJECT POLITICAL INVOLVEMENT COMMITTEE,NA,NA,NA,NA
123 WASH INC.,NA,NA,NA,NA
1260- AZHHA PAC,NA,NA,NA,NA
"1401 PARTNERS, LLC",NA,NA,NA,NA
"20/20 OPTHALMIC ASSOCIATES, PC",NA,NA,NA,NA
2007 E A ROSE & D M ROSE TRUST,NA,NA,NA,NA
"2013 CENTRAL PARK IV, LLC",NA,NA,NA,NA
"2018 FINISH LINE, LLC",NA,NA,NA,NA
212-47 JAMAICA AVENUE REALTY CORP.,NA,NA,NA,NA
21ST CENTURY PUBLIC SERVANT,NA,NA,NA,NA
"21ST CENTURY SIGHT SOUND, LLC",NA,NA,NA,NA
2290 NW 110TH AVE LLC,NA,NA,NA,NA
"2915-2921 AVE N. PROPERTIES, LLC",NA,NA,NA,NA
"2917 NOSTRAND, LLC",NA,NA,NA,NA
"3 ERHARTS, LLC",NA,NA,NA,NA
3 X RANCH,NA,NA,NA,NA
3-B RANCH,NA,NA,NA,NA
3500 LIMITED,NA,NA,NA,NA
"39TH ST. PROPERTIES, LLC",NA,NA,NA,NA
3AMES CORPORATION,NA,NA,NA,NA
4 L RANCH & LODGE,NA,NA,NA,NA
4-B CATTLE,NA,NA,NA,NA
"412 90TH ST, LLC",NA,NA,NA,NA
"43 LAKESIDE, LLC",NA,NA,NA,NA
45 CENTRAL SQUARE LLC,NA,NA,NA,NA
"5 STAR ENTERPRISE, LLC",NA,NA,NA,NA
537 LLC,NA,NA,NA,NA
"537, LLC",NA,NA,NA,NA
5G METAL BUILDING CONSTRUCTION LLC,NA,NA,NA,NA
790 LAKE ROAD LLC,NA,NA,NA,NA
80 LEUCADENDRA HOLDINGS LLC,NA,NA,NA,NA
820 HIGHWAY 393 LLC,NA,NA,NA,NA
8272 SEABREEZE ROSE RENTAL,NA,NA,NA,NA
"A & V ROOFING CO., LLC",NA,NA,NA,NA
A BARTER CONSULTING LLC,NA,NA,NA,NA
"A BEST FORKLIFT, INC.",NA,NA,NA,NA
A BETTER TOMORROW,NA,NA,NA,NA
A BOLDER FLORIDA,NA,NA,NA,NA
A CHERISHED WORK FOR C.J.,NA,NA,NA,NA
"A DUD & SONS, INC",NA,NA,NA,NA
"A DUDA AND SONS, INC",NA,NA,NA,NA
A HEALTHIER ST. JOHNS,NA,NA,NA,NA
A INSURANCE DIRECT,NA,NA,NA,NA
A NET CONSULTING,NA,NA,NA,NA
"A NOVEL IDEA, LLC",NA,NA,NA,NA
A PLUS EDUCATORS LLC,NA,NA,NA,NA
A PLUS HOMES,NA,NA,NA,NA
A SIMPLER TIME INC,NA,NA,NA,NA
A STRONGER FLORIDA,NA,NA,NA,NA
A TO Z AUTO,NA,NA,NA,NA
A-1 LIQUOR,NA,NA,NA,NA
A. DUDA & SONS INC,NA,NA,NA,NA
"A. DUDA & SONS, INC",NA,NA,NA,NA
"A. DUDA & SONS, INC.",NA,NA,NA,NA
A&J MCINTYRE FARM PARTNERSHIP,NA,NA,NA,NA
A&M POLITICAL ACTION COMMITTEE,NA,NA,NA,NA
AAA SENTRY STORAGE,NA,NA,NA,NA
AB LIVING TRUST,NA,NA,NA,NA
ABBEY PIEDRA RANCH,NA,NA,NA,NA
ABBEY ROSE ANTIQUES II,NA,NA,NA,NA
ABC LIQUORS INC,NA,NA,NA,NA
ABC LIQUORS INC.,NA,NA,NA,NA
"ABC LIQUORS, INC.",NA,NA,NA,NA
ABC MERIT SHOP PC,NA,NA,NA,NA
