Company,Total Contributed,# of Politicians Contributed to,# of States Where Contributions Made
Toyota,601500,7,3
AT&T,307137.52,67,6
Comcast,121350,40,4
Amazon,87900,17,1
FedEx,79700,24,2
State Farm,79550,32,3
General Motors,48500,10,4
Budweiser,45250,24,4
Enterprise,41300,30,6
Jack Daniel's (Brown-Forman),34250,13,1
ConocoPhillips,27502.64,2,1
Walmart,25500,8,3
Chevron,21000,6,2
JPMorgan Chase,11500,3,2
NBC,11000,7,1
PNC,10000,1,1
Bank of America,10000,1,1
Aetna,8250,5,2
Cox Enterprises,6500,6,2
Truist,6000,7,1
Walgreens,4500,6,3
Sysco,4000,2,2
Citigroup,3000,2,2
Capital One,2500,1,1
Microsoft,2000,2,1
Johnson & Johnson,1750,3,3
Trulieve,1000,1,1
Gilead,1000,1,1
Target,500,1,1
Outfront,500,1,1
Grand Total,1604440.16,92,6
