Company,Pride?,HRC Business Pledge,Amount Contributed Across States,# of Politicians Contributed to,# of States Where Contributions Made
Toyota,TRUE,FALSE,601500,7,3
AT&T,TRUE,TRUE,307137.52,67,6
Charter Communications,FALSE,FALSE,168077.15,34,5
Enterprise Products Partners,FALSE,FALSE,160000,1,1
Comcast,TRUE,FALSE,121350,40,4
Berkshire Hathaway,FALSE,FALSE,100000,1,1
Valero Energy,FALSE,FALSE,93500,6,2
Amazon,TRUE,TRUE,87900,17,1
FedEx,TRUE,FALSE,79700,24,2
State Farm,TRUE,FALSE,79550,32,3
American Electric Power,FALSE,FALSE,65000,1,1
Vistra,FALSE,FALSE,62500,2,1
Tenet Healthcare,FALSE,FALSE,61549,3,2
UnitedHealth Group,FALSE,FALSE,58150,16,2
Union Pacific,FALSE,TRUE,52400,6,3
Anthem,FALSE,FALSE,50000,1,1
General Motors,TRUE,TRUE,48500,10,4
Farmers Insurance,FALSE,FALSE,47100,16,3
Budweiser,TRUE,FALSE,45250,24,4
USAA,FALSE,FALSE,45000,1,1
Molina Healthcare,FALSE,FALSE,44500,7,3
Centene,FALSE,FALSE,43500,5,3
Marathon Petroleum,FALSE,FALSE,42000,7,3
Pfizer,FALSE,TRUE,41450,20,5
Enterprise,TRUE,FALSE,41300,30,6
Wells Fargo,FALSE,TRUE,40500,4,2
Magellan Health,FALSE,FALSE,40000,1,1
Exelon,FALSE,FALSE,40000,1,1
Cigna,FALSE,FALSE,40000,21,3
CVS Health,FALSE,TRUE,35750,11,3
NRG Energy,FALSE,FALSE,35000,1,1
Jack Daniel's (Brown-Forman),TRUE,FALSE,34250,13,1
CenterPoint Energy,FALSE,FALSE,32500,2,1
Walt Disney,FALSE,FALSE,32000,9,1
Boeing,FALSE,FALSE,31000,9,4
Publix Super Markets,FALSE,FALSE,29500,22,3
ConocoPhillips,TRUE,FALSE,27502.64,2,1
NextEra Energy,FALSE,FALSE,27500,9,3
Nucor,FALSE,FALSE,26500,15,2
Merck,FALSE,TRUE,26300,22,3
Walmart,TRUE,FALSE,25500,8,3
Altria Group,FALSE,FALSE,23800,14,4
Jacobs (Jacobs Engineering Group),FALSE,FALSE,22500,1,1
Exxon Mobil,FALSE,FALSE,22500,7,3
Chevron,TRUE,FALSE,21000,6,2
Commercial Metals,FALSE,FALSE,20750,2,2
Allstate,FALSE,FALSE,19700,10,5
Eli Lilly,FALSE,FALSE,19450,12,4
Raytheon Technologies,FALSE,FALSE,17250,8,2
CSX,FALSE,FALSE,17000,15,2
Norfolk Southern,FALSE,FALSE,16900,26,2
Duke Energy,FALSE,FALSE,16000,8,1
Verizon Communications,FALSE,FALSE,15000,6,3
Home Depot,FALSE,FALSE,15000,6,3
Energy Transfer,FALSE,FALSE,15000,1,1
Lumen Technologies,FALSE,FALSE,13777.67,7,4
Textron,FALSE,FALSE,13500,1,1
Southwest Airlines,FALSE,FALSE,12750,8,2
JPMorgan Chase,TRUE,FALSE,11500,3,2
NBC,TRUE,FALSE,11000,7,1
Humana,FALSE,FALSE,10750,11,2
Ford Motor,FALSE,FALSE,10250,2,2
Targa Resources,FALSE,FALSE,10000,1,1
PNC,TRUE,FALSE,10000,1,1
Dow,FALSE,FALSE,10000,1,1
Bank of America,TRUE,FALSE,10000,1,1
Vertex Pharmaceuticals,FALSE,FALSE,9750,6,2
Caterpillar,FALSE,FALSE,9500,6,4
Motorola Solutions,FALSE,FALSE,9000,2,2
Entergy,FALSE,FALSE,8250,1,1
DaVita,FALSE,FALSE,8250,6,3
Aetna,TRUE,FALSE,8250,5,2
Waste Management,FALSE,FALSE,7500,12,2
Texas Instruments,FALSE,FALSE,7500,1,1
AutoZone,FALSE,FALSE,7200,2,1
Freeport-McMoRan,FALSE,FALSE,6950,8,1
Lockheed Martin,FALSE,FALSE,6500,2,2
